MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_11.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	31
LIMIT-FIT-SIGMA-XY-MAX	167
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	46
LIMIT-FIT-BGD-MAX	47
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	161	161	161	160	159	159	158	158	157	156	155	154	153	152	152	151	151	151	151	150	150	150	150	149	149	149	148	148	147	147	147	146	146	145	145	144	144	143	143	142	142	141	140	140	139	138	138	137	137	136	135	134	134	133	132	132	131	131	130	130	129	129	128	126	125	123	121	120	118	117	116	116	115	115	114	114	113	113	112	112	111	111	110	110	109	109	108	108	107	107	106	106	105	104	104	103	102	102	100	100	99	98	98	97	97	96	96	95	95	94	93	93	92	92	91	91	90	90	89	89	88	87	87	86	85	84	84	83	83	82	82	81	81	80	80	80	79	79	78	78	78	77	76	76	76	75	74	74	73	73	73	72	72	71	71	71	70	69	69	69	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	69	69	69	69	69	69	69	69	69	69	70	70	70	70	70	70	70	70	71	71	71	71	71	71	71	71	72	72	72	73	73	74	74	75	75	76	76	76	77	77	78	78	78	79	79	79	80	80	80	81	82	82	83	84	85	86	87	88	89	90	90	91	91	92	92	93	93	93	94	94	95	95	97	97	98	99	100	101	101	102	102	103	103	104	104	105	106	106	107	108	109	109	110	111	111	112	112	113	113	114	114	115	115	116	117	118	118	119	120	120	121	121	122	123	123	124	124	125	125	126	126	127	127	128	128	129	129	130	131	132	133	134	135	135	137	138	138	138	139	140	141	141	142	142	143	143	144	144	145	146	146	146	147	147	148	148	149	150	151	151	152	152	153	153	154	155	155	156	156	157	158	158	159	160	160	161	161	161	162	162	162	162	162	163	163	163	163	163	163	163	163	163	163	163	163	END
Y_POS	176	176	176	175	174	174	173	172	171	170	169	168	167	166	165	165	165	164	164	164	163	163	163	163	162	162	161	160	160	160	159	159	159	158	158	158	157	157	157	156	156	156	155	155	155	155	154	154	154	154	154	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	152	152	152	152	152	152	152	152	151	151	151	151	151	151	151	151	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	149	149	149	149	149	149	149	149	149	149	149	149	149	150	150	150	150	150	150	150	150	151	151	151	151	152	152	152	152	153	153	153	153	153	153	154	154	154	155	155	156	156	156	157	157	158	158	159	160	160	161	162	162	163	163	164	164	165	165	166	166	167	167	168	168	169	169	170	170	171	171	172	172	173	173	174	174	175	175	176	176	176	177	177	177	178	178	179	179	179	180	180	180	181	182	182	183	184	184	185	186	187	187	188	188	188	189	189	189	190	190	190	190	191	191	191	191	192	192	192	193	193	193	194	194	195	195	195	195	195	195	195	195	196	196	196	196	196	196	197	197	197	197	197	197	197	198	198	198	198	198	198	198	199	199	199	199	199	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	201	201	201	200	199	199	199	198	198	198	198	197	197	196	196	196	195	194	194	193	193	192	192	192	191	191	191	190	190	190	189	189	188	188	187	187	186	186	185	185	184	184	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	2.06144e+06	341.403	523	0	179	80	0	341.403	46	31	0	6436.47	14141	0	200249	331.106	281.091	0	0	935.55	1074.06	1
180	4.74647e+06	786.082	1061	96	179	80	0	786.082	46	31	0	6320	14141.5	0	229467	295.003	340.65	0	180	963.655	1072.13	0.998202
360	5.91507e+06	74.5924	785	0	179	80	0	74.5924	46	117.468	0	6473.89	14299	0	304377	344.26	342.714	0	360	960.302	1070.2	0.996406
540	2.4126e+06	399.561	653	90	179	80	0	399.561	46	31	0	6392.29	14280.8	0	148532	284.252	300.372	0	540	962.39	1068.27	0.994615
720	0.530569	2.77314e-05	112	0	179	80	0	2.77314e-05	46	55.1826	0	6478	14224.8	0	208282	326.218	296.51	0	720	931.672	1066.35	0.992826
900	3.40252e+07	426.258	2176	241	179	80	0	426.258	47	117.966	0	6320	14188.6	0	1.19099e+06	223.846	305.246	0	900	954.806	1064.43	0.99104
1080	2.52532e+06	418.227	712	284	179	80	0	418.227	46	31	0	6382.26	14232.8	0	217679	245.32	264.875	0	1080	964.33	1062.52	0.989258
1260	1.94138e+06	321.515	569	216	179	80	0	321.515	46.9578	31.0002	0	6373.5	14222.9	0	267319	285.271	330.82	0	1260	941.677	1060.61	0.987479
1440	2.19272e+06	363.144	712	0	179	80	0	363.144	46	31	0	6323.46	14218.2	0	205568	290.869	300.168	0	1440	948.856	1058.7	0.985703
1620	4.33629e+06	34.727	340	0	179	80	0	34.727	47	167	0	6478	14299	0	361561	348.691	378.064	0	1620	941.147	1056.8	0.983931
1800	49861.6	8.25778	61	0	179	80	0	8.25778	46	31	0	6478	14141	0	168352	332.144	306.523	0	1800	930.372	1054.9	0.982161
1980	1.40047e+06	231.937	543	153	179	80	0	231.937	47	31	0	6322.54	14293.2	0	369938	304.042	322.997	0	1980	926.285	1053	0.980395
2160	1.19009e+06	29.851	423	0	179	80	0	29.851	46	79.8973	0	6366.62	14299	0	267097	335.472	353.963	0	2160	930.652	1051.11	0.978632
2340	966700	160.099	442	0	179	80	0	160.099	46	31	0	6399.45	14141	0	229052	332.986	302.524	0	2340	941.738	1049.22	0.976872
2520	2.26333e+06	374.84	645	294	179	80	0	374.84	46	31	0	6392.71	14214.9	0	190615	269.398	272.166	0	2520	936.797	1047.33	0.975115
2700	1.6535e+06	273.842	564	0	179	80	0	273.842	47	31	0	6320.85	14298.7	0	252867	314.518	297.487	0	2700	915.518	1045.45	0.973361
2880	6.7446e+07	846.961	5906	819	179	80	0	846.961	47	117.786	0	6401.39	14180.2	0	1.66272e+06	333.445	291.795	0	2880	925.221	1043.57	0.971611
3060	7.2645e+06	77.8619	317	0	179	80	0	77.8619	46	131.128	0	6478	14141	0	570080	344.753	258.935	0	3060	883.51	1041.69	0.969863
3240	1.08737e+06	30.895	331	0	179	80	0	30.895	46	74.9611	0	6320	14219.6	0	262874	280.746	314.86	0	3240	903.603	1039.82	0.968119
3420	1.08097e+06	179.023	313	42	179	80	0	179.023	46.0001	31	0	6321.51	14220	0	186958	293.409	385.175	0	3420	905.046	1037.95	0.966378
3600	2.94333e+06	126.187	768	143	179	80	0	126.187	46.0001	60.9348	0	6478	14198.9	0	387391	268.548	289.667	0	3600	904.57	1036.08	0.96464
3780	232088	38.4223	161	98	179	80	0	38.4223	47	31.0059	0	6400.33	14221.4	0	264042	341.715	309.55	0	3780	895.66	1034.22	0.962906
3960	509471	84.3754	301	77	179	80	0	84.3754	46	31	0	6353.14	14249.6	0	151826	317.66	293.104	0	3960	892.61	1032.36	0.961174
4140	2.12085e+06	351.242	417	277	179	80	0	351.242	46	31	0	6385.3	14220.9	0	152651	282.411	366.674	0	4140	905.44	1030.5	0.959445
4320	1.35378e+06	38.9854	277	0	179	80	0	38.9854	46	74.4502	0	6320	14299	0	294570	237.735	288.429	0	4320	891.488	1028.65	0.95772
4500	892712	147.845	303	0	179	80	0	147.845	46	31	0	6320	14141	0	411652	357.548	248.155	0	4500	889.678	1026.8	0.955997
4680	966382	160.046	340	0	179	80	0	160.046	47	31	0	6320	14141	0	395255	274.961	256.933	0	4680	913.166	1024.95	0.954278
