MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_11.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-28
LIMIT-FIT-SIGMA-XY-MAX	114
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	46
LIMIT-FIT-BGD-MAX	47
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	195	195	194	194	194	193	193	193	193	192	192	192	192	191	191	191	190	190	189	189	189	188	188	188	187	187	187	187	186	186	186	185	185	185	185	184	184	184	184	183	183	183	183	183	183	183	183	182	182	182	182	182	181	181	181	181	181	181	181	181	181	181	180	180	180	180	180	179	179	179	179	179	179	179	179	179	178	178	178	178	178	178	177	177	177	177	177	177	177	176	176	176	176	176	175	175	175	175	175	175	174	174	174	174	173	173	173	173	173	172	172	172	172	172	171	171	171	171	171	171	170	170	170	170	169	169	169	169	169	169	168	168	168	168	168	167	167	167	167	167	167	166	166	166	165	165	165	165	165	164	164	164	164	164	163	163	163	163	163	163	162	162	162	162	161	161	161	161	161	160	160	160	160	160	160	159	159	159	159	158	158	158	158	158	157	157	157	157	157	157	157	156	156	156	156	156	156	156	156	155	155	155	155	155	155	154	154	154	154	154	154	154	154	154	155	155	156	156	157	157	158	158	158	158	159	159	159	159	160	160	160	161	161	161	161	162	162	162	162	163	163	164	164	164	164	165	165	165	166	166	166	167	167	167	168	168	168	168	169	169	169	169	170	170	171	171	171	171	172	172	173	173	173	173	173	174	174	175	175	176	176	176	176	177	177	177	177	178	178	178	178	179	179	179	179	180	180	180	180	181	181	181	181	182	182	182	183	183	183	183	183	184	184	184	184	184	185	185	185	185	185	186	186	186	186	186	187	187	187	187	188	188	188	188	189	189	189	189	190	190	190	190	190	191	191	191	192	192	192	192	193	193	193	194	194	194	195	195	196	196	196	197	197	197	198	198	199	199	200	200	201	201	202	202	203	203	204	204	205	206	206	207	207	208	208	208	209	209	210	210	210	211	211	211	212	212	213	214	214	214	215	215	215	215	216	216	217	217	217	217	217	218	218	218	218	218	218	219	219	219	219	219	219	220	220	220	220	220	220	220	221	221	221	221	221	221	222	222	222	222	222	223	223	223	223	223	223	224	224	224	224	224	224	224	224	225	225	225	225	225	225	226	226	226	226	226	226	226	227	227	227	227	227	228	228	228	228	228	228	229	229	229	229	229	229	229	230	230	230	230	230	231	231	231	231	231	232	232	232	232	232	233	233	233	233	233	234	234	234	234	235	235	235	235	236	236	236	236	236	237	237	237	237	237	238	238	238	238	238	238	238	238	238	238	238	238	237	237	237	237	237	237	236	236	236	236	235	235	235	235	234	234	234	234	233	233	233	232	232	231	231	231	230	230	230	229	229	228	228	227	227	226	226	225	225	224	224	223	223	222	222	221	221	220	220	220	219	219	218	218	218	217	217	217	216	216	216	215	215	214	214	214	214	213	213	213	212	212	212	212	211	211	211	210	210	210	209	209	209	209	208	208	208	208	207	207	207	207	206	206	206	206	206	205	205	205	205	204	204	204	203	203	202	202	202	201	201	201	201	200	200	200	199	199	199	199	END
Y_POS	402	401	401	401	400	400	400	400	399	399	399	399	398	398	398	398	397	397	397	397	396	396	396	396	396	395	395	395	395	395	394	394	394	394	393	393	393	392	392	392	391	391	390	390	390	389	389	388	388	387	387	386	386	385	385	384	384	383	383	382	382	381	381	380	379	379	378	378	377	377	376	376	375	375	374	374	373	373	372	372	372	371	371	371	370	370	370	369	369	368	368	367	367	367	366	366	365	365	365	364	364	364	363	363	362	362	361	361	361	360	360	359	359	359	359	358	358	358	357	357	356	356	356	355	355	354	354	354	353	353	353	352	352	352	351	351	350	350	350	349	349	349	348	348	348	347	347	346	346	346	345	345	345	344	344	344	344	343	343	342	342	342	341	341	340	340	340	339	339	339	338	338	338	337	337	336	336	335	335	335	334	334	333	333	333	332	332	332	331	331	330	330	330	329	329	328	328	327	327	326	326	325	325	324	324	323	323	322	322	321	321	320	320	319	319	319	319	319	319	320	320	320	321	321	321	322	322	323	323	323	324	324	324	324	325	325	325	325	326	326	327	327	327	327	328	328	328	328	328	329	329	329	329	329	329	330	330	330	330	331	331	331	331	331	332	332	332	333	333	333	333	334	334	334	335	335	335	335	336	336	336	336	337	337	337	338	338	338	338	338	339	339	339	340	340	340	341	341	341	341	342	342	342	342	343	343	344	344	345	345	346	346	346	347	347	348	348	349	349	349	350	350	351	351	352	352	352	353	353	354	354	354	355	355	355	356	356	356	356	357	357	357	358	358	358	358	358	359	359	359	359	360	360	360	360	360	360	360	360	361	361	361	361	361	361	361	361	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	363	363	363	363	363	363	363	364	364	364	364	364	364	365	365	365	365	365	366	366	366	366	366	367	367	368	368	368	369	369	370	370	370	371	371	371	372	372	373	373	374	374	374	375	375	376	376	376	377	377	378	378	379	379	380	380	380	381	381	382	382	383	383	383	384	384	384	385	385	386	386	387	387	387	388	388	389	389	390	390	390	391	391	392	392	392	393	393	394	394	395	396	396	397	397	398	398	398	399	399	400	400	401	401	402	402	402	403	403	403	404	404	404	405	405	406	406	406	406	407	407	408	408	408	409	409	410	410	411	411	411	412	412	413	413	413	414	414	415	415	416	416	417	417	418	418	419	419	420	420	421	421	421	422	422	422	423	423	424	424	425	425	425	425	426	426	427	427	427	427	427	428	428	428	428	428	428	428	428	429	429	429	429	429	429	429	429	429	429	429	429	429	429	429	428	428	428	428	428	428	428	428	427	427	427	427	427	426	426	426	426	426	426	425	425	425	425	424	424	424	423	423	423	423	422	422	422	422	421	421	420	420	420	420	419	419	419	419	418	418	418	418	417	417	417	417	416	416	416	415	415	415	414	414	414	413	413	412	412	411	411	411	411	410	410	410	409	409	408	408	408	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	229238	288.194	168	83	369	195	0	288.194	46	11.2515	0	15483.6	29229.2	0	121246	297.989	322.764	0	0	775.708	1024.53	1
180	4.67591e+06	61.828	812	0	369	195	0	61.828	46	114	0	15507.2	29309	0	247652	309.272	327.836	0	180	783.369	1022.69	0.998202
360	905558	513.999	291	0	369	195	0	513.999	46	16.7451	0	15469.5	29309	0	161060	326.703	361.1	0	360	759.24	1020.85	0.996406
540	1.47523e+06	555.946	527	278	369	195	0	555.946	46	20.5506	0	15484.4	29227.4	0	246706	306.562	299.962	0	540	757.251	1019.02	0.994615
720	2.74557e+06	61.5495	322	12	369	195	0	61.5495	47	84.6936	0	15405	29151	0	320902	306.663	316.271	0	720	728.783	1017.18	0.992826
900	833263	466.539	378	183	369	195	0	466.539	46	16.86	0	15484.1	29230	0	187075	301.971	283.934	0	900	767.736	1015.35	0.99104
1080	959155	721.111	457	22	369	195	0	721.111	46	14.5497	0	15484.2	29308.3	0	296379	263.528	383.97	0	1080	782.6	1013.53	0.989258
1260	1.14709e+06	422	418	114	369	195	0	422	46	20.7995	0	15489	29184	0	146827	294.288	334.256	0	1260	787.474	1011.71	0.987479
1440	727381	713.971	790	0	369	195	0	713.971	46.2745	12.7336	0	15432.5	29309	0	290608	241.374	349.602	0	1440	794.17	1009.89	0.985703
1620	2.11744e+06	679.697	633	40	369	195	0	679.697	46.0792	22.2668	0	15563	29230.2	0	229519	333.376	297.559	0	1620	786.318	1008.07	0.983931
1800	1.95285e+06	606	525	0	369	195	0	606	46	22.6469	0	15549.8	29304.5	0	177230	291.648	304.903	0	1800	767.728	1006.26	0.982161
1980	1.57837e+06	448	534	69	369	195	0	448	47	23.6797	0	15526.4	29195.6	0	190549	296.812	325.554	0	1980	756.3	1004.45	0.980395
2160	1.89453e+06	683.958	579	188	369	195	0	683.958	47	20.9965	0	15560.9	29151	0	360549	316.506	327.103	0	2160	766.283	1002.64	0.978632
2340	615843	575.522	191	47	369	195	0	575.522	46	13.0501	0	15415.1	29229.4	0	259609	348.464	363.652	0	2340	783.118	1000.84	0.976872
2520	3.01322e+06	104.011	651	33	369	195	0	104.011	46	67.9355	0	15562.6	29309	0	231568	316.34	299.087	0	2520	776.945	999.038	0.975115
2700	635085	371.014	242	0	369	195	0	371.014	46	16.5056	0	15405.1	29230	0	144447	279.622	313.099	0	2700	779.593	997.242	0.973361
2880	1.06224	123.657	92	28	369	195	0	123.657	46.9964	0.0369754	0	15420.8	29261.1	0	416041	312.973	399.525	0	2880	800.075	995.448	0.971611
3060	3.96064e+06	686	606	0	369	195	0	686	46	30.3131	0	15405	29272.3	0	215975	301.802	365.275	0	3060	769.168	993.658	0.969863
3240	0.00017883	13.1134	182	108	369	195	0	13.1134	46	-0.00147324	0	15563	29308	0	111470	387.895	371.404	0	3240	796.404	991.871	0.968119
3420	1.30421e+06	513.98	390	48	369	195	0	513.98	46	20.0961	0	15405.1	29151	0	113170	301.307	322.601	0	3420	787.616	990.087	0.966378
3600	730030	432	264	0	369	195	0	432	46	16.3998	0	15454.6	29309	0	159488	261.342	236.259	0	3600	789.796	988.307	0.96464
3780	2.79787e+06	36.9953	369	2	369	195	0	36.9953	47	114	0	15405	29262	0	313323	292.923	326.088	0	3780	780.258	986.529	0.962905
3960	894430	547.991	459	0	369	195	0	547.991	47	16.1175	0	15454.7	29151	0	282956	307.97	276.322	0	3960	783.039	984.755	0.961174
4140	1.85484e+06	74.6318	242	102	369	195	0	74.6318	46.0071	62.9033	0	15405	29205.2	0	327014	303.359	304.809	0	4140	792.915	982.984	0.959445
4320	0.0390511	64.0608	179	73	369	195	0	64.0608	46.9995	-0.00984987	0	15534.3	29226.9	0	352873	268.866	341.662	0	4320	787.124	981.217	0.95772
4500	1.43174e+06	367.893	597	0	369	195	0	367.893	46	24.8875	0	15563	29151	0	261218	356.624	307.104	0	4500	795.887	979.452	0.955997
4680	2.27693e+06	780	683	55	369	195	0	780	47	21.5545	0	15562.2	29154.2	0	265819	319.797	321.169	0	4680	822.528	977.691	0.954278
4860	0.0714772	28.5078	182	46	369	195	0	28.5078	46.8548	0.0199762	0	15473.9	29234.3	0	216324	320.748	327.802	0	4860	827.729	975.932	0.952562
5040	199052	328.818	163	23	369	195	0	328.818	46	9.81556	0	15443.7	29309	0	237877	301.761	330.995	0	5040	830.593	974.177	0.950849
5220	3.37961e+06	794	900	0	369	195	0	794	46	26.0275	0	15511.5	29309	0	181753	354.333	348.91	0	5220	848.433	972.425	0.949139
5400	553918	673.855	227	0	369	195	0	673.855	46	11.438	0	15518.3	29309	0	266348	369.331	299.948	0	5400	850.965	970.676	0.947432
5580	2.45349e+06	320.822	531	0	369	195	0	320.822	47	34.8875	0	15563	29309	0	417619	389.327	322.557	0	5580	868.309	968.931	0.945728
5760	2.12828e+06	130.459	573	0	369	195	0	130.459	47	50.9552	0	15563	29279.9	0	498741	318.117	368.745	0	5760	864.143	967.188	0.944027
5940	7.74233e-12	2.22045e-14	83	0	369	195	0	2.22045e-14	47	-7.44948	0	15559.5	29189.8	0	530686	275.262	346.835	0	5940	876.602	965.449	0.94233
6120	1.66129e+06	692	684	0	369	195	0	692	47	19.547	0	15405	29255.3	0	270157	319.428	357.022	0	6120	865.143	963.713	0.940635
6300	1.4735e+06	578	667	0	369	195	0	578	46	20.1429	0	15505.2	29309	0	189972	285.704	395.973	0	6300	858.84	961.98	0.938943
6480	2.7985e+06	538	596	0	369	195	0	538	46	28.7728	0	15525.1	29309	0	143958	353.61	348.469	0	6480	852.241	960.25	0.937255
6660	2.30793e+06	807.999	785	22	369	195	0	807.999	46.3905	21.3214	0	15405.1	29308.9	0	315165	308.767	337.73	0	6660	874.81	958.523	0.935569
6840	1.28594e+06	507.997	280	0	369	195	0	507.997	46	20.0719	0	15563	29229.7	0	194566	376.796	314.809	0	6840	902.053	956.799	0.933887
7020	1.0963e+06	707.588	399	0	369	195	0	707.588	47	15.7031	0	15476.2	29308.9	0	345324	339.731	399.533	0	7020	867.966	955.078	0.932207
7200	2.36609e+06	516	604	0	369	195	0	516	46	27.0148	0	15405	29274.1	0	210110	302.855	311.023	0	7200	882.067	953.361	0.930531
