MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_12.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	59
LIMIT-FIT-SIGMA-XY-MAX	161
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	86
LIMIT-FIT-BGD-MAX	87
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	256	256	256	256	256	256	256	257	257	257	257	257	257	257	257	256	256	256	256	255	255	255	255	254	254	253	253	253	252	251	250	249	249	248	247	246	245	244	243	242	241	241	240	239	238	237	236	235	234	233	232	231	230	229	228	227	226	225	224	223	222	221	220	219	218	217	216	215	214	213	212	211	210	210	209	209	208	207	207	206	205	205	204	203	203	202	201	201	200	199	199	198	198	197	197	197	196	196	195	195	195	195	195	195	194	194	194	194	194	194	194	194	194	195	195	195	195	195	196	197	197	197	197	197	197	197	196	196	195	195	195	195	194	194	193	193	193	192	192	192	191	191	191	191	190	190	190	189	189	189	188	188	188	187	187	187	187	187	187	186	186	185	185	185	185	185	185	185	185	185	185	185	184	184	184	184	184	184	184	184	185	185	185	186	186	187	188	189	189	190	191	192	193	194	195	195	196	197	198	199	200	201	201	202	203	204	205	207	208	209	209	209	210	211	211	211	211	212	212	213	213	213	213	214	214	215	215	216	216	217	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	233	233	234	235	236	237	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	255	257	258	259	260	261	262	263	265	266	267	268	269	270	271	272	273	273	274	274	274	275	275	275	275	276	276	276	277	277	277	277	277	277	278	278	278	278	278	278	278	278	278	278	278	277	277	277	277	276	275	275	274	274	273	272	271	270	270	269	269	268	267	267	266	265	264	263	262	262	261	260	260	259	259	END
Y_POS	193	192	191	190	189	188	187	187	186	185	184	183	182	181	180	180	179	178	177	177	176	175	174	174	173	173	172	171	170	169	169	168	167	167	167	167	167	166	166	166	166	165	165	165	165	165	164	164	164	164	164	164	164	164	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163	164	164	165	165	165	166	166	166	167	167	167	168	169	169	170	171	171	172	172	173	174	175	176	176	177	178	179	180	181	182	183	183	184	185	186	187	188	189	190	191	191	192	193	195	196	197	198	199	200	201	202	203	204	205	206	206	207	208	209	209	210	211	212	213	213	214	215	215	216	217	218	218	219	220	221	222	223	224	225	226	226	227	228	229	230	231	231	232	232	233	234	235	236	237	238	239	240	241	242	243	244	245	247	248	249	250	251	251	252	253	253	254	255	255	255	256	256	257	257	257	257	257	258	258	258	258	258	258	258	257	257	257	256	256	256	255	255	254	253	253	253	252	251	250	249	248	248	247	246	245	245	244	243	242	242	241	241	240	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	240	241	241	241	241	242	242	243	243	243	243	243	244	244	244	245	245	245	245	245	245	245	245	244	244	244	244	244	243	243	243	242	242	241	241	241	241	240	239	239	238	237	237	236	235	233	233	232	231	230	229	228	227	226	225	225	224	223	222	221	220	219	218	217	216	215	215	214	213	212	212	211	210	210	209	209	208	207	207	206	206	205	204	204	203	203	202	201	201	201	200	199	199	198	198	197	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	0.00063787	2.91675e-08	262	8	237	207	0	2.91675e-08	86	59	0	16353	18881	0	436117	274.81	330.523	0	0	778.358	929.808	1
180	2.08588e-08	9.53799e-13	180	0	237	207	0	9.53799e-13	86	59	0	16353	18881	0	274961	265.45	286.255	0	180	791.097	928.136	0.998202
360	1.47302e+07	218.481	923	95	237	207	0	218.481	86	106.334	0	16511	18881	0	696689	395.905	370.817	0	360	803.58	926.467	0.996406
540	2.35863e+07	318.266	2033	453	237	207	0	318.266	86	112.574	0	16508.3	18870.9	0	710185	365.803	336.325	0	540	807.66	924.8	0.994615
720	7.40655e+07	986.313	6807	919	237	207	0	986.313	86	113.498	0	16457.3	18805.3	0	1.12841e+06	319.067	310.697	0	720	797.102	923.137	0.992826
900	2.74593e+07	257.917	1725	556	237	207	0	257.917	86.0001	144.971	0	16373.2	18881	0	1.60822e+06	294.158	391.609	0	900	799.605	921.477	0.99104
1080	5.8109e+07	660.832	4556	1136	239	209	0	660.832	86	125.792	0	16635.1	19007.8	0	1.66564e+06	358.49	347.935	0	1080	786.253	919.82	0.989258
1260	2.31649e+06	105.925	637	142	239	209	0	105.925	86	59	0	16616.2	18881	0	306602	332.729	262.156	0	1260	781.531	918.166	0.987479
1440	5.6613e+06	64.9221	496	162	239	209	0	64.9221	86	125.076	0	16511	18881	0	614742	291.25	241.682	0	1440	775.403	916.515	0.985703
1620	2.14255e+06	56.79	701	165	239	209	0	56.79	86	77.6658	0	16636.2	18881	0	392941	320.762	282.589	0	1620	775.149	914.866	0.983931
1800	326056	3.23224	346	0	239	209	0	3.23224	86	138.943	0	16511	18881	0	512913	285.546	257.9	0	1800	765.114	913.221	0.982161
1980	0.0144161	6.59198e-07	406	0	239	209	0	6.59198e-07	86	59	0	16511.1	19014.4	0	375148	277.34	315.538	0	1980	757.296	911.579	0.980395
2160	9.04178e+07	1423.41	8879	1232	248	202	0	1423.41	86	102.707	0	16052.1	19656.8	0	2.92184e+06	324.892	287.038	0	2160	747.302	909.939	0.978632
2340	5.65081e+07	803.559	5867	904	243	203	0	803.559	87	109.035	0	16131.3	19299	0	1.70549e+06	310.686	343.098	0	2340	749.721	908.303	0.976872
2520	1.74023e-07	7.95746e-12	215	0	243	203	0	7.95746e-12	86	59	0	16195	19197	0	482909	387.685	289.37	0	2520	747.551	906.669	0.975115
2700	3.88514e+07	1072.64	5479	1255	239	197	0	1072.64	87	76.0649	0	15643.9	18962.6	0	982140	299.042	302.774	0	2700	747.401	905.039	0.973361
2880	4.85594e-10	2.22045e-14	267	0	239	197	0	2.22045e-14	86	59	0	15710.6	18881	0	705803	367.289	172.301	0	2880	767.746	903.411	0.971611
3060	1.26067e+06	57.6447	530	107	239	197	0	57.6447	86	59.0005	0	15721	19033	0	329486	413.265	276.449	0	3060	740.005	901.787	0.969863
3240	9.9661e+07	1102.61	8171	1081	232	207	0	1102.61	86	128.213	0	16420.2	18418.8	0	1.30407e+06	306.14	324.268	0	3240	762.217	900.165	0.968119
3420	7.07957e+07	735.579	5969	887	233	205	0	735.579	86.0001	134.122	0	16266.7	18515.3	0	1.68316e+06	309.354	343.847	0	3420	738.98	898.546	0.966378
3600	9.34284e+07	984.613	7973	687	226	201	0	984.613	86	132.737	0	15975.9	17917.3	0	2.39766e+06	325.603	302.521	0	3600	749.468	896.93	0.96464
3780	5.79276e+07	710.225	6036	267	219	205	0	710.225	86	119.625	0	16230	17396.5	0	1.83771e+06	273.305	349.023	0	3780	745.713	895.317	0.962906
3960	3.80286e+06	173.891	997	415	219	205	0	173.891	86.0005	59	0	16271.3	17406.7	0	927531	293.817	420.421	0	3960	735.312	893.707	0.961174
