MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_12.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-50
LIMIT-FIT-SIGMA-XY-MAX	104
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	59
LIMIT-FIT-BGD-MAX	60
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	404	404	405	405	406	407	408	409	409	410	410	411	412	413	414	415	415	416	417	418	418	419	419	420	420	421	421	422	423	423	424	425	425	426	426	427	427	427	428	428	428	428	428	428	428	428	428	427	427	427	426	426	425	425	424	424	423	422	421	420	419	419	419	418	417	416	415	414	414	413	412	411	410	409	408	407	406	405	405	404	403	402	401	401	400	399	398	397	396	396	395	394	393	392	391	390	389	388	387	386	385	384	383	382	381	380	379	378	377	376	375	375	374	373	373	372	371	371	371	370	370	370	369	369	369	369	369	369	369	370	370	370	371	371	372	372	373	373	373	373	373	373	373	373	373	373	372	371	371	370	369	368	367	367	366	365	364	363	362	361	361	360	359	358	357	357	356	355	355	354	354	353	353	352	351	351	351	351	351	350	350	350	349	349	349	349	349	349	349	350	350	351	351	351	351	352	353	353	353	354	355	355	356	357	357	358	359	360	360	361	362	363	364	365	366	367	368	369	370	371	373	375	376	377	379	380	381	382	382	383	384	385	386	387	387	387	388	389	389	389	389	390	390	391	391	392	392	393	393	393	394	394	394	395	END
Y_POS	359	358	358	357	357	357	357	357	356	356	355	355	355	355	354	354	353	353	353	353	352	352	351	351	350	350	349	349	348	347	347	346	345	345	344	343	342	341	341	340	339	338	337	336	335	334	333	333	332	331	331	330	330	329	329	328	328	327	327	327	327	326	325	325	325	325	324	324	323	323	323	323	322	322	322	322	322	322	321	321	321	321	321	320	320	320	320	320	320	319	319	319	319	319	319	319	319	319	319	319	319	319	319	319	319	319	319	319	319	320	320	321	321	321	322	323	323	324	325	325	326	327	327	328	329	330	331	332	333	333	334	335	335	336	337	338	338	339	340	341	342	343	344	345	346	347	347	347	348	349	349	350	350	351	351	351	351	352	352	352	353	353	353	354	354	355	355	355	356	356	357	357	358	359	359	360	361	362	363	363	364	365	365	366	367	368	369	370	371	371	372	372	373	374	375	375	375	376	377	377	377	378	379	379	380	380	381	381	382	382	383	383	383	383	383	383	384	384	384	384	383	383	382	382	382	382	382	382	381	381	381	381	381	381	380	379	379	379	378	377	376	376	375	375	374	374	373	373	372	371	371	370	369	369	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	722059	324.352	778	0	368	372	0	324.352	60	18.823	0	29453.5	29072	0	408979	295.472	303.142	0	0	747.591	947.376	1
180	9.63079e+06	183.979	903	222	368	372	0	183.979	59.9998	92.2135	0	29546	29230	0	353744	332.054	341.147	0	180	749.381	945.672	0.998202
360	1.02088e+06	739.33	531	185	368	372	0	739.33	59.6197	14.8244	0	29495.9	29148.7	0	366485	318.178	318.896	0	360	754.317	943.971	0.996406
540	671135	464.729	301	110	368	372	0	464.729	60	15.1605	0	29467.1	29109.4	0	298065	342.366	318.04	0	540	763.223	942.273	0.994615
720	2.1101e+06	707.996	771	173	368	372	0	707.996	59.7122	21.7794	0	29418.7	29142.4	0	380985	364.116	318.88	0	720	758.256	940.579	0.992826
900	948613	743.997	478	91	368	372	0	743.997	59	14.2452	0	29388	29100.7	0	322997	339.422	307.182	0	900	753.919	938.887	0.99104
1080	1.893e+06	165.612	399	0	368	372	0	165.612	60	42.6521	0	29388	29079.3	0	791251	249.155	317.551	0	1080	746.925	937.199	0.989258
1260	4.9739e+06	515.096	1026	78	368	372	0	515.096	60	39.2026	0	29546	29196.7	0	527828	293.29	311.56	0	1260	742.193	935.513	0.987479
1440	970728	549.381	478	0	368	372	0	549.381	60	16.7696	0	29388	29152.2	0	289627	330.697	335.288	0	1440	748.522	933.831	0.985703
1620	2.82852e+06	304.078	674	61	368	372	0	304.078	59	38.4767	0	29388	29153.8	0	300047	264.101	325.99	0	1620	741.04	932.152	0.983931
1800	3.03976e+06	109.459	368	24	368	372	0	109.459	59	66.5064	0	29388	29117.6	0	387105	276.845	291.987	0	1800	743.828	930.475	0.982161
1980	430190	747.546	194	0	368	372	0	747.546	59	-9.57021	0	29465.1	29076.5	0	430744	359.069	297.659	0	1980	750.44	928.802	0.980395
2160	4.62301e+06	71.2199	974	0	368	372	0	71.2199	59	104	0	29546	29072	0	348275	317.266	292.451	0	2160	742.65	927.132	0.978632
2340	3.01179e+06	110.481	597	0	368	372	0	110.481	59.0011	65.8897	0	29546	29230	0	433465	317.682	283.727	0	2340	742.478	925.464	0.976872
2520	0.441561	59.2391	283	0	368	372	0	59.2391	59.9997	0.034443	0	29479.3	29230	0	603624	308.203	354.364	0	2520	755.054	923.8	0.975115
2700	2.85512e+06	704	873	243	368	372	0	704	59	25.406	0	29412.1	29206.1	0	325756	311.879	349.379	0	2700	754.386	922.139	0.973361
2880	0.441741	145.979	316	52	368	372	0	145.979	59.9999	-0.0219457	0	29513.8	29211.9	0	470063	329.114	231.977	0	2880	765.844	920.48	0.971611
3060	1.37689e+06	669.986	359	56	368	372	0	669.986	59	18.0853	0	29468	29230	0	259611	354.623	312.687	0	3060	748.082	918.825	0.969863
3240	2.69657e+06	77.2316	303	40	368	372	0	77.2316	60	74.657	0	29388	29230	0	403312	301.624	324.524	0	3240	770.29	917.172	0.968119
3420	1.07634e+06	711.141	400	154	368	372	0	711.141	59.9999	15.5205	0	29504.3	29158.2	0	487678	338.923	283.194	0	3420	755.81	915.523	0.966378
3600	8.78303e+07	1353.07	7656	1269	368	372	0	1353.07	60	104	0	29506.9	29142.9	0	1.37864e+06	352.806	313.6	0	3600	769.718	913.877	0.96464
3780	1.11025e+08	1710.39	10183	1352	365	370	0	1710.39	60	104	0	29320.3	28915.7	0	2.79742e+06	321.391	308.858	0	3780	770.019	912.233	0.962905
3960	1.70938e+08	2633.39	14586	2411	365	367	0	2633.39	60	104	0	29098.9	28878.1	0	3.92716e+06	340.07	278.273	0	3960	766.619	910.593	0.961174
4140	9.002e+07	1386.81	8570	1403	367	371	0	1386.81	60	104	0	29367.1	29080.1	0	2.87816e+06	309.506	318.463	0	4140	784.748	908.955	0.959445
4320	8.75588e+07	1348.89	7686	1863	368	376	0	1348.89	60	104	0	29746.1	29179.4	0	2.92309e+06	293.033	353.767	0	4320	775.676	907.32	0.95772
4500	1.61611e+06	1271.96	602	295	368	376	0	1271.96	60	14.2203	0	29803.4	29154	0	1.77281e+06	273.532	218.796	0	4500	770.343	905.689	0.955997
4680	2.07461e+08	3196.04	19053	2996	368	372	0	3196.04	60	104	0	29453.4	29115.5	0	2.31946e+06	306.223	284.275	0	4680	768.082	904.06	0.954278
4860	1.66508e+08	2565.14	13441	2129	366	378	0	2565.14	60	104	0	29925.9	28960.3	0	8.95563e+06	304.884	278.203	0	4860	789.057	902.434	0.952562
5040	935763	435.02	433	52	366	378	0	435.02	60	18.5028	0	29898.8	29072	0	386074	334.071	315.024	0	5040	791.374	900.811	0.950849
5220	0.289281	10.2609	421	0	366	378	0	10.2609	59	-0.066985	0	29998.1	29071.9	0	323706	326.675	379.2	0	5220	788.968	899.191	0.949139
5400	924786	382	565	23	366	378	0	382	59	19.629	0	29862	28932.4	0	150422	312.39	331.386	0	5400	792.93	897.574	0.947432
5580	814636	683.486	389	0	366	378	0	683.486	60	13.773	0	29942.5	28914.4	0	328577	329.266	275.795	0	5580	780.132	895.96	0.945728
5760	2.82483e+06	730	599	0	366	378	0	730	59	24.8168	0	29914.5	29072	0	351852	290.985	285.775	0	5760	779.376	894.349	0.944027
5940	1.72886e+06	671.995	527	8	366	378	0	671.995	59	20.2352	0	29871	28958	0	249868	307.148	326.057	0	5940	815.269	892.74	0.94233
6120	904405	787.051	418	0	366	378	0	787.051	59	13.5235	0	29862.5	28991.8	0	365949	227.359	308.287	0	6120	800.992	891.135	0.940635
6300	2.32529e+06	706	757	166	366	378	0	706	60	22.8953	0	29993.9	29003.6	0	268906	302.659	316.067	0	6300	811.804	889.532	0.938943
6480	880949	85.3897	304	0	366	378	0	85.3897	59.9998	-40.5212	0	29862	28914	0	458689	289.496	358.191	0	6480	820.876	887.932	0.937255
6660	1.40051e+06	561.846	532	48	366	378	0	561.846	59	19.9179	0	29862	29071.1	0	207396	331.894	337.332	0	6660	823.101	886.335	0.935569
6840	1.60497e+06	757.03	613	112	366	378	0	757.03	59	18.369	0	29939.6	28937.6	0	272290	341.921	331.899	0	6840	823.372	884.742	0.933887
7020	1.96189e+06	611.984	796	0	366	378	0	611.984	59	22.588	0	29866.3	29013.5	0	232332	321.204	327.293	0	7020	791.705	883.15	0.932207
7200	2.73584e+06	694	594	0	366	378	0	694	59	25.0482	0	29966.3	29072	0	216468	309.236	317.818	0	7200	810.02	881.562	0.930531
7380	409320	501.028	125	0	366	378	0	501.028	59	-11.4028	0	29941.6	29070.3	0	301920	367.784	314.308	0	7380	818.479	879.977	0.928857
7560	1.51296e+06	430	679	215	366	378	0	430	59	23.6641	0	29933.5	28962.3	0	186696	256.01	333.545	0	7560	798.396	878.394	0.927187
7740	811525	61.8632	543	46	366	378	0	61.8632	59	45.6925	0	30020	28993.7	0	444582	371.639	331.312	0	7740	826.028	876.815	0.92552
7920	2.5511e+06	663.999	1026	0	366	378	0	663.999	60	24.728	0	29916.6	29072	0	331678	360.254	328.421	0	7920	808.705	875.238	0.923855
8100	2.45065e+06	503.999	769	0	366	378	0	503.999	59	27.8186	0	29976.7	29062.1	0	191700	343.593	309.913	0	8100	795.396	873.664	0.922194
8280	1.52661e+06	825.631	489	211	366	378	0	825.631	60	17.1546	0	29939.8	28958.3	0	612519	314.795	366.961	0	8280	796.956	872.093	0.920535
8460	1.28924e+06	34.4461	410	0	366	378	0	34.4461	59	77.3494	0	30020	29072	0	268216	342.13	321.745	0	8460	784.233	870.524	0.91888
8640	4.41808e+06	914	1143	457	366	378	0	914	60	27.7366	0	29914.3	28980.6	0	390001	272.915	312.891	0	8640	811.618	868.959	0.917227
8820	4.09823e+06	63.1353	313	0	366	378	0	63.1353	60	104	0	29862	29072	0	697740	238.468	340.539	0	8820	808.739	867.396	0.915578
9000	5.72032e+06	88.1245	923	67	366	378	0	88.1245	60	104	0	29862	28914	0	354418	284.456	284.296	0	9000	811.948	865.836	0.913931
9180	850035	385.376	508	0	366	378	0	385.376	59	18.7364	0	29862	28914.5	0	256617	293.973	339.043	0	9180	819.374	864.279	0.912288
9360	3.65181e+06	375.199	914	77	366	378	0	375.199	60	39.358	0	30020	28914	0	404643	321.911	289.571	0	9360	811.836	862.725	0.910647
9540	4.08245e+06	86.9251	724	0	366	378	0	86.9251	59	87.0186	0	29982.8	29072	0	469435	296.483	324.871	0	9540	820.726	861.173	0.909009
9720	0.30974	0.000164678	174	157	366	378	0	0.000164678	59	17.3018	0	30020	28996.3	0	387105	385.269	291.417	0	9720	782.439	859.624	0.907374
9900	2.00645e+06	77.5859	777	13	366	378	0	77.5859	59	64.1696	0	30020	29050.9	0	185610	376.279	317.097	0	9900	823.816	858.078	0.905743
10080	1.55421e+06	660	451	3	366	378	0	660	60	19.3595	0	30020	28964.1	0	466840	306.447	307.786	0	10080	787.834	856.535	0.904114
10260	1.66544e+06	600	1007	228	366	378	0	600	59	21.0184	0	29862	29062.5	0	208068	280.512	318.318	0	10260	816.487	854.995	0.902488
10440	2.71542e+06	41.8325	150	0	366	378	0	41.8325	59	104	0	29862	29072	0	672451	267.124	376.599	0	10440	814.209	853.457	0.900865
10620	0.0177583	154.417	48	0	366	378	0	154.417	59.9996	-0.00427823	0	29947.2	28995.6	0	627942	306.267	312.747	0	10620	813.307	851.922	0.899245
10800	1.14374e+06	29.283	361	122	366	378	0	29.283	59	79.0585	0	29862	29072	0	263631	257.524	369.564	0	10800	818.263	850.39	0.897628
10980	224440	482.099	320	0	366	378	0	482.099	59	8.6078	0	29868.2	28992.5	0	323791	266.295	307.215	0	10980	831.628	848.861	0.896013
11160	1.25638e+06	829.985	452	0	366	378	0	829.985	60	15.5215	0	30018.6	29049	0	386170	314.296	337.204	0	11160	833.075	847.334	0.894402
11340	963753	541.609	419	148	366	378	0	541.609	59	16.8287	0	29913.5	29022.3	0	231807	274.679	342.122	0	11340	823.813	845.811	0.892793
11520	2.8279e+06	769.999	705	43	366	378	0	769.999	59	24.1767	0	29964.4	28916.4	0	272797	297.327	274.553	0	11520	830.616	844.29	0.891188
11700	2.95194e+06	992	656	68	366	378	0	992	59	21.7625	0	30020	29072	0	228461	311.031	303.053	0	11700	810.468	842.771	0.889585
11880	3.02096e+06	89.4832	632	0	366	378	0	89.4832	59	73.3923	0	29862	29006.2	0	321251	300.172	322.27	0	11880	822.588	841.256	0.887985
12060	0.0644145	25.5948	114	0	366	378	0	25.5948	59	0.0200137	0	30020	29072	0	461479	391.984	355.5	0	12060	838.02	839.743	0.886388
12240	1.97324e+06	535.996	478	186	366	378	0	535.996	59	24.2058	0	29892.6	28993	0	210250	307.464	357.699	0	12240	845.472	838.233	0.884794
12420	5.65765e+07	888.376	4837	1103	328	398	0	888.376	60	102.859	0	31502.8	25972.3	0	2.64773e+06	316.097	324.857	0	12420	855.057	836.725	0.883203
12600	7.16061e+06	110.313	1048	151	328	398	0	110.313	60	104	0	31442	25912	0	1.39002e+06	320.719	347.894	0	12600	849.206	835.22	0.881615
12780	4.92437e+07	1896.04	7027	2118	333	398	0	1896.04	60	64.3074	0	31517.1	26389	0	2.30764e+06	301.181	311.894	0	12780	838.411	833.718	0.880029
12960	5.38613e+06	82.9761	511	0	333	398	0	82.9761	60	104	0	31442	26465	0	839491	309.98	371.502	0	12960	831.172	832.219	0.878447
13140	4.83543e+06	159.582	752	0	333	398	0	159.582	59	69.4893	0	31526.9	26465	0	408575	291.997	362.647	0	13140	846.889	830.722	0.876867
13320	1.20784e+06	736	377	0	333	398	0	736	59	16.1613	0	31442	26393	0	366579	324.016	374.53	0	13320	855.132	829.228	0.87529
13500	5.18848e+06	98.6669	676	9	333	398	0	98.6669	59	92.4409	0	31442	26307	0	450147	288.042	275.281	0	13500	868.84	827.737	0.873716
