MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_12.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	3
LIMIT-FIT-SIGMA-XY-MAX	151
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	31
LIMIT-FIT-BGD-MAX	32
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	60	61	61	62	63	63	63	64	65	65	66	67	67	68	68	69	69	69	69	69	69	69	69	69	69	68	68	68	67	67	67	67	67	66	65	65	65	65	64	64	64	63	63	62	61	61	61	60	59	59	58	57	57	56	55	54	53	52	51	51	50	49	48	47	47	46	45	44	43	43	42	41	40	40	39	38	37	37	36	35	34	33	31	31	29	28	27	26	25	24	23	22	21	21	20	19	18	18	17	16	16	15	14	14	13	13	12	11	11	10	9	9	8	7	7	6	6	5	5	5	5	4	4	3	3	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	4	4	4	5	5	5	6	7	7	7	7	7	8	8	8	9	9	10	10	11	11	12	13	13	14	15	17	17	18	19	20	21	23	24	25	26	27	28	29	30	32	33	35	37	39	40	41	42	43	44	45	46	46	47	48	49	49	50	50	51	52	53	54	54	55	55	55	END
Y_POS	331	330	329	329	329	328	327	327	326	325	324	323	322	321	320	320	319	318	317	316	315	314	313	312	311	311	310	309	309	308	307	306	305	305	304	303	302	301	301	300	299	299	298	297	297	296	295	295	294	293	293	293	292	292	291	291	291	290	290	289	289	289	289	288	287	287	287	286	286	285	285	285	285	284	284	284	284	283	283	283	283	283	283	282	282	282	282	282	282	282	282	282	282	283	283	283	283	284	284	284	285	285	285	286	286	287	287	287	288	289	289	290	290	291	292	292	293	294	295	296	297	297	298	298	299	300	301	302	303	303	304	305	306	307	307	308	309	310	311	312	313	314	315	315	316	317	318	319	320	321	321	322	323	323	324	325	325	325	326	327	328	329	329	330	331	331	332	333	334	334	335	335	335	336	337	337	337	338	339	339	339	339	339	339	340	340	340	340	340	340	340	340	340	340	340	340	339	339	339	339	339	339	338	338	338	338	337	337	336	336	335	335	335	334	334	333	332	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	4.71424e+06	42.1587	220	0	323	47	0	42.1587	32	151	0	3713	25517	0	337108	287.429	266.894	0	0	577.303	661.792	1
180	623645	507.246	245	0	323	47	0	507.246	32	13.9885	0	3765.11	25517.8	0	182100	313.693	250.202	0	180	580.658	660.602	0.998202
360	1.77869e+06	604	680	8	323	47	0	604	31	21.6492	0	3713	25517	0	140407	275.307	284.541	0	360	579.278	659.414	0.996406
540	9.19834e+07	966.64	7084	1145	323	47	0	966.64	31.0001	133.011	0	3783.71	25618.2	0	1.49116e+06	310.947	331.906	0	540	582.575	658.228	0.994615
720	1.05674e+08	945.025	6702	806	325	51	0	945.025	32	151	0	4084.98	25751.7	0	1.79631e+06	304.104	315.758	0	720	574.092	657.044	0.992826
900	6.58711e+07	635.573	4779	758	319	48	0	635.573	32	141.893	0	3859.68	25267.6	0	1.403e+06	295.518	314.875	0	900	568.059	655.862	0.99104
1080	5.50706e+06	59.5769	448	0	319	48	0	59.5769	31	130.259	0	3950	25201	0	145724	406.964	252.078	0	1080	563.179	654.683	0.989258
1260	2.44517e+06	21.8668	152	0	319	48	0	21.8668	32	151	0	3792	25359	0	244932	326.192	308.919	0	1260	560.952	653.505	0.987479
1440	112336	310.496	306	16	319	48	0	310.496	32	7.58824	0	3794.39	25203.7	0	290891	262.356	292.297	0	1440	561.622	652.33	0.985703
1620	984665	413.946	496	0	319	48	0	413.946	32	19.4573	0	3792	25201.1	0	115563	324.656	298.961	0	1620	559.453	651.157	0.98393
1800	1.31568e-12	2.22045e-14	34	0	319	48	0	2.22045e-14	32	3.07089	0	3800.44	25351.6	0	378922	323.822	349.243	0	1800	555.891	649.986	0.982161
1980	1.64893e+06	654	718	23	319	48	0	654	32	20.0319	0	3792	25325	0	216157	250.324	337.915	0	1980	554.57	648.817	0.980395
2160	1.41842e+06	433.999	399	142	319	48	0	433.999	31	22.807	0	3874.14	25240	0	115874	303.266	306.424	0	2160	545.977	647.65	0.978632
2340	1.52956e+06	55.4503	253	0	319	48	0	55.4503	31	66.2817	0	3950	25232.6	0	82997.9	353.64	275.664	0	2340	545.155	646.486	0.976872
2520	541963	291.999	153	0	319	48	0	291.999	31	17.1872	0	3792	25308.4	0	92781.5	330.393	372.665	0	2520	541.971	645.323	0.975115
2700	180868	305.401	137	0	319	48	0	305.401	31	9.70857	0	3922.76	25359	0	82089.1	263.449	340.361	0	2700	537.897	644.162	0.973361
2880	1.59829e+06	141.098	260	0	319	48	0	141.098	32	42.4598	0	3792	25355.5	0	174273	243.028	369.292	0	2880	550.515	643.004	0.971611
3060	1.52795e+06	522	280	0	319	48	0	522	31	21.5838	0	3950	25359	0	55731.2	399.245	363.835	0	3060	530.133	641.848	0.969863
