MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_13.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	45
LIMIT-FIT-SIGMA-XY-MAX	169
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	60
LIMIT-FIT-BGD-MAX	61
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	152	153	153	154	154	155	155	155	156	156	157	157	157	158	158	159	159	160	160	161	162	162	163	163	164	164	165	165	166	166	167	167	168	169	169	170	170	170	171	171	172	172	172	172	173	173	173	174	174	174	174	174	175	175	175	176	176	176	177	177	177	177	177	177	178	178	178	178	178	178	178	178	178	178	178	178	178	178	177	177	177	177	177	176	176	176	176	176	175	175	174	174	174	173	173	173	173	172	172	172	172	171	171	171	171	170	170	170	170	169	169	169	169	168	168	168	168	167	167	166	166	166	166	166	165	165	165	165	164	164	164	163	163	163	162	162	162	161	161	161	160	160	159	159	159	158	158	157	157	156	156	155	155	154	154	154	153	153	152	151	151	150	150	149	149	149	148	148	147	147	146	146	145	145	144	144	143	143	142	142	141	141	141	140	140	139	139	138	138	138	137	137	137	137	136	136	136	135	135	135	135	134	134	134	133	133	133	132	132	132	131	131	131	130	130	129	129	129	128	128	127	127	126	126	125	125	125	124	124	123	123	122	122	121	121	120	120	119	119	118	118	117	117	116	116	115	115	114	114	113	113	113	112	112	111	111	111	110	110	109	109	109	108	108	108	107	107	107	106	106	106	105	105	105	104	104	104	103	103	102	102	101	101	101	100	100	99	99	99	98	98	98	97	97	97	96	96	95	95	95	94	94	93	93	92	92	91	91	90	90	90	89	89	88	88	87	87	86	86	85	85	84	84	83	83	82	82	81	81	80	80	79	79	79	78	78	78	78	77	77	77	77	77	76	76	76	76	76	76	76	75	75	75	75	75	75	75	75	75	75	75	76	76	76	76	76	76	76	76	77	77	77	77	77	77	78	78	78	78	78	79	79	79	79	79	80	80	80	80	80	81	81	81	81	82	82	82	82	82	83	83	83	83	84	84	84	84	84	84	85	85	85	85	85	86	86	86	86	87	87	87	87	87	87	87	88	88	88	88	88	89	89	89	89	89	90	90	90	90	91	91	91	91	92	92	92	92	93	93	93	93	93	94	94	94	95	95	95	96	96	96	97	97	97	97	98	98	98	99	99	100	100	101	101	101	102	102	103	103	103	104	104	105	105	106	106	106	107	107	108	108	109	109	109	110	110	110	111	111	112	112	113	113	113	114	114	115	115	116	116	117	117	118	118	119	119	120	120	121	121	122	122	123	123	124	124	125	125	125	126	126	127	127	128	128	128	129	129	130	130	131	132	132	133	133	134	134	135	135	135	136	136	137	137	137	138	138	138	139	139	140	140	140	141	141	142	142	142	143	143	144	144	144	144	144	145	145	145	146	146	146	146	146	147	147	147	148	148	148	149	149	150	150	151	151	151	END
Y_POS	217	216	216	216	216	215	215	215	215	215	215	215	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	213	213	213	213	213	213	212	212	212	212	212	211	211	211	210	210	210	209	209	209	209	208	208	208	207	207	206	206	205	205	205	204	204	203	203	202	202	201	200	200	199	199	198	198	198	197	197	197	196	196	196	195	195	194	194	194	194	193	193	193	192	192	192	191	191	191	190	190	190	190	189	189	189	188	188	188	187	187	187	186	186	185	185	185	185	184	184	184	183	183	183	183	182	182	182	181	181	181	181	181	181	181	180	180	180	180	180	179	179	179	179	179	179	178	178	178	178	178	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	178	178	178	178	178	179	179	179	179	179	179	180	180	180	180	181	181	181	181	182	182	182	182	183	183	183	183	184	184	185	185	185	186	186	186	187	187	187	187	187	188	188	188	188	188	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	188	188	188	188	187	187	187	187	187	187	186	186	186	185	185	185	185	184	184	184	184	183	183	183	183	183	183	182	182	182	182	182	182	181	181	181	181	181	181	181	181	181	180	180	180	180	180	180	179	179	179	179	179	179	179	178	178	178	178	177	177	177	177	177	176	176	176	176	176	176	176	176	175	175	175	175	175	175	175	175	175	175	176	176	176	177	177	177	177	178	178	178	179	179	179	180	180	180	181	181	182	182	182	183	183	184	184	185	185	186	186	187	187	188	188	188	189	189	190	190	191	191	192	192	192	193	193	193	194	194	194	195	195	196	196	196	197	197	197	197	198	198	198	199	199	200	200	200	201	201	201	202	202	203	203	203	204	204	204	205	205	205	206	206	206	206	207	207	207	208	208	208	208	209	209	210	210	210	211	211	211	211	212	212	212	213	213	214	214	214	215	215	216	216	216	216	217	217	217	217	218	218	218	218	219	219	219	219	220	220	220	220	221	221	221	221	222	222	222	222	222	223	223	223	224	224	224	224	224	225	225	225	225	225	225	226	226	226	226	226	226	226	226	227	227	227	227	227	227	227	228	228	228	228	228	228	228	228	228	228	228	228	228	228	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	227	227	227	227	227	226	226	226	226	226	225	225	225	225	225	225	224	224	224	223	223	223	223	222	222	222	221	221	220	220	220	220	220	219	219	219	219	218	218	218	218	218	218	217	217	217	216	215	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.48706e+06	116.874	383	126	183	96	0	116.874	60.9996	45.0004	0	7733.3	14542.3	0	649128	327.37	351.298	0	0	843.431	962.781	1
180	3.60937e+06	212.91	1099	213	183	96	0	212.91	60	51.9434	0	7673.91	14481.6	0	350490	277.958	354.345	0	180	855.033	961.05	0.998202
360	4.04213e+06	317.692	852	42	183	96	0	317.692	60	45	0	7584	14457	0	557407	276.705	332.407	0	360	847.822	959.321	0.996406
540	2.43712e+06	191.546	724	0	183	96	0	191.546	60	45	0	7584	14536.9	0	322094	312.904	326.808	0	540	841.677	957.596	0.994615
720	5.57654e+06	438.289	1113	154	183	96	0	438.289	60	45	0	7678.53	14457	0	311771	331.16	327.337	0	720	854.468	955.874	0.992826
900	58504.7	4.58366	275	21	183	96	0	4.58366	60	45.0712	0	7657.86	14457	0	260355	284.001	285.553	0	900	841.775	954.155	0.99104
1080	2.37197e-08	1.86425e-12	239	2	183	96	0	1.86425e-12	61	45	0	7742	14615	0	529841	334.79	345.744	0	1080	842.72	952.439	0.989258
1260	2.26045e+06	67.7118	600	0	183	96	0	67.7118	60	72.9762	0	7742	14543.4	0	235374	328.747	362.914	0	1260	822.441	950.726	0.987479
1440	726983	57.1373	233	0	183	96	0	57.1373	60	45	0	7742	14614.8	0	318284	298.436	337.394	0	1440	841.881	949.016	0.985703
1620	2.231e+06	175.346	661	180	183	96	0	175.346	61	45	0	7618.78	14523.1	0	432029	340.7	300.224	0	1620	824.263	947.31	0.983931
1800	126326	6.35416	192	0	183	96	0	6.35416	60	56.2522	0	7584.13	14457.2	0	223920	318.34	292.118	0	1800	821.843	945.606	0.982161
1980	1.18065e+06	9.34204	230	0	183	96	0	9.34204	60.0001	169	0	7584	14615	0	504292	271.6	348.176	0	1980	827.308	943.905	0.980395
2160	3.04566e+06	239.374	559	0	183	96	0	239.374	60.0002	45	0	7584	14609.1	0	395098	216.151	318.21	0	2160	831.401	942.208	0.978632
2340	4.4569e+07	887.333	5680	485	183	96	0	887.333	60.9993	90.184	0	7638.45	14511.4	0	1.176e+06	300.484	296.323	0	2340	811.344	940.514	0.976872
2520	5.65325e+07	1613.49	7176	1655	184	94	0	1613.49	61	74.7895	0	7542.62	14632.9	0	1.10669e+06	339.675	340.804	0	2520	814.106	938.822	0.975115
2700	2.77507e+07	329.24	1673	216	184	94	0	329.24	60	122.243	0	7554.03	14694	0	1.21967e+06	348.049	407.234	0	2700	818.326	937.134	0.973361
2880	5.06125e+07	1849.16	7348	1912	189	90	0	1849.16	61	66.0231	0	7175.91	15013.8	0	1.34568e+06	293.461	331.016	0	2880	845.653	935.448	0.971611
3060	7.58896e+07	1318.8	7893	1090	187	90	0	1318.8	61	97.1258	0	7184	14868.7	0	1.58703e+06	325.499	324.487	0	3060	811.086	933.766	0.969863
3240	544737	7.19087	93	0	187	90	0	7.19087	60	114.119	0	7110	14930.9	0	377598	237.787	345.826	0	3240	824.57	932.087	0.968119
3420	2.85722e+07	402.117	2058	65	187	90	0	402.117	60	109.718	0	7268	14931	0	666972	362.132	398.611	0	3420	822.438	930.411	0.966378
3600	4.07783e+06	320.497	1081	216	187	90	0	320.497	61	45	0	7223.68	14830.9	0	382761	345.293	348.949	0	3600	822.997	928.737	0.96464
3780	936749	67.4592	84	0	187	90	0	67.4592	60	47.0112	0	7268	14852.4	0	459579	395.641	356.703	0	3780	797.501	927.067	0.962906
3960	1.61105e+06	126.621	542	0	187	90	0	126.621	60	45	0	7268	14930.8	0	315175	311.319	332.92	0	3960	822.781	925.4	0.961174
4140	551970	43.3821	441	78	187	90	0	43.3821	60	45	0	7142.33	14867	0	167322	334.649	319.943	0	4140	816.051	923.736	0.959445
4320	460870	36.222	365	40	187	90	0	36.222	60	45	0	7200.74	14773	0	329370	271.276	244.198	0	4320	803.06	922.075	0.95772
4500	363481	28.5675	369	74	187	90	0	28.5675	60	45.0003	0	7266.29	14920.7	0	288429	274.103	297.645	0	4500	812.45	920.416	0.955997
4680	4.29313e+06	337.419	949	328	187	90	0	337.419	60	45	0	7113.1	14787.2	0	253936	321.99	255.364	0	4680	801.541	918.761	0.954278
4860	2.63493e+06	22.2514	213	31	187	90	0	22.2514	60.0001	158.828	0	7268	14887.8	0	492565	375.864	328.577	0	4860	818.545	917.109	0.952562
5040	2.15588e+06	169.441	670	0	187	90	0	169.441	60	45	0	7112.67	14849.9	0	281241	311.129	319.34	0	5040	816.21	915.459	0.950849
5220	7.98206e+06	138.791	725	286	187	90	0	138.791	60	97.0948	0	7110	14773	0	511189	266.271	278.88	0	5220	796.297	913.813	0.949139
5400	1.9165e+06	150.627	473	46	187	90	0	150.627	60	45	0	7110	14791.4	0	369751	306.777	304.408	0	5400	803.663	912.17	0.947432
5580	3.0638e+06	240.799	525	0	187	90	0	240.799	60	45	0	7183.84	14931	0	516993	289.34	250.963	0	5580	806.304	910.529	0.945728
5760	1.33111e+06	104.619	403	0	187	90	0	104.619	60	45	0	7268	14840.4	0	341221	319.29	297.464	0	5760	809.809	908.892	0.944027
5940	3.32815e+06	261.575	542	150	187	90	0	261.575	60	45.0001	0	7265.41	14773	0	600380	320.848	271.431	0	5940	817.708	907.257	0.94233
6120	1.23121e+06	96.7671	383	226	187	90	0	96.7671	60	45	0	7194.78	14866.7	0	298601	344.938	328.54	0	6120	806.217	905.626	0.940635
6300	1.57612e+06	123.875	427	275	187	90	0	123.875	60.997	45	0	7191.09	14852.3	0	484946	253.683	304.735	0	6300	812.083	903.997	0.938943
6480	1.48748e+06	116.909	599	149	187	90	0	116.909	60	45	0	7201.19	14816	0	621338	251.999	234.662	0	6480	806.488	902.371	0.937255
6660	6.78598e+06	87.0706	1094	0	187	90	0	87.0706	60	116.177	0	7168	14778.9	0	623091	317.479	252.153	0	6660	811.311	900.748	0.935569
