MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_13.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	61
LIMIT-FIT-SIGMA-XY-MAX	159
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	62
LIMIT-FIT-BGD-MAX	63
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	319	319	319	319	319	319	319	318	318	318	318	318	318	318	318	317	317	317	317	317	317	316	316	316	315	315	314	313	313	313	312	312	311	311	310	309	308	307	306	306	306	305	305	305	304	304	303	303	302	302	302	301	301	301	301	300	300	300	300	299	299	299	299	299	299	299	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	299	299	299	300	300	300	301	301	301	302	302	302	302	303	303	303	304	304	304	305	305	305	306	306	306	307	307	307	307	308	308	308	308	309	309	309	309	309	309	310	310	310	310	311	311	311	311	311	311	312	312	312	312	313	313	313	313	313	314	314	314	314	315	315	315	315	316	316	316	316	316	317	317	317	317	317	318	318	318	318	318	319	319	319	319	319	319	319	319	319	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	321	321	321	322	322	322	322	322	323	323	323	323	323	324	324	324	324	325	325	325	325	326	326	327	327	327	327	328	328	329	329	330	330	330	331	331	332	332	333	333	334	335	335	336	336	337	337	338	338	339	339	340	340	340	341	341	341	342	342	342	343	343	343	344	344	344	344	345	345	346	346	346	346	347	347	347	347	347	348	348	348	349	349	350	350	350	351	351	352	352	353	354	354	355	355	356	356	357	357	358	358	359	359	360	361	361	363	363	364	364	365	365	366	366	367	367	368	368	369	369	370	370	370	371	372	372	373	373	374	374	375	376	376	376	377	377	378	378	379	379	380	380	381	381	382	382	383	383	383	384	384	384	384	385	385	385	386	386	386	387	387	387	388	388	388	388	388	388	389	389	389	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	389	389	389	389	388	388	388	388	388	388	387	387	387	387	386	386	386	386	385	385	384	384	384	383	383	383	382	382	381	381	381	381	380	380	380	379	379	378	378	378	377	377	377	376	376	375	375	375	374	374	374	373	373	373	372	372	372	371	371	371	370	370	370	369	369	369	368	368	368	367	367	366	366	366	365	365	364	364	363	363	363	362	362	362	361	361	361	361	361	360	360	360	360	359	359	359	359	359	358	358	358	358	357	357	356	356	355	355	355	355	354	354	354	353	353	353	352	352	351	351	350	350	349	349	348	348	348	347	347	347	346	346	346	345	345	345	344	344	344	344	343	343	342	342	341	341	341	340	340	340	340	339	339	339	338	338	338	337	337	337	337	337	336	336	336	335	335	335	334	334	334	333	333	333	332	332	331	331	330	330	329	329	328	328	328	327	327	326	326	325	325	324	324	323	323	322	322	322	END
Y_POS	138	139	139	140	140	141	141	142	142	143	143	144	144	145	145	146	146	147	147	147	148	148	148	149	149	149	149	150	150	150	150	150	151	151	151	151	151	152	152	152	152	152	153	153	153	153	153	153	153	153	154	154	154	154	155	155	155	155	156	156	156	157	157	157	158	159	159	159	160	160	161	161	162	162	163	163	164	164	165	165	166	166	167	167	168	168	169	169	169	170	170	171	171	171	172	172	172	172	173	173	173	174	174	174	174	175	175	175	176	176	177	177	177	178	178	179	179	179	180	180	181	181	182	182	183	183	184	184	185	185	186	186	187	187	188	188	189	189	190	190	190	191	191	192	193	194	194	195	196	197	197	197	198	198	199	199	199	200	200	201	201	202	202	203	203	203	204	204	205	205	206	206	207	208	208	209	209	210	210	211	212	213	213	214	215	215	216	216	217	217	218	219	220	220	221	221	222	222	222	222	223	223	223	224	224	225	225	226	226	227	227	227	228	228	229	229	229	230	230	230	230	230	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	230	230	230	229	229	228	228	228	228	227	227	227	226	226	226	225	225	224	224	223	223	222	222	222	221	221	221	220	220	219	219	219	218	218	218	218	217	217	217	217	217	217	217	217	217	217	217	217	217	217	218	218	218	218	218	218	218	219	219	219	219	219	219	219	219	219	219	219	219	219	219	219	219	219	219	219	219	219	219	219	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	219	219	219	219	219	218	218	217	217	216	216	215	215	214	214	214	213	213	212	212	211	211	210	210	209	209	208	208	207	207	206	206	205	205	204	204	203	203	202	202	201	201	200	200	199	199	198	198	197	197	196	196	195	195	194	194	194	193	193	192	192	191	191	191	190	189	189	188	188	188	187	187	187	186	186	186	186	185	185	185	185	184	184	184	183	183	183	182	182	182	182	182	181	181	181	180	180	180	180	180	180	179	179	179	179	178	178	178	178	177	177	176	176	176	175	175	174	174	173	173	173	172	172	171	171	170	170	169	169	169	168	168	167	167	167	166	166	166	166	165	165	165	164	164	164	163	163	163	162	162	161	161	160	160	160	159	159	159	159	159	158	158	158	158	158	158	157	157	157	157	156	156	156	156	156	156	156	155	155	155	154	154	154	154	154	153	153	153	152	152	152	151	151	151	150	150	150	150	149	149	149	148	148	148	148	147	147	147	146	146	146	145	145	144	144	144	143	143	143	142	142	142	142	141	141	141	141	140	140	140	140	140	140	140	140	140	139	139	139	139	139	139	139	139	139	138	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	7.19496e-10	3.07806e-14	31	0	162	303	0	3.07806e-14	62	61	0	24095	12956	0	233233	288.017	362.025	0	0	807.859	910.671	1
180	7.2854e-07	3.11675e-11	280	62	162	303	0	3.11675e-11	62	61	0	24095	12798	0	148955	357.94	347.389	0	180	826.07	909.033	0.998202
360	4.90837e+06	209.984	864	0	162	303	0	209.984	62	61	0	24095	12876.8	0	427289	347.25	305.237	0	360	813.993	907.398	0.996406
540	1.18015e+06	37.4552	522	21	162	303	0	37.4552	62	70.8731	0	23938.3	12798	0	369495	339.019	247.474	0	540	809.173	905.767	0.994615
720	2.39727e+06	102.557	655	84	162	303	0	102.557	62	61	0	23944.9	12798	0	349515	333.163	323.51	0	720	820.672	904.138	0.992826
900	2.39513e+06	102.466	606	22	162	303	0	102.466	62	61	0	24094	12798	0	257846	328.279	298.54	0	900	807.901	902.512	0.99104
1080	162856	6.96712	208	125	162	303	0	6.96712	62	61	0	23937	12956	0	267929	326.198	307.325	0	1080	806.323	900.889	0.989258
1260	3.12926e+06	133.872	705	184	162	303	0	133.872	62	61	0	24095	12956	0	263160	333.216	330.711	0	1260	787.8	899.268	0.987479
1440	1.85417e+06	57.6743	341	10	162	303	0	57.6743	62	71.5976	0	23937	12798	0	507962	254.949	275.107	0	1440	807.643	897.651	0.985703
1620	1.32902e+08	5685.65	12602	9554	162	303	0	5685.65	62	61	0	24016.6	12881.3	0	3.943e+07	308.11	333.089	0	1620	787.876	896.037	0.983931
1800	6.52513e+07	836.908	5841	1094	184	328	0	836.908	63	116.206	0	25994.2	14596.2	0	1.43236e+06	323.899	312.503	0	1800	780.507	894.425	0.982161
1980	6.56385e+07	643.898	5301	742	183	327	0	643.898	62	140.071	0	25898.1	14457	0	1.63782e+06	315.351	255.593	0	1980	779.888	892.817	0.980395
2160	1.33403e+08	1592.18	10669	1733	182	324	0	1592.18	63	121.76	0	25714.3	14445.5	0	2.52161e+06	352.298	301.776	0	2160	780.499	891.211	0.978632
2340	1.34558e+08	1310.48	10258	1372	188	321	0	1310.48	62.9999	140.86	0	25422.4	14944.6	0	4.21095e+06	305.919	329.779	0	2340	767.622	889.609	0.976872
2520	1.131e+08	1373.94	9826	977	191	328	0	1373.94	62	120.348	0	26009.7	15182.3	0	3.37014e+06	343.688	324.252	0	2520	771.909	888.009	0.975115
2700	1.04615e+08	1627.02	10291	1236	193	326	0	1627.02	63	103.43	0	25842	15362.6	0	1.93658e+06	330.833	352.905	0	2700	773.672	886.412	0.973361
2880	1.84543e+08	2184.55	14982	2270	196	325	0	2184.55	63	122.427	0	25770.8	15553.3	0	2.86095e+06	334.061	306.132	0	2880	792.98	884.818	0.971611
3060	7.05442e+07	871.135	6538	1134	201	345	0	871.135	62.9978	119.068	0	27356.5	15959.9	0	1.77162e+06	341.925	318.773	0	3060	762.63	883.226	0.969863
3240	1.86975e+08	2481.9	16811	2523	187	343	0	2481.9	63	113.725	0	27150.1	14865.5	0	3.28842e+06	285.918	329.074	0	3240	775.644	881.638	0.968119
3420	1.43316e+08	2147.72	13807	2029	186	343	0	2147.72	62	105.69	0	27181.7	14758.9	0	2.45873e+06	322.766	302.433	0	3420	771.192	880.052	0.966378
3600	1.89515e+08	2134.63	13878	2715	175	337	0	2134.63	63	126.626	0	26737.3	13942	0	5.92192e+06	335.331	334.022	0	3600	773.919	878.47	0.96464
3780	1.05586e+08	1285.05	9188	958	175	341	0	1285.05	62.0011	120.202	0	27030.9	13915.5	0	2.64083e+06	324.026	319.79	0	3780	745.829	876.89	0.962905
3960	8.69295e+07	1460	9526	1190	183	334	0	1460	62.132	98.9953	0	26465.1	14550.1	0	2.20965e+06	315.671	312.738	0	3960	765.262	875.313	0.961174
4140	6.69068e+07	1414.63	7537	984	193	331	0	1414.63	62.9999	87.3423	0	26193.9	15354.7	0	2.20455e+06	281.774	324.521	0	4140	760.75	873.739	0.959445
4320	5.99681e+07	690.091	5261	968	202	324	0	690.091	63	124.78	0	25674	16002.2	0	1.92099e+06	332.302	271.809	0	4320	756.632	872.168	0.95772
4500	1.55433e+08	2015.18	13416	2042	196	325	0	2015.18	62	115.416	0	25723.4	15559.7	0	1.97529e+06	289.849	311.208	0	4500	765.075	870.599	0.955997
4680	8.03198e+07	1042.14	7143	1047	199	326	0	1042.14	62	115.361	0	25842.4	15804.8	0	2.00939e+06	326.705	327.506	0	4680	754.817	869.033	0.954278
4860	8.7812e+06	375.667	1451	0	199	326	0	375.667	63	61	0	25912	15756.1	0	1.06867e+06	352.998	267.713	0	4860	770.998	867.471	0.952562
5040	2.70586e+06	115.758	735	0	199	326	0	115.758	63	61.0002	0	25843.6	15879	0	479812	304.694	290.242	0	5040	763.197	865.911	0.950849
5220	5.61925e+06	240.396	1062	275	199	326	0	240.396	62	61	0	25863	15778.8	0	414040	315.525	285.635	0	5220	740.049	864.353	0.949139
5400	4.59612e+06	196.626	762	0	199	326	0	196.626	62	61	0	25754	15879	0	402812	283.026	359.567	0	5400	745.651	862.799	0.947432
5580	2.02715e+06	86.723	878	0	199	326	0	86.723	62	61	0	25891.2	15861.9	0	350466	293.138	316.509	0	5580	742.503	861.247	0.945728
5760	1.34847e+06	57.6849	732	0	199	326	0	57.6849	62	61.002	0	25843.4	15855.2	0	719626	412.462	274.93	0	5760	747.404	859.698	0.944027
5940	8.3499e-10	3.57216e-14	15	0	199	326	0	3.57216e-14	62	61	0	25912	15879	0	275899	364.101	304.027	0	5940	752.838	858.152	0.94233
6120	402999	17.2406	439	6	199	326	0	17.2406	62.5408	61	0	25912	15879	0	367181	289.212	364.45	0	6120	740.102	856.609	0.940635
