MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_14.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	18
LIMIT-FIT-SIGMA-XY-MAX	180
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	43
LIMIT-FIT-BGD-MAX	44
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	293	293	292	292	292	292	292	291	291	291	291	291	290	290	290	290	289	289	289	289	289	288	288	288	287	287	287	286	286	286	285	285	285	285	284	284	283	283	283	282	282	281	281	281	280	280	279	279	278	278	277	277	276	276	275	275	274	274	273	273	272	272	271	271	270	270	269	269	268	268	267	267	266	266	265	265	264	264	263	263	262	262	261	261	260	260	259	259	259	258	258	258	257	257	256	256	256	255	255	255	255	254	254	254	254	253	253	253	253	253	253	253	253	253	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	253	253	253	253	253	253	253	253	253	253	253	253	253	254	254	254	254	254	254	255	255	255	255	255	255	256	256	256	256	257	257	257	257	257	258	258	258	258	259	259	259	259	260	260	261	261	261	262	262	263	263	263	264	264	265	265	265	266	266	267	267	268	268	268	269	269	270	270	271	271	272	272	273	273	274	274	275	276	276	277	277	278	278	279	279	280	280	280	281	281	281	282	282	282	282	283	283	283	284	284	284	284	285	285	285	286	286	286	286	286	287	287	288	288	288	289	289	290	290	290	291	291	292	292	293	293	294	294	295	295	296	296	296	297	297	298	298	298	299	299	300	300	300	301	301	301	301	302	302	302	303	303	303	304	304	304	305	305	306	306	306	307	307	307	308	308	309	309	309	310	310	310	311	311	312	312	313	313	314	314	315	315	315	316	316	316	316	317	317	317	317	317	317	318	318	318	318	318	318	318	318	318	318	318	318	319	319	319	319	319	319	319	319	319	319	319	319	319	319	318	318	318	318	317	317	317	317	316	316	316	316	316	315	315	315	315	314	314	313	313	313	312	312	311	311	310	310	309	309	308	308	308	307	307	307	306	306	306	305	305	304	304	303	303	302	302	301	301	300	300	299	299	298	298	297	297	296	296	296	295	295	295	294	END
Y_POS	333	332	332	331	331	331	330	330	329	329	329	328	328	328	328	327	327	327	326	326	326	326	325	325	325	325	324	324	324	324	324	323	323	323	323	322	322	322	322	322	322	322	321	321	321	321	321	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	319	319	319	319	319	319	319	319	319	319	319	319	319	319	319	320	320	320	320	320	321	321	321	321	321	322	322	322	322	323	323	323	323	324	324	325	325	325	326	326	327	327	328	328	329	329	329	330	330	331	331	332	332	333	333	334	334	335	335	336	336	337	337	338	338	339	339	340	340	341	341	341	342	342	343	343	344	344	345	345	346	346	347	347	347	348	348	349	349	350	350	350	351	351	351	352	352	352	353	353	353	354	354	354	355	355	355	355	356	356	356	357	357	357	358	358	358	359	359	359	359	359	359	359	359	359	360	360	360	360	360	360	360	360	360	360	360	360	360	361	361	361	361	361	361	361	361	361	361	361	361	361	361	360	360	360	360	360	360	360	359	359	359	359	358	358	358	358	357	357	357	357	356	356	356	356	356	355	355	355	354	354	354	354	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	354	354	354	354	354	355	355	355	355	355	356	356	356	357	357	357	357	358	358	359	359	359	359	359	359	359	359	360	360	360	360	360	360	360	361	361	361	361	361	361	361	361	361	361	361	360	360	360	360	360	359	359	359	358	358	358	357	357	357	356	356	355	355	355	354	354	353	353	352	352	352	351	351	350	350	349	349	348	348	347	347	346	346	346	345	345	345	344	344	344	343	343	343	342	342	342	342	341	341	341	341	341	340	340	340	340	340	340	340	340	339	339	339	339	339	339	339	339	338	338	338	338	338	338	338	337	337	337	337	337	337	337	337	336	336	336	336	336	336	336	336	335	335	335	335	335	335	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	25088.6	11.8568	85	10	335	273	0	11.8568	43	18.3512	0	21567	26465.9	0	144037	284.659	277.824	0	0	675.948	759.09	1
180	2.98342e+06	85.3172	794	58	335	273	0	85.3172	43	74.7148	0	21590.8	26465	0	174307	245.886	285.224	0	180	671.795	757.725	0.998202
360	746683	366.772	462	80	335	273	0	366.772	43	18.0003	0	21638.6	26495.2	0	104135	290.712	319.463	0	360	663.711	756.363	0.996406
540	1.6189e+06	260.044	387	97	335	273	0	260.044	43	31.4773	0	21567	26526.9	0	192914	316.944	324.048	0	540	658.513	755.002	0.994615
720	939073	122.718	150	0	335	273	0	122.718	43	34.8984	0	21725	26465	0	170282	447.118	252.118	0	720	663.373	753.645	0.992826
900	432300	212.354	339	0	335	273	0	212.354	43	18	0	21646.2	26621.9	0	147951	291.766	302.038	0	900	641.533	752.289	0.99104
1080	269672	132.452	130	8	335	273	0	132.452	43	18.0011	0	21723.7	26468.6	0	152601	315.035	339.115	0	1080	655.987	750.936	0.989258
1260	1.44866e+06	235.642	582	36	335	273	0	235.642	43	31.28	0	21589	26501.5	0	156005	312.054	227.072	0	1260	646.96	749.586	0.987479
1440	732688	11.5132	234	0	335	273	0	11.5132	43	102.816	0	21725	26465	0	194630	363.036	267.191	0	1440	648.934	748.238	0.985703
1620	1.48111e+06	83.0388	234	0	335	273	0	83.0388	43	53.2803	0	21725	26465	0	138178	343.947	253.497	0	1620	651.026	746.892	0.98393
1800	1.87497e+06	452	507	137	335	273	0	452	43	25.6944	0	21579.7	26595.4	0	148168	289.305	326.187	0	1800	660.107	745.549	0.982161
1980	1.54818e+06	760.495	327	0	335	273	0	760.495	43	18	0	21567	26465	0	283380	323.474	411.122	0	1980	653.746	744.208	0.980395
2160	83491.3	35.6315	159	46	335	273	0	35.6315	43	19.3114	0	21697.4	26542.5	0	147900	283.98	306.594	0	2160	646.852	742.87	0.978632
2340	1.47614e+06	63.1016	279	0	335	273	0	63.1016	43.2027	61.0236	0	21590.8	26623	0	230653	258.521	344.001	0	2340	650.465	741.534	0.976872
2520	585433	287.562	318	21	335	273	0	287.562	43	18.0004	0	21646.1	26467.8	0	187004	283.06	279.453	0	2520	651.823	740.2	0.975115
2700	930927	414.816	363	15	335	273	0	414.816	43.0006	18.899	0	21723.5	26543.9	0	165773	352.098	326.294	0	2700	647.106	738.869	0.973361
2880	506548	5.86368	97	1	335	273	0	5.86368	43	124.281	0	21567	26623	0	190053	256.557	352.274	0	2880	661.703	737.54	0.971611
3060	1.94315e+06	621.999	518	311	335	273	0	621.999	43	22.2981	0	21651.2	26554.3	0	118381	317.445	284.885	0	3060	648.399	736.214	0.969863
3240	6.0165e+06	45.7271	565	0	335	273	0	45.7271	43	176.146	0	21725	26623	0	351855	327.402	350.207	0	3240	650.377	734.89	0.968119
3420	65303.9	30.8366	313	23	335	273	0	30.8366	44	18.3589	0	21569.7	26543	0	263626	278.937	334.116	0	3420	653.756	733.568	0.966378
3600	1.44469e+06	27.3062	266	44	335	273	0	27.3062	43	92.7467	0	21567	26465	0	153843	244.758	305.139	0	3600	652.74	732.249	0.96464
3780	1.95474e+06	693.655	673	0	335	273	0	693.655	43	21.1779	0	21646.3	26622.7	0	196028	319.809	318.612	0	3780	665.909	730.932	0.962905
3960	1.4475e+06	620	372	0	335	273	0	620	44	19.2763	0	21567	26623	0	306718	304.929	352.422	0	3960	661.191	729.618	0.961174
4140	44793	21.0639	160	52	335	273	0	21.0639	43	18.3969	0	21640.7	26544	0	120329	273.183	318.412	0	4140	662.86	728.306	0.959445
4320	5.39293e+06	40.173	461	123	335	273	0	40.173	44	180	0	21714.9	26623	0	358461	349.296	316.521	0	4320	649.607	726.996	0.95772
4500	1.77412e+06	478	516	0	335	273	0	478	43	24.3046	0	21590.6	26465	0	114707	307.554	253.38	0	4500	672.682	725.688	0.955997
4680	2.67806e+06	79.5471	467	0	335	273	0	79.5471	43	73.2891	0	21567	26465	0	262856	296.954	324.239	0	4680	659.8	724.383	0.954278
4860	1.07412e+06	407.294	348	50	335	273	0	407.294	43	20.4872	0	21725	26621.5	0	96004.4	327.115	356.97	0	4860	681.313	723.081	0.952562
5040	1.72497e-05	8.47336e-09	56	0	335	273	0	8.47336e-09	43	18	0	21567	26465	0	178588	293.898	306.895	0	5040	652.169	721.78	0.950849
