MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_16.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	39
LIMIT-FIT-SIGMA-XY-MAX	173
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	55
LIMIT-FIT-BGD-MAX	56
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	127	127	127	128	129	129	130	131	132	132	134	134	135	135	136	137	137	138	138	138	139	139	140	140	141	141	141	142	142	142	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	142	142	142	142	142	141	141	141	141	140	140	140	140	140	139	139	139	139	139	138	138	138	138	138	138	137	137	137	136	136	136	136	135	135	135	134	134	133	133	132	132	132	132	131	131	131	130	130	129	129	128	127	127	126	126	125	125	124	124	124	123	123	123	122	122	121	121	120	120	119	118	118	117	117	116	116	115	115	114	114	113	113	112	111	110	109	108	108	107	107	106	105	104	103	103	102	102	101	101	100	100	99	99	98	98	97	97	97	96	96	96	95	95	95	94	94	94	93	93	93	92	92	92	92	91	91	91	91	91	90	90	90	90	90	89	89	89	89	89	89	89	89	88	88	88	88	88	88	88	88	88	88	88	87	87	87	87	87	87	86	86	86	86	85	85	85	85	85	84	84	84	84	83	83	83	83	83	82	82	82	82	82	82	81	81	81	81	81	81	81	81	81	81	81	82	82	82	82	82	83	83	83	84	84	85	85	85	86	86	86	87	89	91	92	94	94	95	95	96	97	98	98	99	100	100	101	101	102	102	103	105	106	107	108	109	110	110	111	111	111	112	112	113	113	114	114	115	115	116	116	117	117	118	118	119	120	120	121	121	122	122	122	123	123	END
Y_POS	105	104	104	104	103	103	102	102	101	101	100	100	99	99	98	98	98	98	98	97	97	97	97	96	96	96	96	95	95	94	94	94	93	93	92	92	91	91	90	90	89	89	88	88	87	87	86	86	85	85	85	85	84	84	83	83	83	82	82	81	81	81	80	79	79	78	78	77	77	77	76	76	75	75	75	74	74	74	73	73	72	72	72	72	71	71	70	70	69	69	69	68	68	68	68	68	67	67	67	67	66	66	65	65	65	65	65	64	64	64	64	64	63	63	63	63	63	63	63	63	63	63	63	62	62	62	62	62	62	62	62	62	62	62	62	62	63	63	63	63	63	63	64	64	64	64	64	64	64	65	65	65	65	65	66	66	66	66	66	66	67	67	67	67	68	68	68	69	69	69	70	70	71	71	71	71	72	72	73	73	74	74	75	75	75	76	76	77	77	77	78	78	79	80	80	80	81	81	82	82	83	83	84	84	84	85	85	86	86	87	87	87	87	88	88	89	89	90	90	90	91	91	91	91	92	92	93	93	94	94	95	95	96	97	97	98	98	99	99	100	100	101	101	102	102	103	103	104	104	105	105	105	106	106	107	107	107	108	108	108	108	109	110	111	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	111	111	111	111	111	110	110	110	110	110	110	110	110	109	109	109	109	109	109	109	108	108	108	108	108	108	107	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	0.0738147	7.72385e-06	110	18	81	114	0	7.72385e-06	55	39	0	9156.84	6474.81	0	119584	292.183	289.303	0	0	879.27	1065.89	1
180	1.46065e+06	152.84	595	0	81	114	0	152.84	55	39	0	9133.7	6399	0	191925	321.009	329.966	0	180	891.902	1063.98	0.998202
360	94.4849	0.00988191	268	0	81	114	0	0.00988191	55	39.0095	0	9068.17	6399	0	230708	277.473	283.137	0	360	890.692	1062.06	0.996406
540	1.81005e+06	189.401	527	235	81	114	0	189.401	55	39	0	9085.06	6461.38	0	203496	374.02	270.045	0	540	893.659	1060.15	0.994615
720	0.000545503	5.70806e-08	172	0	81	114	0	5.70806e-08	55	39	0	9164	6399	0	172296	353.591	272.079	0	720	919.244	1058.25	0.992826
900	219.591	0.0229757	298	0	81	114	0	0.0229757	55	39.0016	0	9154.4	6547.8	0	183019	353.275	309.942	0	900	879.71	1056.34	0.99104
1080	2.84965e+06	298.183	601	14	81	114	0	298.183	55	39	0	9160.59	6455.41	0	298767	343.979	249.135	0	1080	902.492	1054.44	0.989258
1260	5.85526e+07	1222.65	6812	1402	81	114	0	1222.65	55.0411	87.9213	0	9055.91	6493.64	0	1.06896e+06	300.505	343.45	0	1260	865.122	1052.55	0.987479
1440	1.32688e+08	1519.07	10047	1943	81	120	0	1519.07	56	125.219	0	9525.52	6492.54	0	1.80882e+06	285.29	326.122	0	1440	898.72	1050.66	0.985703
1620	1.76625e+08	2099.88	13419	2030	89	116	0	2099.88	55.9999	122.074	0	9273.26	7077.53	0	2.8752e+06	339.081	293.273	0	1620	895.478	1048.77	0.983931
1800	4.55087e+08	4343.08	31029	3944	90	116	0	4343.08	56	143.132	0	9221.87	7177.86	0	9.25294e+06	306.328	315.628	0	1800	910.392	1046.88	0.982161
1980	1.24377e+08	1133.19	8745	626	94	111	0	1133.19	55.0001	148.646	0	8833.89	7508.18	0	1.96727e+06	303.988	317.119	0	1980	891.718	1045	0.980395
2160	46.8798	0.00187983	232	0	94	111	0	0.00187983	55	63.0111	0	8769.03	7505.94	0	190117	236.652	350.584	0	2160	899.318	1043.12	0.978632
2340	1.58495e+06	165.847	702	0	94	111	0	165.847	55	39	0	8916.44	7426	0	241749	308.227	295.067	0	2340	912.036	1041.24	0.976872
2520	9.64346e+07	1686.43	9624	1867	86	107	0	1686.43	56	96.7865	0	8527.84	6872.64	0	1.43091e+06	309.164	321.906	0	2520	907.834	1039.37	0.975115
2700	3.17756e+08	2965.4	21300	2325	89	106	0	2965.4	55	145.732	0	8476.33	7093.96	0	3.4988e+06	329.71	307.804	0	2700	901.864	1037.5	0.973361
2880	1.65752e+08	1758.52	13094	2017	92	105	0	1758.52	56	132.095	0	8363.94	7343.21	0	3.05977e+06	308.893	316.93	0	2880	898.077	1035.63	0.971611
3060	2.88553e+08	2969.03	21563	3616	92	109	0	2969.03	56	135.092	0	8691.85	7362.09	0	6.84087e+06	313.662	323.046	0	3060	868.001	1033.77	0.969863
3240	1.54785e+08	1278.67	9844	1482	90	105	0	1278.67	55.0001	162.099	0	8366.37	7182.92	0	2.33721e+06	318.406	310.93	0	3240	877.153	1031.91	0.968119
3420	2.51957e+08	2061.49	14919	2548	96	103	0	2061.49	55	163.58	0	8182.34	7649.25	0	4.03742e+06	292.186	304.979	0	3420	880.174	1030.06	0.966378
3600	2.23766e+08	2152.53	15802	2349	98	106	0	2152.53	55.9999	142.233	0	8465.3	7799.31	0	3.81351e+06	317.899	304.8	0	3600	876.277	1028.2	0.96464
