MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_17.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-6
LIMIT-FIT-SIGMA-XY-MAX	140
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	29
LIMIT-FIT-BGD-MAX	30
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	413	412	412	412	412	412	412	412	411	411	411	411	411	411	410	410	410	410	410	410	409	409	409	409	409	409	409	409	409	408	408	408	408	408	407	407	407	407	407	407	406	406	406	406	406	405	405	405	405	405	404	404	404	403	403	403	402	402	402	401	401	401	401	400	400	400	400	400	399	399	399	399	399	398	398	398	398	397	397	397	397	396	396	396	396	395	395	395	395	394	394	394	394	393	393	392	392	392	391	391	390	389	389	388	388	388	387	387	387	386	386	385	385	385	384	384	383	382	382	381	381	380	380	379	379	378	378	378	378	377	377	377	376	376	376	376	376	376	375	375	375	374	374	374	374	374	373	373	373	373	373	373	373	373	372	372	372	372	372	372	372	372	372	372	373	373	373	373	373	373	373	373	374	374	374	374	375	375	375	375	375	376	376	376	377	377	377	377	377	377	378	378	378	379	379	379	379	379	379	379	380	380	380	380	381	381	381	381	381	381	381	381	382	382	382	382	382	382	382	382	382	382	382	382	383	383	383	383	383	383	383	383	383	383	383	383	384	384	384	384	384	384	384	384	384	384	384	384	384	384	384	384	384	384	383	383	383	383	383	383	383	383	383	382	382	382	382	382	382	381	381	381	381	381	381	381	380	380	380	380	380	380	380	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	380	380	380	380	380	380	380	381	381	381	381	381	381	381	382	382	382	382	383	383	383	383	383	384	384	384	385	385	385	386	386	386	387	387	387	387	388	388	389	389	389	390	391	391	392	392	393	393	394	394	394	395	396	396	397	397	398	400	400	401	402	403	403	404	405	406	406	407	407	408	408	408	409	409	410	411	411	411	412	412	413	413	414	414	415	415	416	416	417	417	418	418	419	419	420	420	421	421	421	422	422	422	423	423	424	424	424	425	425	426	426	427	427	427	428	428	428	428	428	429	429	429	429	429	429	430	430	430	430	430	430	430	430	430	430	430	430	430	430	430	430	430	430	430	430	430	429	429	429	429	429	429	429	429	429	429	428	428	428	428	428	427	427	427	427	426	426	426	426	425	425	425	425	424	424	424	423	423	423	422	422	422	421	421	420	420	420	419	419	419	419	418	418	417	417	417	417	416	416	416	416	415	415	414	414	414	413	413	413	413	413	413	413	412	412	412	412	412	412	412	412	412	412	412	412	412	END
Y_POS	58	58	57	57	56	56	55	55	54	54	53	53	52	52	52	51	51	50	50	49	49	49	48	48	47	47	47	46	46	45	45	44	44	43	43	43	42	42	41	41	40	40	40	39	39	39	38	37	37	37	36	36	35	35	34	34	33	33	33	32	32	32	31	31	31	31	30	30	30	29	29	29	28	28	28	28	27	27	27	27	26	26	26	26	25	25	25	25	24	24	24	24	23	23	23	23	22	22	22	21	21	21	21	21	21	20	20	20	20	20	20	20	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	20	20	20	21	21	22	22	23	23	23	24	24	25	25	26	26	27	27	28	28	28	29	29	30	30	31	31	31	32	32	33	33	34	34	35	35	36	36	36	37	37	37	38	38	39	39	39	40	40	41	41	41	42	42	42	43	43	43	44	44	44	45	45	46	46	47	47	47	48	48	48	49	49	49	50	50	50	51	51	52	52	52	53	53	54	54	54	55	55	56	56	57	57	58	58	59	59	60	60	61	61	61	62	62	63	63	64	65	65	66	66	67	68	68	69	69	70	70	71	72	72	73	73	74	74	75	75	76	76	77	77	78	79	79	80	80	80	81	81	82	82	83	83	84	84	85	85	86	86	86	87	87	87	88	88	89	89	90	90	91	91	92	92	93	93	94	94	95	96	96	97	97	98	98	99	99	100	100	101	101	102	102	103	103	104	104	104	105	105	106	106	106	107	107	108	108	108	109	109	109	110	110	110	111	111	111	112	112	112	112	112	113	113	113	114	114	114	114	114	115	115	115	115	116	116	116	116	117	117	117	117	117	117	117	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	117	117	117	117	117	116	116	116	116	116	116	115	115	115	115	114	114	114	114	114	113	113	113	113	113	113	113	112	112	112	112	112	111	111	111	111	111	110	110	110	109	109	108	108	108	107	107	107	107	106	106	105	105	104	104	103	103	102	102	101	101	100	99	99	98	98	97	97	96	96	95	94	94	93	93	92	92	91	91	91	90	90	89	89	88	88	88	87	86	86	85	84	84	84	83	83	82	82	82	81	81	80	80	80	80	79	79	79	78	78	78	77	77	77	76	76	76	76	76	75	75	74	74	74	74	73	73	72	72	72	72	71	70	70	70	69	69	68	68	68	67	67	67	66	66	65	65	64	64	63	63	62	62	61	61	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	814978	441.998	343	0	29	384	0	441.998	29	17.1306	0	30461.4	2449	0	99484.4	236.329	329.341	0	0	523.009	583.608	1
180	662820	340.598	195	0	29	384	0	340.598	29	17.5989	0	30493.9	2366.13	0	62869.1	358.138	238.736	0	180	514.934	582.558	0.998202
360	38.296	0.395795	14	0	29	384	0	0.395795	29	-3.9242	0	30372.3	2291	0	83668.4	336.27	271.655	0	360	530.151	581.511	0.996406
540	1.46211e+06	88.9259	370	0	29	384	0	88.9259	29	51.155	0	30336	2449	0	66472.3	272.402	393.295	0	540	515.359	580.465	0.994615
720	1.44338e+06	432	525	0	29	384	0	432	29.2189	23.0599	0	30375.8	2291.01	0	114290	277.711	275.099	0	720	515.207	579.421	0.992826
900	695574	376	216	0	29	384	0	376	29.3173	17.1588	0	30494	2291	0	92862.3	286.145	276.602	0	900	509.697	578.379	0.99104
1080	2.39756e+06	70.1108	160	0	29	384	0	70.1108	30	73.8724	0	30336	2291	0	184463	285.711	310.897	0	1080	510.68	577.339	0.989258
1260	847654	473.391	270	164	29	384	0	473.391	30	16.8814	0	30410.1	2369.93	0	138201	344.727	374.909	0	1260	507.912	576.301	0.987479
1440	3.19731e+06	506	735	233	29	384	0	506	30	31.7123	0	30411.5	2329.3	0	145988	312.457	319.36	0	1440	517.048	575.264	0.985703
1620	4.1186e+07	440.964	2607	373	29	384	0	440.964	29	131.229	0	30494	2424.4	0	641047	382.584	353.125	0	1620	526.888	574.23	0.98393
1800	5.5827e+07	798.775	5179	683	29	384	0	798.775	30	108.633	0	30416.4	2392.76	0	1.35175e+06	325.62	353.548	0	1800	514.739	573.197	0.982161
1980	5.05221e+07	495.935	2409	178	29	384	0	495.935	29	140	0	30336	2449	0	1.22096e+06	203.512	370.425	0	1980	507.461	572.166	0.980395
2160	1.19469e+06	971.902	319	48	29	384	0	971.902	30	13.987	0	30336	2291	0	617288	220.706	433.28	0	2160	511.771	571.137	0.978632
2340	899041	529.993	380	0	29	384	0	529.993	29	16.431	0	30336	2388.42	0	117292	316.403	368.555	0	2340	516.664	570.11	0.976872
2520	0.00226041	39.5316	45	0	29	384	0	39.5316	30	-0.0030167	0	30378	2385.93	0	260916	276.738	333.725	0	2520	503.742	569.085	0.975115
2700	1.26141e+06	1332.38	495	0	29	384	0	1332.38	30	12.2751	0	30415	2448.99	0	1.3552e+06	213.846	423.762	0	2700	512.997	568.061	0.973361
2880	1.6102e+07	269.5	1106	204	29	384	0	269.5	30	99.1888	0	30494	2412	0	363193	339.979	371.677	0	2880	514.765	567.04	0.971611
3060	6.74825e+06	1006.49	1451	573	29	384	0	1006.49	30	32.6663	0	30440.4	2374.1	0	421590	274.66	337.604	0	3060	501.329	566.02	0.969863
3240	6.47281e+06	101.654	478	36	29	384	0	101.654	29	102.85	0	30336	2291	0	253146	249.663	207.97	0	3240	523.895	565.002	0.968119
3420	2.61559e+07	469.54	1374	186	29	384	0	469.54	30	95.3963	0	30336	2291	0	467847	269.091	262.025	0	3420	509.604	563.986	0.966378
3600	1.27537e+06	532	409	0	29	384	0	532	30	19.5332	0	30336	2373.9	0	147948	347.492	364.213	0	3600	513.025	562.972	0.96464
3780	1.81847e+07	178.504	823	82	29	384	0	178.504	29.6978	140	0	30494	2449	0	781700	421.949	381.355	0	3780	503.554	561.959	0.962905
3960	42842	67.4191	188	0	29	384	0	67.4191	29	10.0566	0	30494	2449	0	66115	321.483	378.144	0	3960	515.884	560.949	0.961174
4140	1.37681e+06	50.8923	240	0	29	384	0	50.8923	29	65.6377	0	30392.5	2291	0	103634	317.078	261.197	0	4140	515.711	559.94	0.959445
4320	872895	618.201	392	0	29	384	0	618.201	29	14.9909	0	30489	2405.88	0	158775	428.251	256.962	0	4320	516.282	558.933	0.95772
4500	8.70773e-06	1.59137	52	26	29	384	0	1.59137	29	0.000933205	0	30336.3	2428.72	0	51933	251.591	334.76	0	4500	527.341	557.928	0.955997
4680	7.28171e+07	1019.32	6464	992	48	386	0	1019.32	29.0001	110.075	0	30545.1	3874.12	0	1.09416e+06	296.539	332.981	0	4680	516.27	556.924	0.954278
4860	1.22917e+08	1654.5	10985	1164	51	390	0	1654.5	29.9999	112.746	0	30894.4	4132.82	0	1.68782e+06	316.544	338.185	0	4860	525.001	555.923	0.952562
5040	6.77697e+07	753.977	5423	523	51	387	0	753.977	29	127.714	0	30659.3	4092.13	0	1.25942e+06	319.298	309.558	0	5040	499.858	554.923	0.950849
5220	4.46097e+07	1196.12	5466	1114	46	386	0	1196.12	30	77.2092	0	30565.9	3703.2	0	654134	302.135	313.492	0	5220	508.109	553.925	0.949139
5400	1.52673e+07	149.867	121	0	46	386	0	149.867	30	140	0	30652	3792	0	1.3132e+06	410.458	435.247	0	5400	505.742	552.929	0.947432
5580	1.10085e+06	946.635	476	0	46	386	0	946.635	30	13.6045	0	30604.3	3792	0	578240	339.078	438.114	0	5580	511.024	551.934	0.945728
5760	7.54603e+06	74.0731	360	53	46	386	0	74.0731	30	140	0	30652	3634	0	300337	387.742	283.786	0	5760	514.984	550.942	0.944027
5940	211541	281.68	130	54	46	386	0	281.68	30	10.9328	0	30606.6	3714.97	0	318325	437.902	315.32	0	5940	502.352	549.951	0.94233
