MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_19.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	31
LIMIT-FIT-SIGMA-XY-MAX	149
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	37
LIMIT-FIT-BGD-MAX	38
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	205	204	204	204	204	204	203	203	203	203	203	202	202	202	202	201	201	201	201	200	200	200	200	199	199	199	198	198	198	197	197	197	197	196	196	195	195	195	195	194	194	194	193	193	193	192	192	192	191	191	191	190	190	190	189	189	189	188	188	188	187	187	186	186	186	185	185	185	184	184	183	183	183	182	182	181	181	180	180	179	179	178	178	177	177	176	176	175	175	174	174	173	173	172	172	172	171	171	171	170	170	170	169	169	168	168	168	168	167	167	167	166	166	165	165	164	164	164	164	163	163	163	163	163	162	162	162	162	162	161	161	161	160	160	160	160	160	160	159	159	159	159	159	159	159	158	158	158	158	158	158	158	157	157	157	156	156	156	155	155	154	154	153	153	153	152	152	151	151	150	150	150	149	149	148	148	147	147	146	146	145	145	145	145	144	144	143	143	143	143	143	143	143	143	143	143	143	144	144	144	144	144	145	145	145	146	146	147	147	148	148	149	149	149	149	150	150	150	151	151	151	152	152	152	153	153	153	154	154	155	155	156	156	157	157	158	158	159	159	160	160	160	161	161	161	162	162	162	163	163	163	163	164	164	165	165	165	165	166	166	166	167	167	167	167	167	168	168	168	168	169	169	169	169	169	170	170	170	170	171	171	171	171	172	172	172	172	173	173	173	173	173	174	174	174	174	175	175	175	176	176	176	177	177	177	178	178	178	178	179	179	179	180	180	180	181	181	181	181	181	182	182	182	183	183	183	183	184	184	184	185	185	185	185	186	186	186	187	187	187	188	188	188	188	189	189	189	189	190	190	190	191	191	191	192	192	192	193	193	193	194	194	194	195	195	196	196	197	197	198	198	198	199	199	200	200	201	201	202	203	203	204	204	204	205	205	206	206	207	207	207	208	208	208	208	209	209	209	209	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	211	211	211	211	211	211	211	212	212	212	212	213	213	213	213	214	214	215	215	215	216	216	217	217	218	218	219	219	219	220	220	221	221	222	222	223	223	224	224	224	225	225	226	226	227	227	227	228	228	229	229	230	230	231	231	232	232	232	233	233	233	234	234	235	235	236	236	237	237	237	238	238	238	239	239	239	239	240	240	240	241	241	241	241	241	242	242	242	242	243	243	243	243	243	243	243	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	243	243	243	243	243	242	242	242	242	241	241	241	240	240	240	239	239	239	238	238	238	237	237	237	236	236	235	235	235	234	234	233	233	232	232	232	231	231	230	229	229	228	228	227	227	226	226	225	225	224	224	223	223	222	222	221	221	220	220	219	219	218	218	217	217	216	216	215	215	214	214	213	213	212	212	211	211	211	210	210	210	209	209	208	208	END
Y_POS	73	73	73	73	72	72	72	71	71	71	70	70	70	70	69	69	69	68	68	68	67	67	67	67	66	66	66	66	65	65	65	65	64	64	64	64	63	63	63	63	63	62	62	62	62	62	61	61	61	61	61	61	60	60	60	60	59	59	59	59	59	59	59	58	58	58	58	58	58	58	58	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	58	58	58	58	58	58	58	59	59	59	59	59	59	59	60	60	60	60	60	61	61	61	62	62	62	63	63	63	63	64	64	64	65	65	65	65	66	66	66	67	67	67	68	68	68	69	69	69	70	70	71	71	72	72	72	73	73	74	74	74	75	75	76	76	76	76	76	76	76	76	76	76	76	77	77	77	77	77	77	77	77	77	77	77	77	77	78	78	78	78	78	78	79	79	79	79	79	80	80	81	81	82	82	83	83	84	84	84	85	85	85	85	86	86	86	86	86	86	86	86	86	85	85	85	85	84	84	84	83	83	83	83	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	83	83	83	83	83	83	83	84	84	85	85	86	86	86	87	87	87	88	88	88	89	89	89	89	90	90	91	91	91	92	92	93	93	93	94	94	94	95	95	95	95	96	96	96	96	97	97	97	98	98	98	98	99	99	99	100	100	100	100	100	101	101	101	102	102	102	102	103	103	103	104	104	104	104	104	105	105	105	106	106	106	106	107	107	107	108	108	109	109	109	110	110	110	111	111	111	112	112	112	113	113	113	114	114	114	114	115	115	115	115	116	116	116	116	116	117	117	117	117	117	118	118	118	118	118	118	118	118	119	119	119	119	119	119	119	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	119	119	119	118	118	118	118	117	117	116	116	116	115	115	114	114	113	113	112	112	111	111	110	110	109	109	109	108	108	108	107	107	107	106	106	106	106	105	105	104	104	104	103	103	103	103	102	102	102	102	101	101	101	101	100	100	100	100	100	100	100	100	100	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	98	98	98	98	97	97	97	97	97	96	96	96	96	95	95	95	95	94	94	94	94	94	93	93	93	93	92	92	92	91	91	91	90	90	90	89	89	88	88	88	87	87	87	86	86	85	85	84	84	83	83	82	82	81	81	81	80	80	79	79	79	78	78	77	77	77	76	76	76	76	75	75	75	75	75	75	74	74	74	74	74	74	73	73	73	73	73	73	73	73	73	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	74	74	74	74	74	74	74	74	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.98285e+06	57.5891	129	65	81	177	0	57.5891	37	74.129	0	14141	6439.94	0	178114	390.404	318.655	0	0	673.376	692.325	1
180	995566	164.879	211	153	81	177	0	164.879	37	31.0001	0	14061.9	6490.73	0	176406	346.487	315.777	0	180	677.728	688.446	0.994398
360	418432	69.2838	241	47	81	177	0	69.2838	37	31.0032	0	14024.9	6548.47	0	96420.9	242.6	286.506	0	360	673.191	684.686	0.988966
540	1.27908e+06	211.833	395	0	81	177	0	211.833	37	31	0	14141	6549.92	0	86508.4	376.28	379.316	0	540	673.247	681.039	0.983699
720	1.90562e+06	315.598	466	0	81	177	0	315.598	37	31	0	14095.2	6557	0	110179	336.212	295.508	0	720	682.701	677.502	0.978589
900	1.07399e-09	1.77867e-13	6	0	81	177	0	1.77867e-13	37	31	0	14141	6557	0	76074	226.684	292.102	0	900	673.464	674.068	0.973629
1080	1.15299e+06	190.95	281	0	81	177	0	190.95	37	31	0	14074.2	6557	0	71465.4	308.547	362.885	0	1080	680.235	670.734	0.968814
1260	569601	94.3338	222	0	81	177	0	94.3338	37	31	0	13983	6404.15	0	120155	286.401	258.035	0	1260	680.088	667.497	0.964138
1440	2.93486e+06	138.301	312	41	81	177	0	138.301	37	58.1181	0	14085.9	6557	0	167916	336.024	387.594	0	1440	669.436	664.351	0.959594
1620	287899	47.3573	88	0	81	177	0	47.3573	38	31.1055	0	14141	6478.36	0	284402	328.355	280.729	0	1620	682.655	661.293	0.955177
1800	2.51679e+06	384.122	650	51	81	177	0	384.122	38	32.2923	0	13983	6451.34	0	246317	252.287	359.963	0	1800	665.966	658.319	0.950882
1980	2.4365e-06	4.03519e-10	95	0	81	177	0	4.03519e-10	37	31	0	13983	6557	0	293322	264.767	346.217	0	1980	664.054	655.427	0.946704
2160	854260	141.477	223	0	81	177	0	141.477	37	31	0	14126.7	6557	0	303066	336.251	335.637	0	2160	647.677	652.612	0.942638
2340	844497	139.86	235	111	81	177	0	139.86	37	31	0	14095.5	6478.5	0	94229.4	323.927	248.59	0	2340	644.108	649.871	0.938679
2520	1.22927e+06	203.584	331	0	81	177	0	203.584	37	31	0	13983	6417.32	0	168322	377.002	286.162	0	2520	647.726	647.202	0.934824
2700	1.25154e+06	42.7803	223	17	81	177	0	42.7803	37	68.2709	0	13992.5	6399	0	202982	287.841	289.731	0	2700	649.738	644.601	0.931067
2880	737406	122.124	252	0	81	177	0	122.124	37	31	0	14141	6550.69	0	158406	327.058	313.036	0	2880	650.853	642.065	0.927405
3060	778065	128.857	254	49	81	177	0	128.857	37	31.0002	0	13991.9	6399	0	268008	297.935	350.098	0	3060	647.781	639.593	0.923833
3240	496943	15.8411	131	0	81	177	0	15.8411	37	70.7163	0	13983	6399	0	146266	274.905	251.744	0	3240	656.373	637.18	0.920348
3420	3.93202e+06	55.9745	363	34	81	177	0	55.9745	37	108.964	0	13983	6399	0	211062	265.924	305.424	0	3420	627.889	634.826	0.916947
3600	2.148e+06	355.738	438	41	81	177	0	355.738	37	31	0	14141	6557	0	124236	305.932	307.792	0	3600	639.517	632.526	0.913626
3780	370815	61.412	272	0	81	177	0	61.412	37	31	0	14106	6399.51	0	123467	383.268	320.251	0	3780	630.63	630.28	0.910382
3960	2.43515e+06	403.295	515	0	81	177	0	403.295	37	31	0	14141	6528.06	0	86247.2	372.913	314.75	0	3960	601.38	628.085	0.907212
4140	1.0537e+06	174.507	435	0	81	177	0	174.507	37	31	0	13983	6476.41	0	167751	268.296	285.099	0	4140	580.341	625.939	0.904112
4320	2.5556e+06	423.244	536	0	81	177	0	423.244	37.2154	31	0	14110.6	6399	0	164872	285.398	307.474	0	4320	608.243	623.84	0.901079
4500	570799	94.532	235	0	81	177	0	94.532	37	31	0	13983	6399	0	171732	323.622	279.606	0	4500	623.349	621.785	0.898112
4680	7.01546e+06	129.84	637	131	81	177	0	129.84	38	93.8145	0	14013.4	6557	0	217104	282.344	342.7	0	4680	621.11	619.774	0.895207
4860	5.94735e+06	906.826	1411	0	81	177	0	906.826	38	32.308	0	14141	6511.06	0	374932	322.354	292.406	0	4860	640.248	617.805	0.892362
5040	2.73097e+06	452.287	578	232	81	177	0	452.287	38	31	0	14088.4	6497.94	0	271779	316.633	253.956	0	5040	620.104	615.875	0.889575
5220	9.75617e+06	88.6354	543	180	81	177	0	88.6354	37	149	0	14141	6399	0	489985	349.787	274.782	0	5220	620.091	613.983	0.886842
5400	324556	53.7487	159	0	81	177	0	53.7487	37	31.0006	0	14022.3	6401.12	0	110961	290.747	317.82	0	5400	623.911	612.128	0.884162
5580	1.28728e+06	213.192	418	18	81	177	0	213.192	37	31	0	14141	6530.29	0	95430	289.55	282.001	0	5580	620.382	610.308	0.881534
5760	1.04321e+06	172.77	288	0	81	177	0	172.77	37	31	0	13995.7	6399.5	0	114526	243.081	311.842	0	5760	617.146	608.521	0.878953
5940	197.59	0.0327198	126	56	81	177	0	0.0327198	37	31.0018	0	13983.8	6402.89	0	209278	179.243	398.48	0	5940	620.549	606.767	0.87642
6120	1.73373e+06	108.172	296	30	81	177	0	108.172	37	50.5061	0	13983	6399	0	140601	316.843	260.656	0	6120	619.922	605.045	0.873931
6300	4.19434e+06	64.8135	329	0	81	177	0	64.8135	38	103.816	0	14141	6423.64	0	387354	376.338	328.992	0	6300	600.059	603.352	0.871486
6480	2.90038e+06	55.1545	289	59	81	177	0	55.1545	37	92.4415	0	13983	6399	0	146480	267.426	307.345	0	6480	594.406	601.687	0.869082
6660	1.31434e+06	41.7272	206	0	81	177	0	41.7272	37	70.8619	0	13992.7	6399	0	150950	324.219	299.604	0	6660	586.041	600.05	0.866718
6840	2.31169e+06	382.846	677	45	81	177	0	382.846	38	31.0001	0	14137.3	6399	0	275793	334.877	289.503	0	6840	593.82	598.44	0.864392
7020	1.95046e+06	323.022	355	0	81	177	0	323.022	37	31	0	14061.2	6399	0	228542	288.64	257.451	0	7020	587.075	596.855	0.862102
