MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_1.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	0
LIMIT-FIT-SIGMA-XY-MAX	146
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	47
LIMIT-FIT-BGD-MAX	48
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	185	185	185	185	184	184	184	183	183	183	182	182	182	181	181	181	180	180	180	179	179	179	178	178	177	177	176	176	175	175	175	174	174	173	173	172	172	171	171	170	170	169	169	168	168	167	167	166	166	165	165	164	164	163	163	162	162	161	161	161	160	160	160	160	159	159	159	159	159	158	158	158	158	158	158	157	157	157	157	157	157	157	157	156	156	156	156	155	155	155	155	155	155	154	154	154	154	154	153	153	153	152	152	152	151	151	151	150	150	149	149	149	148	148	147	147	146	146	146	145	145	144	144	143	143	142	142	141	140	140	139	139	138	138	137	137	136	136	135	135	135	135	134	134	134	133	133	133	132	132	132	131	131	131	131	131	130	130	130	130	130	129	129	129	129	128	128	128	128	128	128	128	127	127	127	127	127	127	127	127	127	127	127	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	130	130	130	130	130	130	131	131	131	131	131	131	132	132	132	132	133	133	133	133	134	134	134	135	135	135	135	136	136	136	136	137	137	138	138	138	139	139	139	139	140	140	141	141	141	142	142	143	143	143	144	144	145	145	146	146	146	147	147	148	148	149	150	150	151	152	152	153	153	154	154	155	156	156	157	157	158	158	159	159	160	160	161	161	162	162	163	163	164	164	165	165	166	166	167	167	167	168	168	169	169	170	170	170	171	171	172	172	172	173	173	174	174	174	174	175	175	175	176	176	176	177	177	177	178	178	178	178	179	179	179	180	180	181	181	181	181	182	182	182	182	182	182	182	182	183	183	183	183	183	183	183	183	183	184	184	184	184	184	184	184	184	184	184	184	184	END
Y_POS	250	250	249	249	249	248	248	247	247	247	246	246	246	246	246	245	245	245	245	245	245	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	244	243	243	243	243	243	243	243	243	243	243	243	242	242	242	242	242	242	242	242	241	241	241	241	240	240	240	240	239	239	239	238	238	237	237	237	237	236	236	235	235	235	234	234	234	233	233	233	233	232	232	232	231	231	231	230	230	230	229	229	229	229	228	228	228	228	228	227	227	227	227	227	227	227	227	227	227	227	226	226	226	226	226	226	226	226	226	226	226	226	226	226	226	226	226	226	226	227	227	227	227	227	228	228	228	228	228	229	229	229	229	230	230	231	231	231	232	232	232	232	233	233	234	234	234	235	235	236	236	237	237	238	238	238	239	239	240	240	241	241	242	242	243	243	244	244	245	245	245	246	246	247	247	248	248	249	249	250	250	251	251	252	252	253	253	254	254	255	255	256	256	257	257	257	258	258	259	259	259	260	260	260	261	261	261	262	262	262	263	263	263	264	264	264	264	265	265	266	266	266	267	267	267	267	268	268	268	268	269	269	269	269	270	270	270	270	270	271	271	271	271	271	272	272	272	272	272	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	273	272	272	272	272	272	272	272	272	271	271	271	271	271	271	271	270	270	270	270	270	269	269	269	269	269	268	268	268	268	268	267	267	267	267	267	266	266	266	266	265	265	265	264	264	264	264	263	263	263	262	262	261	261	260	260	259	259	258	258	258	257	257	257	256	256	255	255	254	254	253	253	252	252	251	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	2.73149e+06	738	577	0	243	140	0	738	47	24.2706	0	11157.1	19197	0	208627	350.75	347.528	0	0	869.895	1048.56	1
180	795511	622.182	213	0	243	140	0	622.182	47	14.2651	0	11139.3	19197.2	0	251203	431.867	404.228	0	180	879.002	1046.68	0.998202
360	738538	500.009	174	0	243	140	0	500.009	47	15.3323	0	11138.8	19354.9	0	261219	342.594	314.878	0	360	895.532	1044.8	0.996406
540	7.30546e+06	95.3908	1173	0	243	140	0	95.3908	47	114.901	0	11060	19197	0	536047	272.019	293.606	0	540	886.833	1042.92	0.994615
720	3.22139e+06	864	857	432	243	140	0	864	47	24.3599	0	11123	19268	0	211421	335.543	283.99	0	720	884.221	1041.04	0.992826
900	3.65834e+06	46.4761	471	121	243	140	0	46.4761	47	116.914	0	11060	19355	0	251775	293.623	350.246	0	900	884.176	1039.17	0.99104
1080	1.83032e+06	900	556	0	243	140	0	900	48	17.9909	0	11060	19331.4	0	351725	339.221	314.168	0	1080	865.283	1037.3	0.989258
1260	2.22701e+06	21.9513	490	31	243	140	0	21.9513	47	139.553	0	11218	19355	0	254145	338.393	321.773	0	1260	868.215	1035.44	0.987479
1440	2.43033e+06	663.957	653	57	243	140	0	663.957	48	24.1364	0	11080	19342.7	0	280402	328.264	314.653	0	1440	853.767	1033.57	0.985703
1620	2.30181e+06	648	639	324	243	140	0	648	47	23.777	0	11143.5	19296.1	0	115384	345.071	326.708	0	1620	864.847	1031.72	0.983931
1800	380171	528.744	147	0	243	140	0	528.744	47	10.6974	0	11143.6	19354.6	0	332239	398.563	367.057	0	1800	861.471	1029.86	0.982161
1980	456809	428.717	259	47	243	140	0	428.717	47	13.0224	0	11218	19197.7	0	176410	341.902	277.795	0	1980	871.919	1028.01	0.980395
2160	976399	451.996	382	76	243	140	0	451.996	47	18.542	0	11191.4	19339.4	0	151290	291.607	256.485	0	2160	875.748	1026.16	0.978632
2340	2.91429e-08	7.81652	211	43	243	140	0	7.81652	47	2.43596e-05	0	11104.1	19272.8	0	155672	333.929	337.25	0	2340	862.17	1024.31	0.976872
2520	1.38328e+06	448	494	0	243	140	0	448	47	22.168	0	11060	19294.5	0	132737	276.927	290.401	0	2520	866.335	1022.47	0.975115
2700	300778	14.9918	206	11	243	140	0	14.9918	47	56.5091	0	11060	19204.8	0	489783	250.052	400.481	0	2700	884.412	1020.63	0.973361
2880	1.02988e+06	365.952	482	0	243	140	0	365.952	47	21.1637	0	11215.7	19315.3	0	117151	307.672	364.01	0	2880	875.029	1018.8	0.971611
3060	4.66913e-07	0.428191	0	0	243	140	0	0.428191	47	0.00041659	0	11172.9	19262.4	0	169221	409.33	320.009	0	3060	882.719	1016.96	0.969863
3240	648110	475.999	322	78	243	140	0	475.999	47	14.7208	0	11218	19355	0	148400	340.953	356.753	0	3240	880.2	1015.14	0.968119
3420	2.29047e+06	734	472	0	243	140	0	734	47	22.2856	0	11218	19286.9	0	151342	376.262	287.452	0	3420	864.199	1013.31	0.966378
3600	988892	600	272	0	243	140	0	600	47	16.196	0	11218	19197	0	213839	332.795	313.213	0	3600	898.17	1011.49	0.96464
3780	7.40371e+06	207.534	717	45	243	140	0	207.534	47.9974	75.4787	0	11143.5	19355	0	383786	276.344	337.056	0	3780	887.604	1009.67	0.962906
3960	2.82126e-18	16.2234	167	0	243	140	0	16.2234	48	1.66365e-10	0	11122.6	19292.7	0	358146	274.002	375.89	0	3960	917.586	1007.85	0.961174
4140	6.40926e+07	1055.82	6236	959	243	140	0	1055.82	47	100.082	0	11107.9	19253.1	0	1.06946e+06	281.045	295.79	0	4140	924.298	1006.04	0.959445
4320	2.96366e+07	349.701	1843	102	243	140	0	349.701	47	122.69	0	11060	19197	0	954296	241.162	245.227	0	4320	908.893	1004.23	0.95772
4500	7.33814e+06	494.796	1015	0	243	140	0	494.796	48	48.5837	0	11060	19325.4	0	700291	220.87	269.141	0	4500	927.441	1002.43	0.955997
4680	5.75238e+07	856.07	5568	595	238	138	0	856.07	47	106.124	0	11009.3	18904.1	0	1.10409e+06	347.544	332.352	0	4680	920.778	1000.62	0.954278
