MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_21.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-49
LIMIT-FIT-SIGMA-XY-MAX	103
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	37
LIMIT-FIT-BGD-MAX	38
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	136	136	136	136	136	136	135	135	134	133	133	132	131	131	131	130	129	129	128	128	127	126	125	125	125	124	123	123	122	121	121	120	119	119	118	117	117	117	116	115	115	115	114	113	113	113	112	112	112	111	111	111	111	111	111	111	110	110	109	109	109	109	108	108	108	107	107	107	106	105	105	105	105	104	103	103	102	101	101	100	100	99	98	97	96	95	95	95	94	93	92	91	91	90	89	88	87	86	85	84	83	82	81	81	80	79	78	77	76	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	59	58	57	56	55	54	53	52	51	50	49	48	48	47	47	46	45	45	45	44	44	43	43	43	42	42	42	42	42	42	42	42	42	42	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	44	44	44	45	45	45	45	45	46	46	47	47	48	48	49	49	50	51	51	52	53	53	54	54	55	56	57	57	58	59	60	61	62	63	65	66	67	68	68	69	70	71	72	73	74	75	76	77	78	79	79	80	81	82	83	84	84	85	85	86	87	87	88	88	89	90	90	91	91	92	93	93	93	94	95	97	97	98	99	100	101	103	104	105	106	107	108	109	109	110	111	112	113	114	115	115	116	117	118	119	119	121	122	123	123	124	125	126	127	128	129	129	131	133	134	135	136	136	137	137	137	137	138	138	138	138	139	END
Y_POS	389	390	391	392	393	394	394	395	395	396	397	397	397	398	399	399	399	400	400	401	401	401	401	402	403	403	403	404	404	404	405	405	406	407	407	407	408	409	409	409	410	411	411	412	413	414	414	415	416	417	418	419	420	421	422	423	423	424	424	425	426	427	427	428	429	429	430	431	431	431	432	433	434	434	435	436	437	437	438	438	439	439	440	441	441	441	442	443	443	443	444	444	445	445	445	445	446	446	446	447	447	447	447	448	449	449	449	449	449	450	450	450	451	451	451	451	451	451	451	451	451	451	452	452	452	452	452	452	452	452	452	452	452	452	452	452	452	451	451	450	450	450	449	448	448	447	447	446	445	444	443	442	441	440	439	438	437	436	435	435	434	433	432	431	430	429	428	427	426	425	424	423	422	421	420	419	418	417	416	415	415	414	413	413	412	411	410	409	409	408	408	407	407	406	406	405	405	404	403	403	403	402	402	401	401	400	400	399	399	398	398	397	397	397	397	396	396	396	395	395	395	395	395	395	395	395	395	395	394	394	393	393	393	393	393	393	392	392	391	391	391	390	390	389	389	389	388	388	387	387	387	386	385	385	385	385	384	384	383	383	383	383	383	382	382	382	382	382	381	381	381	381	381	381	381	380	380	380	380	380	379	379	379	379	378	378	378	378	378	378	378	379	379	379	380	380	380	381	381	382	383	384	384	385	386	387	387	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	362129	353.2	271	0	430	68	0	353.2	38	12.7741	0	5372	34090.7	0	184350	267.187	337.191	0	0	811.694	1010.03	1
180	1.34115e+06	394	404	0	430	68	0	394	37	23.2756	0	5530	34093.9	0	93678.7	361.88	363.78	0	180	820.057	1008.21	0.998202
360	501008	352.883	258	4	430	68	0	352.883	37	15.032	0	5530	34052.6	0	101089	368.122	284.218	0	360	820.925	1006.4	0.996406
540	853443	841.853	238	64	430	68	0	841.853	37	12.7022	0	5372	33970	0	355842	300.767	332.079	0	540	779.236	1004.59	0.994615
720	2.17499e+06	468	661	116	430	68	0	468	37	27.1967	0	5429.97	33988.7	0	136915	326.185	310.727	0	720	743.947	1002.78	0.992826
900	778676	331.931	281	166	430	68	0	331.931	37	19.3225	0	5450.98	34048.8	0	82944.3	291.108	322.154	0	900	678.098	1000.98	0.99104
1080	3.31467e+06	858	886	0	430	68	0	858	37	24.7963	0	5530	34067.4	0	132432	354.165	306.352	0	1080	716.946	999.179	0.989258
1260	522560	440.61	361	113	430	68	0	440.61	38	13.7389	0	5473.69	34049.5	0	197585	344.36	274.567	0	1260	758.944	997.382	0.987479
1440	2.20755e-06	18.3812	25	0	430	68	0	18.3812	37	0.000138254	0	5529.61	33970.2	0	196401	359.763	315.432	0	1440	797.988	995.588	0.985703
1620	780454	358	374	0	430	68	0	358	37	18.627	0	5372	34128	0	103366	273.677	334.953	0	1620	774.976	993.798	0.983931
1800	1.21213e+06	396	298	0	430	68	0	396	37	22.0718	0	5517.25	34128	0	90379.1	327.702	341.686	0	1800	769.928	992.01	0.982161
1980	62166.1	109.087	48	0	430	68	0	109.087	37.9997	-9.52358	0	5372.98	33970	0	301088	307.245	237.863	0	1980	764.858	990.226	0.980395
2160	1.23568e+06	518	544	0	430	68	0	518	37.006	19.4849	0	5496.31	33970	0	136086	295.376	295.808	0	2160	738.612	988.446	0.978632
2340	4.42398e+06	110.578	795	2	430	68	0	110.578	37	80.0418	0	5372	34128	0	242606	321.796	346.79	0	2340	733.708	986.668	0.976872
2520	79605.6	98.2	128	18	430	68	0	98.2	37	11.3586	0	5377.24	34049.4	0	100965	290.015	340.941	0	2520	737.471	984.894	0.975115
2700	2.15922e+06	152.767	220	9	430	68	0	152.767	37.9995	47.4291	0	5530	34049	0	321865	359.013	309.958	0	2700	749.104	983.122	0.973361
2880	3.50973e+06	57.9331	290	0	430	68	0	57.9331	37	99.9683	0	5424.48	34128	0	246948	314.198	365.499	0	2880	754.251	981.354	0.971611
3060	4.58189e+06	71.7751	608	0	430	68	0	71.7751	38	103	0	5492.83	34128	0	254330	353.955	331.842	0	3060	717.415	979.589	0.969863
3240	355286	451.155	280	27	430	68	0	451.155	38	11.1953	0	5414.75	34128	0	207234	306.768	318.376	0	3240	716.069	977.828	0.968119
3420	1.67574e+06	539.999	552	184	430	68	0	539.999	38	22.2237	0	5420.85	34069.1	0	275081	339.57	316.849	0	3420	733.302	976.069	0.966378
3600	1.68667e+06	511.996	440	0	430	68	0	511.996	37	22.8977	0	5430.03	34127.3	0	203015	289.987	363.864	0	3600	733.664	974.314	0.96464
3780	2.83879e+06	779.622	765	161	430	68	0	779.622	38	24.0732	0	5414.17	34088.3	0	266973	358.292	343.176	0	3780	734.951	972.562	0.962906
3960	1.26772e+06	594	419	60	430	68	0	594	37	18.4301	0	5507.83	34034.3	0	149598	359.422	216.085	0	3960	714.5	970.813	0.961174
