MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_22.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	15
LIMIT-FIT-SIGMA-XY-MAX	139
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	63
LIMIT-FIT-BGD-MAX	64
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	213	213	214	214	214	215	215	215	215	215	215	216	216	216	217	217	217	217	218	218	218	219	219	220	220	220	221	221	221	221	222	222	222	223	223	223	223	224	224	224	225	225	225	226	226	226	227	227	227	228	228	229	229	230	230	231	231	231	231	232	232	232	232	233	233	233	233	233	234	234	234	234	234	234	234	234	234	234	234	234	234	233	233	233	233	232	232	232	231	231	231	230	230	229	229	228	228	228	227	226	226	225	225	224	224	223	223	222	222	221	221	220	220	219	219	218	218	217	217	216	216	215	215	214	214	213	213	212	212	211	211	210	210	209	209	208	208	207	207	206	206	205	205	204	204	203	203	202	202	201	201	201	200	200	199	199	198	198	197	197	196	195	195	194	194	193	193	192	192	191	191	190	190	189	189	188	188	187	187	187	186	186	186	185	185	185	185	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	185	185	185	185	185	185	185	185	185	185	185	185	186	186	186	186	186	186	186	186	186	186	186	187	187	187	187	187	187	187	187	187	188	188	188	189	189	189	189	190	190	190	191	191	192	192	192	193	193	194	194	195	195	196	196	197	197	198	198	199	199	200	200	201	201	202	202	203	203	204	204	205	205	206	206	207	207	208	208	209	209	210	210	211	211	212	212	212	END
Y_POS	335	335	334	334	333	333	333	332	332	332	331	331	331	330	330	330	330	329	329	329	328	328	327	327	327	327	327	326	326	326	326	325	325	325	325	325	324	324	324	324	323	323	323	323	322	322	322	322	321	321	321	321	320	320	320	319	319	319	318	318	318	318	317	317	316	316	315	315	314	314	313	313	312	312	311	311	310	310	309	309	308	308	308	307	307	307	307	306	306	306	306	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	305	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	304	304	304	304	304	304	305	305	305	305	306	306	306	307	307	307	308	308	309	309	310	310	311	311	312	312	313	313	314	314	315	315	316	316	317	317	318	318	318	319	319	320	320	320	321	321	322	322	323	323	324	324	325	325	325	326	326	327	327	328	328	329	329	329	330	330	331	331	331	332	332	332	332	333	333	333	333	334	334	334	334	334	334	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	334	334	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	2.31095e+06	522.119	497	43	312	226	0	522.119	64	26.5412	0	17857.1	24806	0	460017	227.515	374.816	0	0	1269.63	1489.81	1
180	799591	519.667	714	170	312	226	0	519.667	63	15.6488	0	17937.6	24703.1	0	273210	366.149	345.465	0	180	1278.75	1487.13	0.998202
360	5.74662e+06	105.9	344	0	312	226	0	105.9	63	94.0353	0	18012	24806	0	748430	394.979	342.15	0	360	1275.24	1484.45	0.996406
540	2.55682e+06	873.992	709	258	312	226	0	873.992	64	21.5777	0	17972.6	24735.4	0	554683	341.704	300.09	0	540	1279.22	1481.78	0.994615
720	1.70038e+07	222.325	1379	376	312	226	0	222.325	64	114.804	0	18012	24806	0	642978	360.873	358.183	0	720	1259.07	1479.12	0.992826
900	7.20943	0.00465978	140	67	312	226	0	0.00465978	63	15.692	0	17925.2	24648	0	369531	274.822	287.035	0	900	1234.79	1476.46	0.99104
1080	6.96967e+07	1391.02	7618	1456	312	226	0	1391.02	64	90.0655	0	17910.6	24716.6	0	1.52465e+06	307.906	292.759	0	1080	1256.1	1473.8	0.989258
1260	7.89781e+07	1290.32	8021	1169	310	215	0	1290.32	64	100.552	0	17081.5	24578.6	0	1.90286e+06	333.535	297.039	0	1260	1240.51	1471.15	0.987479
1440	5.18308e+06	361.291	1081	286	310	215	0	361.291	63	47.7833	0	16985	24555.8	0	383748	289.109	303.752	0	1440	1255.43	1468.51	0.985703
1620	2.89979e-06	2.05118e-09	87	0	310	215	0	2.05118e-09	64	15	0	17048.7	24648	0	933654	330.28	225.775	0	1620	1220.95	1465.87	0.983931
1800	1.39826e+08	2328.7	14053	1870	318	217	0	2328.7	63.0001	99.4664	0	17206.2	25164.8	0	2.9739e+06	291.643	297.11	0	1800	1242.52	1463.23	0.982161
1980	3.71573e+08	4288.19	27597	4282	318	209	0	4288.19	63	124.537	0	16557.4	25168.1	0	3.75029e+06	286.823	287.26	0	1980	1245.35	1460.6	0.980395
2160	1.28544e+08	1284.44	9873	1209	313	207	0	1284.44	63	138.101	0	16459.4	24830.7	0	3.00733e+06	337.838	340.843	0	2160	1211.68	1457.97	0.978632
2340	1.45171e+07	143.833	526	0	313	207	0	143.833	64	139	0	16511	24828.6	0	1.03235e+06	408.633	341.099	0	2340	1217.98	1455.35	0.976872
2520	4.63626e+06	999.993	987	345	313	207	0	999.993	64	27.1641	0	16480.1	24804	0	442364	313.481	287.4	0	2520	1211.85	1452.73	0.975115
2700	641184	450.91	599	115	313	207	0	450.91	64	15.0438	0	16392.5	24805	0	344698	294.544	341.774	0	2700	1238.31	1450.12	0.973361
2880	58139.2	3.89129	144	0	313	207	0	3.89129	63	48.7639	0	16436.4	24885	0	428372	374.967	385.849	0	2880	1221.52	1447.51	0.971611
3060	5.79994e+06	61.8533	747	0	313	207	0	61.8533	63	131.602	0	16483.1	24885	0	448453	319.508	366.117	0	3060	1224.58	1444.91	0.969863
3240	4.55406e+06	1074	1161	389	313	207	0	1074	63	25.9781	0	16420.3	24766.7	0	685763	304.38	367.638	0	3240	1230.99	1442.31	0.968119
3420	4.86315e+06	1448	872	132	313	207	0	1448	64	23.1198	0	16511	24727	0	1.02e+06	402.096	337.377	0	3420	1218.3	1439.72	0.966378
3600	3.13908e-11	2.22045e-14	112	0	313	207	0	2.22045e-14	63.007	15	0	16511	24885	0	363995	346.022	335.34	0	3600	1220.64	1437.13	0.96464
