MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_22.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-49
LIMIT-FIT-SIGMA-XY-MAX	103
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	69
LIMIT-FIT-BGD-MAX	70
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	230	230	230	230	230	231	231	231	231	231	232	232	232	232	232	232	232	233	233	233	233	233	234	234	234	234	234	234	234	235	235	235	235	235	236	236	236	236	236	236	237	237	237	238	238	238	238	238	239	239	239	240	240	240	241	242	242	243	243	243	243	244	245	245	246	246	247	247	248	248	248	249	249	250	250	251	251	251	252	252	253	253	253	254	254	255	255	255	256	257	257	258	258	259	259	260	260	261	261	262	262	263	263	264	264	265	265	266	266	267	267	268	268	269	269	270	271	271	272	272	273	273	273	274	274	274	274	274	275	275	275	275	275	276	276	276	276	276	276	277	277	277	277	277	277	277	277	277	277	277	277	277	277	277	277	276	276	276	276	276	276	275	275	275	274	274	274	274	273	273	273	273	272	272	272	272	272	271	271	271	270	270	270	270	269	269	269	268	268	268	267	267	266	266	266	266	265	265	265	264	264	264	263	263	262	262	262	261	261	260	260	260	259	258	258	258	257	257	256	256	255	255	254	254	253	253	253	252	252	251	251	250	250	250	249	249	248	248	247	247	246	246	246	245	245	244	244	243	243	242	242	241	241	240	240	240	239	239	239	238	238	238	237	237	236	236	235	235	235	235	234	234	233	233	233	232	232	232	231	231	230	229	229	229	228	228	228	227	227	226	226	226	225	225	225	224	224	224	223	223	222	222	222	221	221	220	220	219	219	218	218	217	217	216	216	216	215	215	214	214	214	213	213	213	213	212	212	212	212	212	212	212	211	211	211	211	211	211	211	211	212	212	212	212	213	213	213	214	214	214	215	215	215	215	216	216	217	217	217	218	219	219	219	220	220	220	221	221	222	222	222	223	223	223	224	225	225	225	226	226	END
Y_POS	95	95	96	96	97	97	97	98	98	99	99	99	100	100	100	101	101	102	102	103	103	103	103	104	104	105	105	105	106	106	106	107	107	107	107	108	108	109	109	110	110	110	111	111	111	112	112	112	112	113	113	113	114	114	114	115	115	115	115	115	116	116	116	116	116	116	117	117	117	117	117	117	118	118	118	118	118	118	118	119	119	119	119	119	119	119	119	120	120	120	120	120	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	120	120	120	120	119	119	119	119	119	118	118	118	118	117	117	117	116	116	116	115	115	114	114	114	113	113	112	112	111	111	110	110	109	109	108	108	107	107	106	106	105	105	105	104	104	104	103	103	102	102	102	102	101	101	100	100	100	99	99	99	98	98	98	97	97	97	96	96	95	95	95	94	94	94	94	93	93	93	92	92	92	92	91	91	91	91	91	90	90	90	90	90	90	89	89	89	89	89	89	89	89	88	88	88	88	88	88	87	87	87	87	87	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	85	85	85	85	85	85	85	84	84	84	84	84	84	84	84	84	83	83	83	83	83	82	82	82	82	82	82	81	81	81	81	81	80	80	80	80	80	79	79	79	78	78	78	78	77	77	77	77	77	76	76	76	75	75	75	75	75	75	75	74	74	74	74	74	73	73	73	73	73	73	74	74	74	74	74	74	74	75	75	75	75	75	76	76	76	76	77	77	78	78	78	79	79	80	80	81	81	82	82	83	83	83	84	84	85	85	86	86	86	86	86	87	87	87	87	87	88	88	88	89	89	89	89	89	89	90	90	90	90	90	90	91	91	91	92	92	92	92	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	348774	601.357	310	9	79	221	0	601.357	69	-9.60762	0	17617	6399	0	307719	315.603	408.795	0	0	1237.03	1644.57	1
180	894756	773.775	785	0	79	221	0	773.775	70	13.5661	0	17566.9	6397.85	0	692277	269.63	338.152	0	180	1253.1	1641.61	0.998202
360	1.95022e+06	1197.61	599	0	79	221	0	1197.61	69	16.0988	0	17465.9	6241	0	651469	312.665	283.91	0	360	1264.99	1638.66	0.996406
540	112313	194.295	106	0	79	221	0	194.295	69	9.59167	0	17459	6399	0	218027	320.624	331.655	0	540	1266.92	1635.71	0.994615
720	2.52746e+06	977.752	860	0	79	221	0	977.752	69	20.2833	0	17534.8	6399	0	402852	265.668	356.629	0	720	1259.06	1632.77	0.992826
900	2.09137e+06	1119.01	660	0	79	221	0	1119.01	70	17.2468	0	17459	6243.56	0	719249	330.179	302.023	0	900	1245.33	1629.84	0.99104
1080	1.45285e+06	1261.89	303	303	79	221	0	1261.89	69	13.5366	0	17537.8	6320.15	0	694056	336.874	308.711	0	1080	1262.38	1626.9	0.989258
1260	2.6186e+06	951.876	602	0	79	221	0	951.876	69	20.9245	0	17459	6317.89	0	490546	254.43	281.627	0	1260	1247.91	1623.98	0.987479
1440	2.41787e+06	104.119	398	0	79	221	0	104.119	70	60.8	0	17468.3	6399	0	688002	320.945	352.664	0	1440	1259.16	1621.06	0.985703
1620	889747	820	318	0	79	221	0	820	70	13.1412	0	17617	6241	0	509053	367.178	268.476	0	1620	1226.88	1618.14	0.983931
1800	3.32248e+06	484.731	1174	107	79	221	0	484.731	70	33.0287	0	17609.5	6399	0	807384	343.058	332.837	0	1800	1227.29	1615.23	0.982161
1980	6.14112e+06	386.516	1117	0	79	221	0	386.516	70	50.2865	0	17459	6250	0	810569	314.285	299.857	0	1980	1231.25	1612.33	0.980395
2160	3.02486e+06	1200	779	0	79	221	0	1200	69	20.0296	0	17573.2	6241	0	684716	363.194	379.528	0	2160	1219.21	1609.43	0.978632
2340	2.12341e+06	537.958	610	237	79	221	0	537.958	69	25.0641	0	17580.9	6319.99	0	235400	365.61	302.561	0	2340	1226.09	1606.53	0.976872
2520	1.66131e+06	1100	412	0	79	221	0	1100	70	15.5038	0	17617	6399	0	904149	316.69	318.212	0	2520	1214.7	1603.64	0.975115
2700	1.17683e+06	628	776	0	79	221	0	628	70	17.2698	0	17459	6399	0	433942	289.85	359.76	0	2700	1239.87	1600.76	0.973361
2880	1.46841e+06	863.894	595	0	79	221	0	863.894	70	16.4476	0	17614.1	6241	0	576380	365.212	274.625	0	2880	1212.98	1597.88	0.971611
3060	6242.11	91.3842	237	0	79	221	0	91.3842	69	3.29716	0	17602.1	6315.93	0	546353	337.691	325.213	0	3060	1216.99	1595.01	0.969863
3240	4.90746e+06	969.998	1315	0	79	221	0	969.998	69	28.3761	0	17574.7	6398.5	0	315666	309.913	340.689	0	3240	1220.35	1592.14	0.968119
3420	3.0003e+06	1055.98	860	0	79	221	0	1055.98	69	21.2649	0	17459	6320	0	461001	295.134	289.009	0	3420	1226.24	1589.28	0.966378
3600	7.52008e+06	117.802	729	0	79	221	0	117.802	69	103	0	17617	6378.8	0	584762	398.724	322.361	0	3600	1225.74	1586.42	0.96464
3780	1.72754e+06	739.939	716	92	79	221	0	739.939	69	-19.2764	0	17617	6399	0	655014	371.883	270.677	0	3780	1223.03	1583.57	0.962905
3960	2.17042e+06	807.965	979	0	79	221	0	807.965	70	20.6769	0	17617	6319.99	0	622528	337.055	359.829	0	3960	1238.91	1580.72	0.961174
4140	1.57665e+06	1150	1204	92	79	221	0	1150	70	14.7716	0	17616.9	6399	0	798246	352.122	379.087	0	4140	1250.84	1577.88	0.959445
4320	0.105605	114.875	21	0	79	221	0	114.875	69.0012	-0.0120959	0	17566.5	6315	0	659373	401.732	320.926	0	4320	1250.54	1575.04	0.95772
4500	1.5777e+06	655.999	847	0	79	221	0	655.999	69	19.5646	0	17571.8	6241	0	357949	339.234	305.863	0	4500	1293.24	1572.2	0.955997
