MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_24.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-35
LIMIT-FIT-SIGMA-XY-MAX	103
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	49
LIMIT-FIT-BGD-MAX	50
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	414	414	413	413	413	412	412	411	411	410	409	409	408	408	407	407	406	406	405	405	405	404	403	403	402	401	401	400	399	399	398	397	396	396	395	395	394	393	392	392	391	390	390	389	389	388	388	387	387	387	386	386	385	385	385	384	384	383	382	381	381	380	379	379	378	377	377	376	376	375	374	374	373	372	372	371	371	370	369	369	368	367	367	366	366	365	364	364	363	362	361	361	360	359	358	357	357	356	355	355	354	353	352	351	350	349	348	347	346	345	344	343	342	341	340	339	338	337	336	335	334	333	332	331	330	329	328	327	327	326	325	324	323	323	322	321	320	320	319	319	319	318	317	317	317	316	315	315	314	314	313	313	313	312	312	312	311	311	311	311	311	310	310	310	309	309	309	309	309	309	309	309	309	309	309	309	309	309	309	309	309	309	310	310	311	311	311	311	311	312	313	313	313	313	313	314	314	315	316	316	317	317	318	319	320	321	322	323	324	325	326	327	327	328	328	329	330	330	331	331	332	333	333	334	335	335	336	337	338	339	340	342	343	345	346	347	348	349	349	350	350	350	351	351	351	351	351	351	351	352	352	352	353	353	353	353	353	353	353	354	354	355	355	355	355	355	356	356	357	357	357	357	357	358	358	358	359	359	359	359	359	359	360	361	361	361	362	362	363	363	364	365	366	367	368	369	370	371	372	373	374	375	375	376	377	378	379	380	381	382	383	384	385	386	387	388	389	390	390	391	392	393	394	395	395	396	397	397	398	399	400	401	401	402	403	404	405	406	407	407	408	409	410	410	411	411	412	412	413	413	413	414	414	414	414	414	414	414	414	414	414	414	414	414	414	414	413	413	END
Y_POS	282	281	281	280	279	277	276	275	273	273	272	271	270	269	269	268	268	267	267	266	265	265	264	263	263	263	262	261	261	260	259	259	259	258	258	257	257	257	256	255	255	255	254	254	253	253	252	252	251	250	250	249	249	248	247	247	246	245	244	243	242	242	241	240	240	239	238	238	237	237	237	236	235	235	234	234	233	232	231	230	229	229	228	228	227	227	227	226	225	225	225	224	224	223	223	223	222	222	222	221	221	221	221	221	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	221	221	221	221	221	222	222	223	223	224	224	225	226	226	227	228	229	229	230	231	232	233	233	234	235	235	236	237	237	238	239	240	241	241	242	243	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	267	267	268	269	270	271	271	272	273	273	274	274	275	275	275	275	275	275	275	275	275	275	275	274	274	273	273	273	272	272	271	271	271	270	270	270	269	269	269	269	269	269	269	269	269	269	270	270	270	271	271	272	273	273	274	275	276	277	278	279	279	280	281	281	282	283	284	285	286	287	287	288	288	289	290	291	292	293	294	295	296	297	298	299	299	300	301	302	303	304	305	306	307	307	307	308	309	309	310	310	311	311	311	311	312	312	313	313	313	313	313	313	313	314	314	314	314	314	314	314	314	314	314	314	314	314	314	314	314	313	313	313	313	312	312	311	311	311	310	309	309	309	309	308	308	307	307	307	306	306	305	305	305	305	304	304	303	303	302	301	300	299	299	298	297	296	295	294	293	292	291	290	289	288	287	286	285	284	283	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	2.2703e+06	659.996	783	0	234	331	0	659.996	49.0013	23.3981	0	26150.3	18584	0	262654	252.014	266.372	0	0	416.996	554.23	1
180	1.27609e+06	321.225	286	0	234	331	0	321.225	49	25.1447	0	26302.6	18644	0	154723	379.798	298.434	0	180	423.103	553.234	0.998202
360	2.89472e+06	181.568	574	50	234	331	0	181.568	49	50.3726	0	26149	18530.8	0	143001	287.53	305.509	0	360	422.544	552.239	0.996406
540	1.81071e+06	152.209	670	0	234	331	0	152.209	49	43.5125	0	26287.6	18486	0	197986	307.802	346.774	0	540	410.22	551.245	0.994615
720	1.34618e+06	61.7925	47	0	234	331	0	61.7925	49	58.8868	0	26307	18486	0	271527	382.729	258.036	0	720	416.188	550.254	0.992826
900	649303	450.459	434	62	234	331	0	450.459	49	15.1463	0	26170.1	18569.7	0	150695	348.871	273.05	0	900	404.743	549.265	0.99104
1080	2.10551e-08	13.3851	315	0	234	331	0	13.3851	49	1.58226e-05	0	26152	18490	0	246507	286.002	292.076	0	1080	420.351	548.277	0.989258
1260	15.0057	67.2083	168	0	234	331	0	67.2083	49	0.188507	0	26149.1	18518.9	0	130912	240.407	257.047	0	1260	413.658	547.291	0.987479
1440	1.21233e+06	593.035	418	88	234	331	0	593.035	49	18.0377	0	26230.2	18509.9	0	222550	327.917	264.358	0	1440	407.565	546.307	0.985703
1620	3.23453e+06	423.619	623	162	234	331	0	423.619	50	34.8601	0	26307	18563.3	0	553381	377.527	229.247	0	1620	404.579	545.324	0.983931
1800	2.01283e+06	642	759	321	234	331	0	642	50	22.3381	0	26225.6	18580.1	0	279808	340.4	303.551	0	1800	405.256	544.343	0.982161
1980	1.52019e+06	678	649	133	234	331	0	678	50	18.8905	0	26307	18644	0	266113	311.391	333.92	0	1980	406.016	543.364	0.980395
2160	334254	295.961	109	0	234	331	0	295.961	49	13.407	0	26149	18643.9	0	108805	311.044	289.545	0	2160	406.292	542.387	0.978632
2340	6.58342e+06	946	1628	473	234	331	0	946	50	33.2805	0	26223.1	18526.3	0	346406	318.18	307.598	0	2340	410.14	541.412	0.976872
2520	5.46842e+07	856.626	4891	1041	234	331	0	856.626	50	103	0	26188.6	18551.8	0	1.33129e+06	292.664	314.03	0	2520	399.663	540.438	0.975115
2700	2.77324e+07	434.428	2746	475	234	331	0	434.428	50	103	0	26247.8	18552.1	0	938299	319.893	320.726	0	2700	397.153	539.466	0.973361
2880	1.60856e+06	846.681	541	153	234	331	0	846.681	50	17.3887	0	26257	18606.8	0	451017	357.966	305.028	0	2880	406.341	538.496	0.971611
3060	3.95907e+07	620.187	2614	259	234	331	0	620.187	50	103	0	26149	18533.6	0	2.25886e+06	225.646	286.05	0	3060	404.728	537.528	0.969863
3240	1.53149e+06	592	636	0	234	331	0	592	50	20.2911	0	26246.6	18486	0	390784	284.494	295.347	0	3240	401.189	536.561	0.968119
3420	1.50403e+06	514	657	50	234	331	0	514	49	21.5802	0	26153	18596	0	173681	252.045	256.045	0	3420	398.512	535.596	0.966378
3600	2.16987e+06	632	571	38	234	331	0	632	49	23.3759	0	26246.2	18488.1	0	155156	312.658	245.594	0	3600	397.748	534.633	0.96464
3780	558075	539.999	197	58	234	331	0	539.999	49	12.8251	0	26307	18644	0	176372	293.57	275.359	0	3780	393.398	533.671	0.962906
3960	796512	604.655	273	170	234	331	0	604.655	49	14.4795	0	26228	18548.1	0	205190	322.146	249.345	0	3960	398.297	532.712	0.961174
4140	1.19261e+06	893.835	445	0	234	331	0	893.835	50	14.5724	0	26204	18487.4	0	374101	330.73	279.761	0	4140	394.208	531.754	0.959445
4320	5.74045e+07	1002.04	5089	1317	226	335	0	1002.04	50	96.8852	0	26577.7	17900.7	0	1.30763e+06	323.3	296.427	0	4320	394.815	530.797	0.95772
4500	2.86951e+06	44.9508	735	0	226	335	0	44.9508	50	103	0	26543.6	18012	0	377437	311.026	324.282	0	4500	393.6	529.843	0.955997
4680	588313	547.468	325	48	226	335	0	547.468	49	13.0778	0	26581.2	17856.1	0	214830	352.95	323.271	0	4680	395.753	528.89	0.954278
4860	3.88542e+06	75.3958	394	0	226	335	0	75.3958	49	91.4366	0	26465	17854.8	0	269111	254.57	276.84	0	4860	396.245	527.939	0.952562
5040	2.04033e+06	161.029	544	0	226	335	0	161.029	49	44.9064	0	26571.2	18012	0	211723	328.686	330.172	0	5040	390.133	526.989	0.950849
5220	6.12961e+06	247.013	930	0	226	335	0	247.013	50	62.8546	0	26465	17983.7	0	544259	278.207	318.53	0	5220	406.223	526.042	0.949139
5400	3.10297e+06	152.941	745	94	226	335	0	152.941	49	56.8263	0	26623	17996.6	0	176888	288.96	305.456	0	5400	396.958	525.096	0.947432
5580	1.09273e+06	445.988	465	0	226	335	0	445.988	49	19.7471	0	26535.8	18012	0	146857	327.16	302.533	0	5580	399.676	524.151	0.945728
