MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_25.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	40
LIMIT-FIT-SIGMA-XY-MAX	162
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	44
LIMIT-FIT-BGD-MAX	45
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	156	156	155	155	154	153	153	152	152	152	151	151	151	150	150	150	150	149	149	149	149	149	148	148	148	148	147	147	147	146	146	145	145	144	143	143	142	142	141	141	140	140	139	139	138	137	137	136	136	135	135	134	134	133	132	132	131	131	130	129	129	128	128	127	127	127	126	126	126	126	125	125	125	125	124	124	124	124	124	123	123	123	123	123	122	122	122	122	122	122	121	121	121	121	120	120	119	119	119	118	118	118	117	117	117	116	116	115	115	114	114	113	112	112	111	111	110	110	109	109	108	108	107	107	106	106	105	105	104	104	103	103	102	102	101	101	100	100	99	99	98	98	97	96	96	95	95	94	94	93	93	92	92	91	91	91	90	90	90	89	89	89	88	88	87	87	87	87	86	86	86	85	85	85	84	84	84	83	83	82	82	81	80	80	79	79	78	78	77	77	76	76	75	74	74	73	72	72	71	71	70	70	69	69	69	68	68	67	67	66	66	65	65	64	64	63	63	62	62	61	61	60	60	59	59	58	58	57	57	56	56	55	55	54	54	54	53	53	52	52	52	51	51	50	50	49	49	49	48	48	47	47	47	47	46	46	45	45	45	45	45	44	44	44	44	44	44	44	44	44	44	44	44	45	45	45	45	45	45	45	46	46	46	46	46	47	47	47	48	48	49	49	50	50	50	51	51	51	52	52	52	53	53	53	54	54	54	54	55	55	56	56	57	57	58	59	59	59	60	60	61	61	61	62	62	63	63	64	64	64	65	65	66	66	67	67	68	68	69	69	70	70	71	71	72	72	73	73	74	74	75	76	76	77	77	78	78	79	79	80	80	81	81	82	82	82	83	83	83	84	84	85	85	86	86	87	89	89	90	91	91	92	92	93	94	94	95	95	96	96	97	97	98	98	99	100	101	101	102	102	103	103	104	104	105	106	107	107	108	108	109	109	109	110	110	110	111	111	111	111	111	111	111	112	112	113	113	114	114	115	115	116	116	117	117	118	119	120	121	122	122	123	124	125	125	126	126	127	127	128	129	130	130	130	131	131	132	132	133	134	134	135	135	136	136	137	137	138	138	139	139	140	140	141	141	141	142	142	143	143	143	144	144	144	145	145	145	145	146	146	147	147	147	148	148	148	149	149	149	150	150	150	151	151	151	152	152	153	153	153	154	154	154	155	155	155	155	155	156	156	156	156	157	157	157	157	157	157	158	158	158	158	158	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	158	158	158	END
Y_POS	286	287	286	286	285	284	283	283	282	282	281	280	280	280	279	279	279	278	278	278	277	277	277	276	276	276	276	275	275	275	274	274	273	273	273	273	273	272	272	272	272	271	271	271	271	271	271	271	271	271	271	271	271	271	271	272	272	272	272	273	273	273	273	274	274	274	274	275	275	275	275	276	276	277	277	277	277	278	278	278	279	279	279	280	280	281	281	281	282	282	283	283	284	284	285	285	286	286	287	287	287	287	287	287	288	288	288	288	288	288	288	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	290	290	290	290	291	291	291	291	292	292	292	292	293	293	293	293	293	293	294	294	294	294	294	294	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	295	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	295	295	295	295	295	295	295	295	295	295	295	295	296	296	296	296	296	297	297	297	297	298	298	298	299	299	299	300	300	300	301	301	301	302	302	302	303	303	303	304	304	305	305	306	306	307	307	308	308	309	309	310	310	311	311	312	312	312	313	313	314	314	315	315	315	315	316	317	317	317	318	318	319	319	319	320	320	320	321	321	321	321	321	322	322	322	322	322	323	323	323	324	324	324	325	325	325	325	325	325	326	326	326	326	326	326	326	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	326	325	325	325	324	324	324	323	323	323	322	322	321	321	321	320	320	320	320	320	319	319	319	319	319	319	319	319	319	319	320	320	320	320	320	320	321	321	321	321	321	321	321	321	322	322	322	322	322	322	322	322	322	322	322	322	322	322	322	322	322	322	322	322	322	322	322	321	321	321	321	321	320	320	320	320	319	319	319	319	318	318	318	317	317	317	317	317	316	316	316	315	315	315	314	314	314	313	313	313	312	311	311	311	310	310	309	309	309	308	308	308	308	307	307	307	306	306	305	305	304	304	304	303	302	302	302	301	301	300	300	299	299	298	298	297	297	296	296	295	295	294	294	293	293	292	292	291	291	290	290	289	289	289	289	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.33703e+06	132.997	386	24	312	77	0	132.997	44	40	0	6083	24806	0	144439	272.737	368.989	0	0	622.209	826.818	1
180	0.131439	1.30745e-05	84	0	312	77	0	1.30745e-05	44	40	0	6241	24731.6	0	104418	351.886	279.357	0	180	651.736	825.331	0.998202
360	1.98149e+06	197.102	575	0	312	77	0	197.102	44	40	0	6239.89	24722.2	0	112748	386.289	289.263	0	360	657.216	823.847	0.996406
540	277126	27.5658	285	69	312	77	0	27.5658	44	40.0003	0	6084.87	24794.7	0	76345.4	344.111	300.724	0	540	639.958	822.365	0.994615
720	1.75158e+06	174.233	394	146	312	77	0	174.233	44	40	0	6151.36	24776	0	104202	322.606	323.152	0	720	638.875	820.886	0.992826
900	1.7155e+06	170.644	545	0	312	77	0	170.644	44	40	0	6172.48	24648.2	0	162002	340.477	292.354	0	900	637.21	819.41	0.99104
1080	770213	50.5359	240	72	312	77	0	50.5359	44	49.2511	0	6122.68	24806	0	110072	303.929	336.793	0	1080	642.319	817.936	0.989258
1260	3.31508e+06	329.757	536	74	312	77	0	329.757	44	40	0	6087.81	24726.5	0	201088	326.049	280.132	0	1260	643.959	816.465	0.987479
1440	587270	58.4168	379	63	312	77	0	58.4168	44.5289	40	0	6150.58	24685.7	0	201762	342.9	274.973	0	1440	630.107	814.997	0.985703
1620	253191	25.1827	255	0	312	77	0	25.1827	44	40.0021	0	6083	24773.4	0	151030	276.379	279.52	0	1620	619.411	813.531	0.983931
1800	67795.6	6.66902	314	0	312	77	0	6.66902	44	40.2235	0	6092.91	24735.5	0	130489	274.538	262.284	0	1800	617.849	812.068	0.982161
1980	2.78809e+06	100.875	630	0	312	77	0	100.875	44	66.3476	0	6241	24685.1	0	173444	337.083	298.353	0	1980	625.376	810.608	0.980395
2160	2.23224e-10	2.22045e-14	112	0	312	77	0	2.22045e-14	44.1429	40	0	6083	24648	0	260406	259.133	254.823	0	2160	609.839	809.15	0.978632
2340	1.68324e+06	123.012	443	96	312	77	0	123.012	44	46.667	0	6185.05	24806	0	118714	331.967	322.092	0	2340	612.435	807.695	0.976872
2520	1.62453e+06	161.595	604	132	312	77	0	161.595	44	40	0	6170.07	24772.4	0	93507.6	336.167	330.417	0	2520	595.76	806.242	0.975115
2700	1.09035e+06	108.459	306	0	312	77	0	108.459	44	40.0001	0	6241	24740.9	0	143866	321.368	316.37	0	2700	612.011	804.792	0.973361
2880	2.43468e+06	35.2847	306	0	312	77	0	35.2847	44	107.804	0	6207.2	24648	0	244418	329.977	240.391	0	2880	602.25	803.345	0.971611
3060	1.91252e+07	190.664	1692	198	312	77	0	190.664	44	138.344	0	6083	24668.9	0	386289	258.4	292.966	0	3060	611.348	801.9	0.969863
3240	1.24867e+08	1130.83	8462	1443	312	77	0	1130.83	45	149.397	0	6128.03	24734.7	0	1.84021e+06	300.162	319.81	0	3240	607.821	800.458	0.968119
3420	6.48846e+07	627.396	4620	1005	312	73	0	627.396	45	141.655	0	5867.96	24739.8	0	1.46426e+06	314.293	334.055	0	3420	595.388	799.019	0.966378
3600	2.19144e+07	181.152	852	109	312	73	0	181.152	45	162	0	5767	24648	0	1.11158e+06	211.891	254.596	0	3600	600.229	797.582	0.96464
3780	2.97694e+06	296.121	766	0	312	73	0	296.121	44.0257	40	0	5920.18	24652.1	0	233890	366.659	214.17	0	3780	584.991	796.147	0.962905
3960	8.07061e+06	192.241	830	0	312	73	0	192.241	44	82.0591	0	5767	24806	0	340907	292.01	338.682	0	3960	599.795	794.716	0.961174
4140	2.48319e+06	247.007	536	0	312	73	0	247.007	44	40	0	5771.75	24806	0	183896	290.331	371.579	0	4140	593.947	793.286	0.959445
4320	104414	1.73417	475	0	312	73	0	1.73417	44	99.6203	0	5909.3	24648	0	201177	326.767	251.492	0	4320	593.766	791.86	0.95772
4500	99695.7	9.88562	278	41	312	73	0	9.88562	44	40.0633	0	5845.99	24662.6	0	242581	430.446	312.052	0	4500	614.352	790.436	0.955997
4680	1.01057e+06	100.524	364	38	312	73	0	100.524	44	40	0	5767	24753.2	0	190415	331.615	320.05	0	4680	615.388	789.014	0.954278
4860	3.1232e+06	100.121	338	99	312	73	0	100.121	44	70.5157	0	5834.12	24648	0	498468	254.078	246.845	0	4860	588.415	787.595	0.952562
5040	2.05992e+06	204.904	405	132	312	73	0	204.904	44	40	0	5849.23	24670	0	244564	273.737	289.488	0	5040	588.902	786.179	0.950849
5220	451115	44.8721	196	29	312	73	0	44.8721	44	40.0005	0	5923.01	24659	0	182733	300.57	311.256	0	5220	598.085	784.765	0.949139
5400	1.60556e+06	159.708	410	71	312	73	0	159.708	44	40	0	5846.17	24806	0	92684	271.463	310.58	0	5400	593.298	783.354	0.947432
5580	2.52654e+06	251.319	346	0	312	73	0	251.319	44	40	0	5845.4	24648	0	117258	281.383	270.75	0	5580	587.421	781.945	0.945728
5760	2.56194e+06	254.841	464	100	312	73	0	254.841	44	40	0	5851.28	24658.8	0	153749	268.184	286.942	0	5760	578.765	780.539	0.944027
5940	445089	44.2738	278	0	312	73	0	44.2738	44	40	0	5922.83	24806	0	153363	338.316	318.658	0	5940	589.437	779.135	0.94233
6120	6.11642e+07	796.024	5405	722	315	61	0	796.024	44	115.139	0	4902.97	24947.3	0	562666	315.62	299.045	0	6120	567.156	777.734	0.940635
6300	4.88491e-08	4.85911e-12	67	0	315	61	0	4.85911e-12	44	40	0	4977	25043	0	111564	318.484	337.911	0	6300	559.504	776.335	0.938943
