MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_27.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	39
LIMIT-FIT-SIGMA-XY-MAX	173
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	41
LIMIT-FIT-BGD-MAX	42
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	86	86	87	87	88	88	88	89	89	90	90	90	91	91	91	91	92	92	92	92	93	93	93	94	94	94	94	95	95	95	95	96	96	96	96	97	97	97	97	97	97	97	97	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	97	97	97	96	96	96	96	95	95	95	94	94	94	94	93	93	93	93	92	92	92	92	91	91	91	90	90	90	89	89	88	88	87	87	87	86	86	86	85	85	84	84	83	82	81	81	80	80	79	79	78	78	77	76	75	75	74	73	73	72	71	71	70	70	69	69	68	68	67	67	67	66	66	66	65	65	65	64	64	64	63	63	63	63	62	62	62	61	61	61	60	60	60	60	59	59	59	59	58	58	58	57	57	57	57	56	56	56	56	55	55	55	55	55	55	54	54	54	54	54	54	54	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	54	54	54	54	54	54	54	54	54	54	54	54	54	54	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	56	56	56	56	56	56	56	56	56	56	56	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	58	58	58	59	59	59	60	60	60	61	61	62	62	63	63	63	64	64	65	65	66	66	67	67	68	68	68	69	69	70	70	70	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	72	72	72	73	73	74	74	75	75	76	76	77	78	78	79	79	80	80	81	81	82	82	82	83	83	83	83	84	84	84	85	85	85	86	86	86	87	87	88	88	88	88	89	90	90	91	91	91	91	92	92	93	93	93	94	94	94	95	95	95	96	96	96	97	97	97	98	98	98	99	99	99	99	100	100	100	100	101	101	101	101	101	101	101	101	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	101	101	101	101	101	100	100	100	100	99	99	98	98	98	97	97	97	97	97	96	96	96	95	95	95	95	94	94	93	93	93	93	92	92	92	92	91	91	90	90	90	90	89	89	89	89	88	88	88	88	88	88	87	87	87	87	87	87	86	86	86	86	86	86	86	85	85	END
Y_POS	83	82	82	81	81	80	80	79	79	78	78	78	78	77	77	77	77	76	76	76	75	75	74	74	74	74	73	73	73	72	72	72	71	71	71	71	70	70	69	69	69	68	68	67	67	66	66	65	65	64	64	64	63	63	62	62	61	61	60	60	59	59	58	58	57	57	56	56	55	55	55	54	54	53	53	52	52	52	51	51	51	50	50	49	49	49	48	48	48	48	47	47	47	47	46	46	46	46	46	46	45	45	45	45	45	44	44	44	44	44	43	43	43	43	43	43	43	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	43	43	43	43	43	43	43	44	44	44	45	45	45	46	46	46	46	47	47	47	48	48	48	49	49	49	49	50	50	50	51	51	51	52	52	52	53	53	54	54	54	54	55	55	56	56	57	57	58	58	59	59	59	60	60	61	62	62	63	63	64	64	65	65	66	66	67	67	68	68	69	69	70	70	71	71	72	72	73	73	74	74	75	75	76	77	77	78	78	79	79	80	80	81	81	82	82	83	83	83	84	84	85	85	86	86	87	87	88	88	89	89	90	90	91	91	92	92	93	93	94	94	95	95	96	96	97	97	98	98	99	99	100	100	100	101	101	102	102	103	103	104	104	105	105	106	106	107	107	108	108	109	109	110	110	111	111	112	112	113	113	114	114	114	115	115	115	116	116	116	116	116	116	116	117	117	117	117	117	117	116	116	116	116	116	116	116	116	116	116	116	117	117	117	117	117	117	117	118	118	119	119	120	120	121	121	122	122	123	123	124	124	125	125	125	125	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	127	127	127	127	128	128	128	129	129	129	130	130	130	130	130	131	131	131	131	131	131	131	131	131	130	130	130	129	129	129	129	129	128	128	128	127	127	127	127	126	126	126	125	125	124	124	124	123	123	122	122	122	121	121	121	120	120	119	119	118	118	118	117	117	116	116	115	115	114	114	113	113	112	112	111	111	110	110	109	109	108	108	107	107	106	106	105	105	105	104	104	104	104	103	103	102	102	101	101	101	100	100	100	99	99	98	98	98	97	97	97	97	96	96	96	96	95	95	95	95	94	94	94	94	93	93	93	93	92	92	92	92	91	91	91	91	90	90	89	89	89	89	88	88	87	87	87	87	86	86	85	85	85	84	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	2.97583e+07	230.101	1396	176	56	77	0	230.101	42	173	0	6241	4426.01	0	895828	373.295	284.325	0	0	586.831	649.469	1
180	5.39401e+07	756.015	4945	687	56	77	0	756.015	41	109.992	0	6158.9	4488.38	0	1.52644e+06	301.068	295.002	0	180	581.69	648.301	0.998201
360	1.27187e+07	98.3454	423	0	56	77	0	98.3454	42	173	0	6228.46	4424	0	653572	342.97	208.975	0	360	580.708	647.135	0.996406
540	770601	80.6344	330	0	56	77	0	80.6344	42	39	0	6241	4475.04	0	574744	433.116	207.989	0	540	570.426	645.971	0.994614
720	0.170606	1.78519e-05	49	0	56	77	0	1.78519e-05	41	39	0	6126.34	4499.37	0	83198	326.488	190.649	0	720	577.66	644.809	0.992826
900	719682	75.3063	268	0	56	77	0	75.3063	41	39	0	6083	4549.29	0	84554.8	228.337	300.046	0	900	579.269	643.65	0.99104
1080	45491.9	4.72786	141	58	56	77	0	4.72786	41	39.1332	0	6212.15	4501.51	0	204148	352.607	310.642	0	1080	570.393	642.492	0.989258
1260	1.44744e+06	151.458	382	0	56	77	0	151.458	41	39	0	6180.47	4582	0	86532.4	341.593	349.549	0	1260	578.112	641.337	0.987479
1440	564672	32.7863	358	60	56	77	0	32.7863	41	52.3558	0	6083	4424	0	138497	237.187	337.401	0	1440	569.285	640.183	0.985703
1620	729370	54.6764	158	0	56	77	0	54.6764	41	46.077	0	6232.22	4424	0	123121	360.002	231.046	0	1620	566.336	639.032	0.98393
1800	1.29419e+06	135.422	552	0	56	77	0	135.422	41	39	0	6083	4582	0	185418	328.814	316.891	0	1800	572.286	637.883	0.982161
1980	5.24541e+07	808.391	5276	733	67	76	0	808.391	41	103.977	0	6066.24	5348.26	0	995497	302.275	304.797	0	1980	561.937	636.736	0.980395
2160	273937	28.6644	133	3	67	76	0	28.6644	41	39	0	6004	5303	0	141460	332.562	271.608	0	2160	560.749	635.591	0.978631
2340	1.72414e+06	180.412	487	54	67	76	0	180.412	41	39	0	6141.31	5448.55	0	160686	304.398	358.91	0	2340	552.019	634.448	0.976871
2520	1.69522e+06	177.385	361	0	67	76	0	177.385	41	39	0	6161.63	5371.84	0	173202	336.7	272.447	0	2520	543.228	633.307	0.975115
2700	8.91581e+07	1146.12	7535	1427	59	84	0	1146.12	41.0001	116.04	0	6739.85	4735.3	0	1.06354e+06	350.33	321.123	0	2700	555.149	632.168	0.973361
2880	1.18373e+08	1360.77	9341	1171	61	83	0	1360.77	41.0001	124.869	0	6602.3	4929.38	0	2.33804e+06	290.985	343.841	0	2880	559.025	631.031	0.971611
3060	4.24879e+07	422.481	1424	204	61	83	0	422.481	41.0018	138.617	0	6557	4977	0	1.40812e+06	227.29	387.797	0	3060	553.568	629.896	0.969863
3240	1.27041e+07	98.2318	705	171	61	83	0	98.2318	42	173	0	6557	4819	0	653248	262.281	280.427	0	3240	552.059	628.763	0.968119
3420	8.19819e+07	910.498	6173	1353	60	79	0	910.498	41	127.87	0	6304.76	4852.52	0	2.45869e+06	298.608	335.732	0	3420	555.883	627.632	0.966378
3600	3.39327e+07	303.506	1506	417	60	79	0	303.506	41	150.978	0	6241	4865.14	0	1.3381e+06	198.923	344.402	0	3600	540.759	626.504	0.96464
3780	1.67524e+06	175.294	463	8	60	79	0	175.294	42	39	0	6318.23	4898	0	345121	351.513	351.347	0	3780	561.948	625.377	0.962905
3960	5.34635e+06	99.2606	455	194	60	79	0	99.2606	41	93.6535	0	6399	4859.46	0	376398	337.993	337.436	0	3960	558.688	624.252	0.961174
4140	2.38186e+06	249.234	567	19	60	79	0	249.234	41	39	0	6242.25	4866.04	0	97559.8	294.534	319.261	0	4140	546.568	623.13	0.959445
4320	2.42847e+06	18.7777	420	0	60	79	0	18.7777	42	173	0	6399	4898	0	288560	323.533	314.673	0	4320	552.778	622.009	0.95772
4500	1.46598e+06	153.398	490	0	60	79	0	153.398	41	39	0	6399	4777.41	0	103250	301.067	292.356	0	4500	558.856	620.89	0.955997
4680	2.31873e+06	242.628	330	0	60	79	0	242.628	41	39	0	6399	4896.03	0	175888	322.284	333.377	0	4680	568.686	619.774	0.954278
4860	460592	48.1956	172	22	60	79	0	48.1956	41	39	0	6245.44	4809.78	0	118048	303.225	273.23	0	4860	550.267	618.659	0.952562
5040	2.02743e+06	212.147	444	136	60	79	0	212.147	41	39	0	6344.01	4761.5	0	131261	365.94	338.01	0	5040	552.401	617.547	0.950849
5220	1.16231e+06	121.622	356	0	60	79	0	121.622	41	39	0	6398.37	4888.42	0	159822	332.653	327.524	0	5220	554.48	616.436	0.949139
5400	943993	98.7778	311	84	60	79	0	98.7778	41	39	0	6270.78	4846.45	0	109092	285.004	318.65	0	5400	547.225	615.328	0.947432
5580	119381	5.78605	223	0	60	79	0	5.78605	41	57.3064	0	6241	4897.54	0	118842	314.686	334.929	0	5580	557.331	614.221	0.945728
5760	1.58769e+06	166.133	213	0	60	79	0	166.133	41	39	0	6399	4898	0	164308	289.935	343.214	0	5760	558.124	613.116	0.944027
5940	1.27117e+06	133.013	415	154	60	79	0	133.013	41	39	0	6331.51	4827.28	0	193283	327.092	423.895	0	5940	545.345	612.014	0.94233
6120	859732	89.9609	303	54	60	79	0	89.9609	41	39	0	6388.13	4898	0	142363	358.648	329.035	0	6120	552.72	610.913	0.940635
