MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_28.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	14
LIMIT-FIT-SIGMA-XY-MAX	158
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	43
LIMIT-FIT-BGD-MAX	44
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	103	103	104	104	105	105	106	106	107	107	108	109	109	109	109	110	111	111	111	111	111	111	111	111	111	111	111	110	110	109	109	109	109	108	107	107	106	106	105	104	104	103	103	102	101	101	101	100	99	99	98	97	97	96	95	94	94	93	93	92	91	90	89	88	88	87	86	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	66	65	64	64	63	62	61	60	59	59	58	57	57	56	56	55	54	53	53	52	51	51	51	50	49	49	49	49	48	48	47	47	47	46	46	46	46	46	46	46	46	46	46	47	47	47	48	49	49	49	50	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	59	60	61	61	61	62	62	63	63	63	64	64	65	65	65	65	65	65	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	65	65	65	65	65	65	64	64	63	63	63	63	62	62	62	62	62	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	62	63	63	64	65	67	67	68	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	85	86	87	87	87	87	88	89	90	91	92	92	93	94	95	96	97	99	99	101	102	103	103	104	105	105	105	106	106	106	107	107	108	108	109	109	109	110	111	111	111	112	113	113	115	116	117	117	119	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	137	138	138	139	139	140	141	141	141	142	142	142	143	143	143	143	143	143	144	144	144	144	144	144	144	145	145	145	145	145	145	145	145	145	145	145	145	145	144	144	144	143	143	143	143	142	142	141	141	141	141	140	139	139	139	138	137	136	135	133	133	131	131	130	129	128	128	127	126	125	124	123	122	121	119	118	117	116	115	114	113	112	111	110	109	108	107	106	105	104	103	101	100	100	99	98	97	97	96	96	95	95	94	93	93	93	92	92	91	91	90	90	89	89	89	89	89	88	88	88	88	89	89	89	89	90	90	91	92	92	93	94	95	95	96	96	97	97	98	98	99	99	100	END
Y_POS	335	334	333	331	331	330	329	328	327	326	325	325	324	323	322	321	321	320	319	318	317	316	315	314	313	312	311	311	310	310	309	308	307	307	306	305	305	304	303	303	302	302	301	301	301	300	299	299	299	298	298	298	297	297	297	297	296	296	295	295	295	295	295	295	294	294	294	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	294	294	294	295	295	295	296	296	296	297	297	297	298	298	299	299	300	300	301	301	301	302	303	303	303	304	305	306	306	307	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	323	324	325	325	326	327	327	328	328	329	329	330	330	331	331	332	332	333	333	334	334	335	336	336	337	338	339	339	340	340	341	342	343	344	345	346	347	348	349	350	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	369	370	371	372	373	374	374	375	376	377	378	379	379	380	381	382	383	383	384	385	386	387	388	389	390	391	392	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	409	409	410	411	411	412	413	413	413	413	413	413	413	413	413	413	412	412	411	411	411	410	409	408	408	407	406	405	405	404	404	404	404	404	404	404	405	405	405	406	407	407	407	408	409	409	410	411	411	412	413	414	415	416	417	417	417	418	419	419	419	420	421	421	421	422	422	423	423	423	423	423	423	423	423	423	423	423	423	423	423	423	423	422	421	421	420	420	419	419	418	417	416	415	414	413	412	411	411	410	409	408	407	406	406	405	404	403	402	401	400	399	398	397	396	395	394	393	392	391	390	389	388	387	387	386	385	385	384	383	382	381	380	380	379	378	377	377	377	376	375	375	375	374	373	373	372	372	371	371	371	371	370	370	370	369	369	369	369	369	369	369	369	369	369	369	369	369	369	369	369	369	369	369	369	369	368	368	368	367	367	366	366	365	365	364	364	363	363	363	362	361	361	360	360	359	358	357	357	356	355	354	353	353	351	350	349	348	347	346	345	345	344	343	343	342	341	340	340	339	339	338	338	337	337	336	336	335	335	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.04676e+06	783.936	302	0	308	72	0	783.936	43	14.5778	0	5735.76	24332	0	248001	363.519	265.762	0	0	404.102	501.517	1
180	3.24714e+07	401.271	2101	332	308	72	0	401.271	43	119.013	0	5846	24489	0	364848	386.512	377.009	0	180	417.037	500.615	0.998202
360	6.87464e+07	645.812	5036	780	308	72	0	645.812	44	144.953	0	5793.57	24394.7	0	1.72133e+06	327.387	303.433	0	360	413.709	499.715	0.996406
540	1.03841e+07	88.1969	621	134	308	72	0	88.1969	44	158	0	5688	24332	0	437280	265.438	246.839	0	540	406.218	498.817	0.994615
720	9.1048e+07	773.31	5551	1041	308	72	0	773.31	44	158	0	5802.7	24387.9	0	1.33579e+06	336.936	309.449	0	720	407.666	497.919	0.992826
900	1.95255e-05	1.5855e-08	0	0	308	72	0	1.5855e-08	43	14	0	5846	24490	0	220840	359.768	398.519	0	900	408.723	497.024	0.99104
1080	3.29388e+06	43.6535	304	0	308	72	0	43.6535	43	113.838	0	5688	24332	0	224754	278.118	284.844	0	1080	405.271	496.13	0.989258
1260	4.44134e+07	460.06	2809	579	308	72	0	460.06	44	134.424	0	5841.01	24461.8	0	690153	360.579	336.951	0	1260	414.926	495.238	0.987479
1440	7.50214e+06	63.719	810	32	308	72	0	63.719	44	158	0	5688	24457	0	427982	330.587	314.878	0	1440	415.752	494.347	0.985703
1620	5.70309e+06	48.4389	599	0	308	72	0	48.4389	44	158	0	5846	24332	0	297609	352.002	295.671	0	1620	404.777	493.458	0.983931
1800	1.67834e+06	402	522	0	308	72	0	402	44	25.7773	0	5846	24365.1	0	138331	368.932	326.703	0	1800	395.783	492.571	0.982161
1980	6.97328e+07	660.864	5175	695	314	58	0	660.864	44	143.931	0	4679	24877.5	0	1.31855e+06	329.638	306.604	0	1980	389.18	491.685	0.980395
2160	2.70312e+07	229.588	1090	34	314	58	0	229.588	44	158	0	4582	24964	0	671145	259.828	347.596	0	2160	400.967	490.801	0.978632
2340	6.11753e+07	519.588	3620	454	314	58	0	519.588	44	158	0	4588.93	24856.5	0	1.79095e+06	282.074	300.506	0	2340	396.981	489.918	0.976872
2520	7.78825e+07	977.32	6212	923	317	61	0	977.32	43.9999	117.84	0	4924.12	25093.8	0	1.27923e+06	342.447	293.826	0	2520	395.668	489.037	0.975115
2700	1.19354e+08	1013.72	8063	1020	313	66	0	1013.72	44	158	0	5314.8	24818.7	0	2.13963e+06	330.988	327.315	0	2700	404.715	488.158	0.973361
2880	5.45959e+07	463.707	3521	584	313	66	0	463.707	44	158	0	5214	24835.9	0	2.24368e+06	264.558	338.454	0	2880	397.897	487.28	0.971611
3060	4.36017e+07	372.194	1465	17	313	66	0	372.194	43	157.284	0	5214	24885	0	1.36016e+06	206.047	378.136	0	3060	401.385	486.403	0.969863
3240	9.5755e+06	209.743	544	12	313	66	0	209.743	43.4276	85.7295	0	5214	24727	0	326114	278.439	248.524	0	3240	398.385	485.529	0.968119
3420	1.72274e+07	202.47	960	411	313	66	0	202.47	43.0944	123.017	0	5214	24727	0	826126	286.078	225.763	0	3420	399.011	484.655	0.966378
3600	2.65452e+07	229.491	1145	0	313	66	0	229.491	43	155.509	0	5214	24727	0	1.07222e+06	233.685	278.277	0	3600	392.988	483.784	0.96464
3780	1.48319e+07	212.086	1262	188	313	66	0	212.086	44	108.672	0	5214	24791.8	0	275766	286.841	311.788	0	3780	414.703	482.914	0.962905
3960	8.60563e+07	863.003	6342	924	312	67	0	863.003	44	137.723	0	5333.26	24730.2	0	1.20903e+06	289.004	319.853	0	3960	425.639	482.045	0.961174
4140	8.16922e+06	71.7653	351	0	312	67	0	71.7653	43	153.337	0	5293	24648	0	374694	290.189	229.879	0	4140	424.069	481.179	0.959445
4320	821172	406	211	0	312	67	0	406	43	17.9417	0	5293	24806	0	137693	397.761	342.857	0	4320	426.791	480.313	0.95772
4500	6.93378e+06	58.8917	213	0	312	67	0	58.8917	43	158	0	5451	24648	0	334493	371.022	313.904	0	4500	435.266	479.449	0.955997
4680	1.96091e+06	122.121	213	0	312	67	0	122.121	44	50.5529	0	5306.85	24806	0	216555	291.776	283.733	0	4680	423.382	478.587	0.954278
4860	1.35504e+06	474	489	65	312	67	0	474	43	21.3303	0	5293	24806	0	116951	320.701	326.625	0	4860	428.371	477.726	0.952562
5040	540747	438.934	274	106	312	67	0	438.934	44	14.0026	0	5450.83	24648	0	286085	358.102	296.852	0	5040	434.072	476.867	0.950849
5220	558096	453.166	533	0	312	67	0	453.166	44	14.0003	0	5451	24707.2	0	274933	377.269	283.993	0	5220	445.87	476.01	0.949139
5400	1.47676e+06	535.773	422	268	312	67	0	535.773	44	20.9448	0	5365.04	24727.1	0	206822	276.07	339.104	0	5400	425.821	475.154	0.947432
