MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_28.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-43
LIMIT-FIT-SIGMA-XY-MAX	127
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	36
LIMIT-FIT-BGD-MAX	37
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	361	360	359	359	358	358	357	356	355	354	353	352	351	351	350	349	349	348	347	347	346	345	345	344	344	344	344	344	344	344	344	344	344	344	344	345	345	345	346	347	347	348	349	349	350	351	351	352	352	353	354	354	355	356	356	357	357	357	358	359	359	359	360	360	361	362	362	362	363	364	365	365	366	366	367	367	368	368	369	370	371	371	372	372	373	374	375	376	377	378	379	380	381	382	383	384	384	385	385	386	386	387	387	387	387	388	389	389	390	391	392	393	394	395	396	397	398	399	399	400	401	403	404	405	406	407	408	409	410	411	412	413	413	413	413	413	413	413	413	413	412	411	410	409	408	408	407	406	405	404	403	402	401	400	399	398	397	397	396	395	394	394	393	392	392	391	391	391	391	391	391	392	392	393	394	394	394	395	395	395	395	395	394	394	393	393	392	391	391	390	389	389	388	387	386	385	384	383	382	381	381	381	380	380	380	379	379	378	378	377	376	375	374	373	372	371	370	END
Y_POS	261	261	261	260	260	259	259	259	259	259	259	259	259	260	260	260	261	261	261	262	262	263	264	264	265	266	267	268	269	270	271	272	273	274	275	275	276	277	277	278	279	279	280	281	281	281	282	282	283	283	284	285	285	285	286	286	287	288	288	288	289	290	290	291	291	291	292	293	293	294	294	295	295	296	296	297	297	298	298	299	299	300	300	301	301	301	301	302	302	302	302	302	302	302	302	302	301	301	300	299	298	298	297	296	295	294	294	293	293	293	293	293	293	293	293	293	293	293	294	294	295	295	295	295	296	296	296	296	296	296	296	296	295	294	293	292	291	290	289	288	288	287	287	286	286	285	285	285	285	285	285	285	285	284	284	284	284	283	283	283	283	282	282	282	281	281	280	279	278	277	276	276	275	275	275	274	273	273	272	271	270	269	269	268	268	267	267	267	266	266	266	265	265	265	265	265	265	265	265	265	266	267	267	268	269	269	270	270	271	271	271	271	271	271	271	271	271	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	30835.5	101.694	200	0	292	373	0	101.694	36	6.94684	0	29541.2	23215.1	0	127859	230.491	328.629	0	0	357.509	409.759	1
180	2.34495e+06	64.9225	260	0	292	373	0	64.9225	36	75.9564	0	29467	23226	0	178517	315.307	349.217	0	180	368.866	409.022	0.998202
360	560176	434.861	218	0	292	373	0	434.861	36	-14.3185	0	29467	23149.5	0	139800	361.748	330.724	0	360	364.425	408.287	0.996406
540	1.29812e+06	505.977	496	183	292	373	0	505.977	36.0402	20.207	0	29551.9	23174.1	0	121028	313.799	366.746	0	540	361.102	407.552	0.994614
720	1.12509e-07	26.1416	163	0	292	373	0	26.1416	36	-2.61721e-05	0	29474.3	23219.9	0	69400	274.126	380.377	0	720	361.287	406.819	0.992826
900	0.00067395	33.8755	212	7	292	373	0	33.8755	37	0.00177943	0	29473	23114	0	158614	298.753	301.96	0	900	364.006	406.088	0.99104
1080	692057	404.407	239	85	292	373	0	404.407	36	16.5033	0	29545.2	23189.5	0	118097	292.222	321.5	0	1080	362.191	405.357	0.989258
1260	510942	679.912	150	0	292	373	0	679.912	37	-10.9363	0	29467.2	23226	0	246587	322.036	349.615	0	1260	370.518	404.628	0.987479
1440	477574	357.577	229	0	292	373	0	357.577	36	14.5796	0	29468	23178.5	0	98139	263.222	398.466	0	1440	372.315	403.901	0.985703
1620	1.04568e+06	49.591	245	34	292	373	0	49.591	36	57.9331	0	29625	23226	0	152254	308.851	339.28	0	1620	366.572	403.174	0.98393
1800	5.68494e+06	63.7607	585	0	292	373	0	63.7607	37	127	0	29625	23226	0	406289	318.152	340.059	0	1800	358.378	402.449	0.982161
1980	945352	499.75	312	19	292	373	0	499.75	37	17.3512	0	29545.8	23226	0	180148	345.363	326.246	0	1980	353.319	401.726	0.980395
2160	167502	214.763	273	48	292	373	0	214.763	36	11.1414	0	29504.9	23147.7	0	114062	295.095	282.143	0	2160	361.888	401.003	0.978632
2340	2.65808e+06	43.4369	531	4	292	373	0	43.4369	36	100.539	0	29625	23226	0	144085	331.021	360.986	0	2340	361.729	400.282	0.976872
2520	1.0652e+06	36.5287	241	0	292	373	0	36.5287	36	68.16	0	29540.2	23226	0	118227	342.209	316.841	0	2520	358.706	399.562	0.975115
2700	476736	443.312	154	114	292	373	0	443.312	36.9998	13.0826	0	29546.3	23145.6	0	150011	306.713	301.108	0	2700	366.033	398.844	0.973361
2880	787815	277.838	255	0	292	373	0	277.838	36	21.2435	0	29546.1	23226	0	67493.1	325.837	366.582	0	2880	362.066	398.126	0.971611
3060	10.5005	65.8331	171	0	292	373	0	65.8331	36.9994	0.159328	0	29522	23166.6	0	144762	314.545	358.308	0	3060	365.58	397.41	0.969863
