MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_28.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-57
LIMIT-FIT-SIGMA-XY-MAX	107
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	32
LIMIT-FIT-BGD-MAX	33
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	148	147	147	147	146	146	145	145	144	144	143	143	142	141	140	139	139	137	136	135	134	132	131	130	129	127	126	125	124	123	122	121	120	119	118	117	117	116	115	114	114	113	113	112	111	111	110	109	109	109	108	107	107	106	106	106	105	105	105	104	104	104	104	104	104	104	104	104	104	105	106	107	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	123	124	125	125	125	126	126	127	127	128	128	129	130	131	133	134	135	136	137	138	139	139	139	140	140	141	141	142	142	143	143	144	144	145	145	146	147	147	147	148	149	150	151	152	153	154	154	155	155	156	157	158	159	160	161	162	163	163	164	165	166	167	168	169	170	170	170	171	172	172	172	173	173	173	173	173	173	173	173	173	173	173	173	173	172	171	171	171	170	170	169	169	169	168	168	167	167	166	166	165	165	164	163	163	162	161	161	159	158	157	156	155	154	153	152	END
Y_POS	105	105	104	103	103	102	102	101	101	100	100	99	98	97	97	96	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	96	96	97	97	98	98	99	99	100	101	101	101	102	103	103	104	105	105	106	107	107	108	109	109	110	111	112	113	114	115	116	117	118	119	119	120	121	121	121	121	122	122	122	122	122	121	121	120	120	119	119	119	119	118	118	118	117	116	116	115	115	114	114	113	113	113	113	113	113	113	113	115	115	115	116	117	117	118	118	119	119	120	120	121	121	122	122	123	123	123	124	125	125	125	126	127	127	127	127	128	128	129	129	129	129	129	130	130	130	130	131	131	131	131	131	131	131	131	130	129	129	129	128	127	127	126	125	124	123	122	121	120	119	118	117	116	115	115	114	113	112	112	111	111	110	109	109	108	108	107	107	106	106	105	105	105	104	104	104	103	103	103	103	103	103	103	103	103	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.01358e+06	556	406	0	110	116	0	556	33	17.0334	0	9164	8813.58	0	124439	282.843	299.159	0	0	321.635	341.561	1
180	4.51041e+06	66.196	601	26	110	116	0	66.196	33	107	0	9322	8690	0	246353	347.016	295.634	0	180	330.02	340.947	0.998202
360	1.97615e+06	634	576	47	110	116	0	634	32	22.2728	0	9242.05	8842.42	0	156650	334.307	351.346	0	360	324.886	340.334	0.996406
540	2.55899e+06	37.5564	380	0	110	116	0	37.5564	33	107	0	9164	8690	0	163594	290.176	311.621	0	540	316.316	339.722	0.994615
720	5.89987e+06	539.014	1176	279	110	116	0	539.014	33	41.738	0	9172.1	8810.86	0	288965	296.773	328.69	0	720	321.167	339.111	0.992826
900	318434	4.67343	267	0	110	116	0	4.67343	32	107	0	9322	8690	0	74868.5	363.045	271.562	0	900	321.154	338.501	0.99104
1080	2.9464e+06	210.26	517	56	110	116	0	210.26	33	47.2257	0	9164	8734.39	0	204159	272.912	260.429	0	1080	318.424	337.892	0.989258
1260	3.57679e+06	76.7232	450	0	110	116	0	76.7232	33	86.6798	0	9311.09	8690	0	126309	290.613	300.946	0	1260	328.735	337.285	0.987479
1440	7.16688e+06	105.183	521	0	110	116	0	105.183	33	107	0	9282.77	8848	0	304952	338.774	353.575	0	1440	329.2	336.678	0.985703
1620	455274	597.686	159	0	110	116	0	597.686	33	11.0106	0	9164	8690	0	345843	209.987	290.573	0	1620	321.704	336.073	0.983931
1800	7.40576e+06	108.689	553	139	110	116	0	108.689	33	107	0	9164	8690	0	312740	297.658	336.241	0	1800	315.412	335.468	0.982161
1980	1.7132e+06	426	365	15	110	116	0	426	32.3978	25.2994	0	9269.22	8690	0	88946.7	280.446	314.473	0	1980	311.592	334.865	0.980395
2160	2.78885	45.0657	52	0	110	116	0	45.0657	32	0.0992429	0	9226.28	8765.91	0	86976	300.019	313.166	0	2160	319.591	334.263	0.978632
2340	422078	367.129	191	13	110	116	0	367.129	32	13.5269	0	9165.01	8796.6	0	112352	291.268	317.416	0	2340	316.812	333.661	0.976872
2520	1.8653e+06	700.922	634	101	110	116	0	700.922	33	20.5802	0	9304.63	8709.87	0	235752	328.905	214.658	0	2520	313.617	333.061	0.975115
2700	598577	95.9598	269	39	110	116	0	95.9598	32	31.5083	0	9322	8846.11	0	84551.8	382.436	324.642	0	2700	317.755	332.462	0.973361
2880	5.46045e+06	80.1391	428	120	110	116	0	80.1391	33	107	0	9205.38	8848	0	287641	319.847	379.287	0	2880	315.687	331.865	0.971611
3060	1.01327e+06	521.782	345	135	110	116	0	521.782	32.8906	17.5803	0	9220.71	8795.57	0	155732	293.868	386.539	0	3060	318.227	331.268	0.969863
3240	439199	391.975	120	104	110	116	0	391.975	33	13.354	0	9244.16	8769.25	0	175337	236.308	334.519	0	3240	318.76	330.672	0.968119
3420	1.21769e+06	443.996	382	22	110	116	0	443.996	33	20.8924	0	9242.9	8845.7	0	187598	303.46	350.893	0	3420	318.366	330.077	0.966378
3600	1.6882e+06	453.998	617	92	110	116	0	453.998	32.0003	24.3274	0	9185.67	8768.11	0	147274	301.395	339.324	0	3600	316.187	329.484	0.96464
3780	4.20766e+06	61.7527	404	0	110	116	0	61.7527	32	107	0	9322	8690	0	246635	341.919	257.942	0	3780	375.767	328.891	0.962906
3960	1.33336e+06	544	350	14	110	116	0	544	32	19.7508	0	9172.38	8809.05	0	190871	253.045	299.091	0	3960	370.981	328.3	0.961174
4140	1.19968	74.9611	0	0	110	116	0	74.9611	32	-0.0504691	0	9256.34	8816.25	0	112433	439.205	357.565	0	4140	342.329	327.709	0.959445
4320	806956	508.901	392	163	110	116	0	508.901	33	15.8861	0	9243.1	8768.16	0	231304	299.255	291.487	0	4320	337.82	327.12	0.95772
4500	780435	77.8187	82	0	110	116	0	77.8187	32	39.9518	0	9322	8690	0	101420	394.546	266.228	0	4500	348.094	326.532	0.955997
4680	2.8112e+06	84.1991	694	109	110	116	0	84.1991	33	72.9807	0	9267.34	8754.75	0	103501	302.486	320.169	0	4680	328.361	325.944	0.954278
4860	991339	59.7988	109	0	110	116	0	59.7988	32	51.3661	0	9164	8765.68	0	147035	261.743	312.162	0	4860	339.102	325.358	0.952562
5040	4.44741e+06	105.285	446	101	110	116	0	105.285	33	82.322	0	9322	8848	0	210314	362.032	339.921	0	5040	342.258	324.773	0.950849
