MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_29.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	11
LIMIT-FIT-SIGMA-XY-MAX	133
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	39
LIMIT-FIT-BGD-MAX	40
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	232	232	233	233	234	234	234	235	235	235	235	236	236	237	237	237	237	237	238	238	238	239	239	239	239	240	240	241	241	241	242	242	243	243	243	244	244	245	245	245	246	246	247	247	248	248	249	249	250	250	251	251	252	252	253	253	254	254	255	255	256	256	257	258	259	259	260	260	260	261	261	262	263	263	264	264	264	265	265	265	266	266	267	267	267	268	268	269	269	269	270	271	271	272	272	272	273	274	275	276	276	277	277	277	277	278	278	279	279	280	280	281	281	282	283	283	284	284	284	285	286	287	288	289	289	290	290	291	291	292	292	293	294	295	295	296	297	297	298	298	298	299	299	300	300	300	301	301	302	302	302	303	303	304	304	305	305	306	307	307	307	308	308	309	309	309	310	310	311	311	311	312	312	313	313	314	314	314	315	315	316	316	316	317	317	318	318	319	319	320	320	320	321	321	321	322	322	322	323	323	323	324	324	324	324	325	325	326	326	327	327	328	328	329	329	329	330	330	330	331	331	332	332	333	333	333	334	334	334	335	335	336	336	337	337	338	338	339	339	339	340	340	341	341	342	342	343	343	344	344	345	345	346	346	346	347	347	348	348	349	349	350	350	350	351	351	351	352	352	352	352	353	353	353	353	354	354	354	354	354	355	355	356	356	356	356	357	357	357	358	358	358	359	359	360	360	361	361	361	362	362	362	363	363	364	364	365	365	366	367	367	368	368	369	369	369	370	370	370	370	371	371	371	371	372	372	372	373	373	373	374	374	374	375	375	375	376	376	376	377	377	377	378	378	378	378	379	379	379	380	380	381	381	381	382	382	382	383	383	383	383	384	384	384	384	384	384	384	384	384	384	384	384	384	384	384	384	384	383	383	383	383	383	383	382	382	382	382	382	381	381	381	381	380	380	379	379	379	378	378	378	377	377	376	376	376	375	375	375	374	374	374	374	373	373	373	373	372	372	371	371	371	370	370	370	369	369	369	369	368	368	368	367	366	366	365	364	363	363	362	361	361	360	360	360	359	359	358	357	357	356	356	355	355	354	354	353	353	353	352	352	351	351	351	350	350	349	348	348	347	346	346	345	345	344	344	343	343	342	342	341	341	340	339	339	339	338	338	337	337	337	336	336	336	335	335	335	334	334	333	333	333	332	332	331	331	330	329	329	328	328	327	327	326	326	325	325	324	324	323	323	322	322	322	321	320	320	320	319	319	318	318	317	316	316	315	315	315	314	313	313	312	311	310	310	309	309	308	308	306	306	305	304	304	303	303	303	302	302	301	301	300	300	299	298	298	297	296	296	295	295	294	294	293	292	291	290	289	288	287	286	286	285	285	284	284	283	283	282	282	281	281	281	280	280	280	279	278	278	277	277	277	276	276	275	275	275	274	273	273	272	272	272	271	271	271	270	270	269	269	269	268	268	267	267	267	266	266	265	265	264	264	263	263	262	262	261	261	260	259	259	258	258	257	257	256	256	255	255	254	254	253	253	252	252	251	251	250	249	249	248	247	247	246	245	245	244	244	243	242	241	241	240	239	239	238	237	237	236	236	235	235	235	234	234	234	234	233	233	233	232	232	232	232	232	231	231	231	231	231	231	231	230	230	230	230	230	230	230	END
Y_POS	96	96	97	97	98	98	99	99	99	100	100	100	101	101	101	101	102	102	102	102	103	103	103	103	104	104	104	104	105	105	105	105	105	106	106	106	106	106	107	107	107	107	107	108	108	108	108	109	109	109	109	109	109	110	110	110	110	110	110	110	111	111	111	111	111	111	111	112	112	112	112	112	112	112	112	112	113	113	113	113	113	114	114	114	114	114	114	114	114	115	115	115	115	115	116	116	116	116	117	117	117	117	117	117	118	118	118	118	118	119	119	119	119	120	120	120	120	120	121	121	121	121	121	122	122	122	122	122	122	123	123	123	123	123	124	124	124	124	124	124	124	124	124	124	125	125	125	125	125	125	126	126	126	126	126	126	126	126	126	127	127	127	127	127	127	127	127	127	127	128	128	128	129	129	129	129	130	130	130	130	130	131	131	131	131	132	132	133	133	133	133	133	133	134	134	134	134	135	135	135	136	136	136	136	137	137	137	138	138	139	139	140	140	140	141	141	141	141	141	141	141	142	142	142	142	142	143	143	143	143	143	144	144	144	144	144	145	145	145	145	145	145	145	146	146	146	146	146	146	146	146	146	146	147	147	147	147	147	147	147	146	146	146	146	145	145	145	145	144	144	144	143	143	143	142	142	142	141	141	141	141	140	140	140	140	139	139	139	139	139	139	138	138	138	138	138	138	138	138	138	138	137	137	137	137	137	137	137	137	137	137	137	137	137	136	136	136	136	136	135	135	135	135	134	134	134	133	133	133	133	132	132	132	131	131	131	131	130	130	130	129	129	129	129	129	128	128	128	128	127	127	127	126	126	125	125	125	125	124	124	123	123	123	122	122	121	121	120	120	119	119	118	118	117	117	117	116	116	116	115	115	114	114	113	113	113	113	112	112	111	111	111	110	110	109	109	109	108	108	108	108	107	107	107	106	106	106	106	105	105	105	105	104	104	104	104	103	103	103	103	102	102	102	101	101	101	101	100	100	100	100	99	99	99	98	98	98	97	97	97	96	96	96	96	96	96	95	95	95	94	94	94	94	93	93	93	93	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	91	91	91	91	91	91	91	91	91	91	91	92	92	92	92	92	92	93	93	93	93	93	93	93	94	94	94	94	94	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	96	96	96	96	96	96	96	96	97	97	97	97	97	97	97	97	97	97	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	97	97	97	97	97	97	97	97	97	97	96	96	96	96	95	95	95	95	95	94	94	94	94	94	94	93	93	93	93	93	92	92	92	92	92	92	92	91	91	91	91	90	90	90	90	90	89	89	89	89	89	88	88	88	88	88	88	87	87	87	87	87	87	87	86	86	86	86	86	85	85	85	85	85	85	85	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	84	84	84	85	85	85	86	86	87	87	88	88	88	89	89	89	90	90	91	91	92	92	93	93	94	94	95	95	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.68817e-11	2.22045e-14	32	0	112	355	0	2.22045e-14	39	11.0001	0	28203	9006	0	86872	366.781	374.526	0	0	538.934	648.788	1
180	1.11897e+06	393.973	295	17	112	355	0	393.973	39	21.2612	0	28060.5	9005.62	0	127405	367.182	275.739	0	180	544.278	647.621	0.998202
360	658306	416.836	270	0	112	355	0	416.836	40	15.8541	0	28124	9005.86	0	181975	330.112	329.339	0	360	522.081	646.456	0.996406
540	1.84745e+06	319.999	572	160	112	355	0	319.999	39	30.3125	0	28143.6	8963.61	0	76502	398.132	364.747	0	540	529.703	645.294	0.994615
720	5.23711e+06	58.8554	645	48	112	355	0	58.8554	39	126.824	0	28045	9006	0	214214	237.296	365.777	0	720	523.923	644.133	0.992826
900	4.69933e+06	217.187	778	0	112	355	0	217.187	40	58.686	0	28177.8	9006	0	264099	355.194	337.285	0	900	523.64	642.975	0.99104
1080	999095	686.91	409	79	112	355	0	686.91	40	15.2147	0	28169.6	8849.97	0	264694	333.856	287.099	0	1080	526.257	641.818	0.989258
1260	1.3636e+06	414	377	41	112	355	0	414	39	22.8957	0	28045	8986.86	0	78357.3	293.657	270.045	0	1260	517.838	640.664	0.987479
1440	235987	306.665	144	0	112	355	0	306.665	40	11.0668	0	28045.8	8848	0	245907	295.959	263.81	0	1440	517.238	639.512	0.985703
1620	230653	302.548	138	23	112	355	0	302.548	39	11.0152	0	28045	9005.99	0	170238	274.011	399.891	0	1620	520.234	638.362	0.983931
1800	946958	865.797	356	14	112	355	0	865.797	39	13.1937	0	28162	9006	0	303890	340.531	309.44	0	1800	515.63	637.214	0.982161
1980	2.72533e+06	864	739	165	112	355	0	864	39	22.4059	0	28203	8848	0	131414	269.054	272.905	0	1980	517.421	636.068	0.980395
2160	2.35628e+06	667.996	649	32	112	355	0	667.996	40	23.6939	0	28198.7	8894.82	0	225712	343.879	360	0	2160	513.531	634.924	0.978632
2340	1.42086e+06	513.943	677	114	112	355	0	513.943	39	20.9763	0	28201	8848	0	156418	274.32	310.663	0	2340	515.191	633.782	0.976872
2520	0.09217	0.000121234	98	0	112	355	0	0.000121234	39	11	0	28087.2	8988.16	0	109184	265.646	326.567	0	2520	520.867	632.642	0.975115
2700	1.40779e+06	297.053	566	41	112	355	0	297.053	40	27.4639	0	28203	8999.58	0	347342	366.551	343.506	0	2700	507.977	631.505	0.973361
2880	1.91541e+06	531.999	529	266	112	355	0	531.999	39	23.9378	0	28124.6	8948.9	0	133054	327.976	329.501	0	2880	526.106	630.369	0.971611
3060	2.16963e+06	257.162	269	0	112	355	0	257.162	40	36.6437	0	28045	8929.8	0	317718	298.063	316.9	0	3060	528.051	629.235	0.969863
3240	2.1634e+06	707.997	528	14	112	355	0	707.997	39	22.0527	0	28124.4	8848	0	123801	307.079	257.322	0	3240	524.672	628.104	0.968119
3420	4.88277e+06	51.3182	372	0	112	355	0	51.3182	40	133	0	28203	8923.98	0	526883	391.528	306.714	0	3420	532.61	626.974	0.966378
3600	644170	562.208	360	0	112	355	0	562.208	40	13.504	0	28124	9005.8	0	297296	338.808	325.822	0	3600	526.181	625.847	0.96464
3780	2.59201e+06	645.264	767	60	112	355	0	645.264	40	25.2848	0	28045	9006	0	214533	278.647	355.965	0	3780	531.541	624.721	0.962905
3960	2.05766e-06	2.70651e-09	12	12	112	355	0	2.70651e-09	39	11	0	28203	8848.75	0	131016	360.511	358.519	0	3960	518.128	623.598	0.961174
4140	5.31372e+06	129.454	812	200	112	355	0	129.454	39	81.1083	0	28127	8848.18	0	206326	338.425	307.563	0	4140	529.905	622.476	0.959445
4320	2.39497e+06	622	704	0	112	355	0	622	39	24.7551	0	28045	8890.08	0	267826	260.334	262.419	0	4320	532.051	621.357	0.95772
4500	1.18262e+06	682.322	367	98	112	355	0	682.322	40	16.6088	0	28075.9	8930.98	0	290781	276.192	321.614	0	4500	538.964	620.239	0.955997
4680	2.21132e+06	270.98	348	0	112	355	0	270.98	39	36.0385	0	28124.5	8848	0	174906	367.033	278.668	0	4680	530.016	619.124	0.954278
4860	2.51813e+06	584	691	225	112	355	0	584	39	26.1965	0	28132.1	8967.2	0	148692	335.328	315.198	0	4860	541.274	618.01	0.952562
5040	975457	550.904	236	0	112	355	0	550.904	39.7925	16.7871	0	28045	8927.28	0	225964	302.796	329.504	0	5040	536.245	616.899	0.950849
5220	4.25355e+06	44.7051	488	58	112	355	0	44.7051	40	133	0	28203	8848	0	304178	332.583	272.761	0	5220	534.855	615.79	0.949139
5400	2.88312e+06	66.0113	285	0	112	355	0	66.0113	40	83.765	0	28045	9006	0	299646	285.864	320.455	0	5400	534.904	614.682	0.947432
5580	337380	312.619	147	82	112	355	0	312.619	40	13.1057	0	28125	8897.15	0	217297	309.863	325.135	0	5580	540.308	613.577	0.945728
5760	1.89547e+06	666	350	0	112	355	0	666	39	21.2829	0	28045	8927.12	0	178576	351.115	311.556	0	5760	539.125	612.473	0.944027
5940	1.00057e+06	394	504	14	112	355	0	394	39	20.1042	0	28203	9006	0	109094	286.554	357.287	0	5940	540.313	611.372	0.94233
6120	452214	429.124	272	100	112	355	0	429.124	40	12.9506	0	28125	8954.43	0	266650	330.243	233.593	0	6120	549.804	610.272	0.940635
6300	3.05346e+06	660	711	184	112	355	0	660	39	27.1353	0	28131.9	8874.68	0	186488	300.048	263.632	0	6300	547.945	609.175	0.938943
6480	788131	646.183	304	0	112	355	0	646.183	39	13.9326	0	28124.8	9005.8	0	213706	329.76	328.708	0	6480	544.951	608.079	0.937255
6660	0.767461	0.00100879	72	0	112	355	0	0.00100879	39	11.0037	0	28203	8879.7	0	164223	373.207	365.294	0	6660	539.59	606.986	0.935569
6840	572223	527.671	243	0	112	355	0	527.671	40	13.1374	0	28045	9003.7	0	239449	245.165	326.174	0	6840	556.774	605.894	0.933887
7020	165201	56.4283	62	0	112	355	0	56.4283	39	21.5858	0	28124	9005.93	0	180887	312.186	351.157	0	7020	524.559	604.805	0.932207
7200	9.68347e+07	1137.37	7671	1279	112	355	0	1137.37	39	123.068	0	28088.3	8921.7	0	1.92338e+06	287.875	308.668	0	7200	553.583	603.717	0.930531
7380	2.69369e+07	457.02	1169	57	112	355	0	457.02	40	98.4338	0	28045	8848	0	1.27812e+06	223.395	286.711	0	7380	553.897	602.631	0.928857
7560	7.66957e+07	1061.03	7231	1068	113	358	0	1061.03	39	110.866	0	28390.4	8977.72	0	1.92406e+06	344.54	279.337	0	7560	552.997	601.547	0.927187
7740	1.1249e+08	1434.86	9483	1187	107	357	0	1434.86	39	116.614	0	28260	8548.62	0	2.33506e+06	298.841	333.961	0	7740	560.929	600.466	0.92552
