MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_30.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-44
LIMIT-FIT-SIGMA-XY-MAX	94
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	38
LIMIT-FIT-BGD-MAX	39
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	132	132	131	131	130	130	129	128	127	127	126	125	124	123	122	121	120	119	119	118	117	117	117	116	115	115	115	114	114	113	113	113	113	113	113	113	113	113	113	113	113	114	114	115	115	115	116	116	116	117	117	118	119	120	121	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	135	135	136	137	137	137	137	138	138	139	139	139	139	140	140	140	140	140	140	140	140	139	139	139	139	138	138	138	137	137	136	136	135	135	135	134	133	END
Y_POS	219	218	218	217	216	215	215	215	215	214	214	214	214	214	214	214	214	214	215	215	215	216	217	217	218	219	220	220	221	222	223	224	225	226	227	228	229	230	231	232	233	233	234	235	236	237	237	238	239	239	240	240	241	241	242	243	243	243	243	243	243	243	243	243	243	243	243	243	243	243	242	241	241	241	240	239	238	238	237	236	235	234	233	233	232	231	230	229	228	227	226	226	225	224	223	223	222	221	221	220	220	219	219	218	217	217	217	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	2.74163e+06	656	965	148	229	127	0	656	39	25.7907	0	10167.6	18166.3	0	348850	265.672	344.037	0	0	659.327	727.153	1
180	1.11187e+06	591.335	473	160	229	127	0	591.335	38	17.299	0	10190.2	18248.3	0	160528	377.048	288.423	0	180	672.98	724.328	0.996114
360	3.85227e+06	680	996	177	229	127	0	680	39	30.0271	0	10145.3	18108	0	337077	326.849	275.129	0	360	665.418	721.515	0.992246
540	1.18893e+07	219.249	1004	242	229	127	0	219.249	39	94	0	10043.2	18091	0	398987	264.771	235.175	0	540	652.468	718.713	0.988393
720	1.15542e+06	569.901	307	0	229	127	0	569.901	38.0107	17.9631	0	10033	18170.6	0	175607	289.692	281.889	0	720	661.872	715.922	0.984555
900	261849	372.981	113	81	229	127	0	372.981	38.9991	10.5704	0	10113.8	18169.8	0	392822	396.307	268.819	0	900	645.162	713.142	0.980732
1080	1.88757e+06	811.794	407	333	229	127	0	811.794	38.2999	19.2371	0	10112.1	18170.1	0	294807	261.821	295.533	0	1080	661.408	710.373	0.976923
1260	0.00129162	40.2481	119	0	229	127	0	40.2481	39	0.00225998	0	10033	18245.1	0	243558	250.553	301.662	0	1260	656.314	707.615	0.97313
1440	19.2925	31.4731	102	0	229	127	0	31.4731	38	0.312345	0	10190.6	18091	0	151352	364.124	251.413	0	1440	658.055	704.867	0.969351
1620	830710	624.087	428	89	229	127	0	624.087	39	14.555	0	10111.8	18214.4	0	366812	348.762	282.021	0	1620	657.248	702.13	0.965587
1800	3.35816e+06	156.925	480	0	229	127	0	156.925	39	58.3627	0	10033	18216.4	0	357983	337.361	364.259	0	1800	649.726	699.403	0.961837
1980	726302	414	405	0	229	127	0	414	38	16.7097	0	10191	18091	0	103326	390.55	420.354	0	1980	645.262	696.687	0.958102
2160	5.27861e+06	97.3419	270	0	229	127	0	97.3419	39	94	0	10191	18091	0	523331	389.791	238.195	0	2160	637.495	693.982	0.954381
2340	2.75071e+06	50.7254	246	0	229	127	0	50.7254	39	94	0	10191	18170.5	0	331062	349.865	265.289	0	2340	650.565	691.287	0.950675
2520	6.02441e+06	111.095	859	0	229	127	0	111.095	39	94	0	10157.7	18102.4	0	278232	334.841	327.786	0	2520	641.644	688.602	0.946984
2700	1.49157e-05	10.5722	216	0	229	127	0	10.5722	39	0.000473859	0	10066.2	18186.6	0	570272	232.599	292.776	0	2700	658.503	685.928	0.943306
2880	2.15763e+06	96.2111	128	0	229	127	0	96.2111	38	59.7472	0	10033	18249	0	223134	221.2	359.45	0	2880	649.914	683.265	0.939643
3060	3.36128e+06	1034	692	55	229	127	0	1034	38	22.7459	0	10033.3	18096.7	0	329361	275.41	244.86	0	3060	656.053	680.611	0.935994
3240	3.41411e+06	314.007	557	148	229	127	0	314.007	38	41.5986	0	10191	18193.5	0	119534	345.625	311.112	0	3240	655.21	677.969	0.93236
3420	1.51132e+06	82.8324	182	0	229	127	0	82.8324	38	53.8881	0	10041.6	18249	0	273422	269.949	380.958	0	3420	662.827	675.336	0.928739
3600	1.65315e+06	683.758	626	258	229	127	0	683.758	38.0031	19.6162	0	10112.8	18150.7	0	271211	309.912	253.499	0	3600	654.948	672.713	0.925133
3780	568455	562.191	129	0	229	127	0	562.191	38	12.6857	0	10111.9	18091.1	0	224679	314.195	303.85	0	3780	653.972	670.101	0.92154
3960	1.84286e+06	80.3436	479	79	229	127	0	80.3436	38	60.4253	0	10191	18142.2	0	139978	318.863	277.493	0	3960	660.607	667.499	0.917962
4140	796040	27.0587	105	17	229	127	0	27.0587	38	68.4632	0	10120	18091	0	142425	283.934	278.042	0	4140	656.678	664.907	0.914397
4320	714772	576.515	237	123	229	127	0	576.515	39	14.0472	0	10081	18170.2	0	286493	307.777	312.284	0	4320	672.813	662.325	0.910846
4500	2.02324e+06	39.4947	360	16	229	127	0	39.4947	39	91.1442	0	10033	18099.5	0	237196	323.256	333.617	0	4500	673.502	659.753	0.907309
