MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_33.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-60
LIMIT-FIT-SIGMA-XY-MAX	114
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	108
LIMIT-FIT-BGD-MAX	109
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	228	228	227	227	226	226	225	224	224	224	223	223	222	222	221	221	220	220	219	219	218	218	217	217	216	216	216	215	215	215	215	214	214	214	214	214	213	213	213	213	213	213	213	212	212	212	212	212	212	212	212	212	212	212	212	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	212	212	212	212	212	212	213	213	213	213	213	214	214	214	214	215	215	215	215	216	216	216	217	217	218	218	219	219	219	220	220	221	221	222	222	223	223	224	224	225	225	226	226	227	227	228	228	229	229	230	230	231	231	232	232	233	233	234	234	235	235	236	236	237	237	238	238	239	239	239	240	240	241	241	241	242	242	242	243	243	244	244	244	244	245	245	245	246	246	246	246	247	247	247	247	248	248	248	248	249	249	249	249	249	250	250	250	250	250	250	250	250	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	250	250	250	250	250	250	250	250	250	250	249	249	249	249	249	248	248	248	247	247	247	247	246	246	246	245	245	245	245	244	244	244	243	243	243	243	242	242	242	241	241	240	240	239	239	238	238	237	237	237	236	236	235	235	END
Y_POS	110	110	110	110	110	110	110	110	110	111	111	111	111	111	112	112	112	112	112	113	113	113	113	114	114	114	115	115	115	115	116	116	116	117	117	117	117	118	118	118	119	119	120	120	121	121	122	122	123	123	123	124	124	125	125	125	126	126	127	127	128	128	129	129	130	130	131	131	132	132	133	133	134	134	135	135	136	136	137	137	138	138	138	139	139	140	140	141	141	141	142	142	143	143	143	143	144	144	144	145	145	145	146	146	146	146	147	147	147	147	147	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	147	147	147	147	147	147	146	146	146	146	146	145	145	145	145	144	144	144	144	143	143	143	142	142	141	141	141	140	140	140	139	139	139	138	138	137	137	137	136	136	136	135	135	134	134	134	133	133	132	132	131	131	130	130	129	129	128	128	127	127	126	126	125	125	125	124	124	123	123	122	122	121	121	121	120	120	120	119	119	118	118	118	117	117	117	117	116	116	116	115	115	115	115	115	114	114	114	114	113	113	113	113	113	112	112	112	112	112	112	112	112	111	111	111	111	111	111	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	6.41962e+06	338.33	1151	81	123	212	0	338.33	108	54.9542	0	16906	9717	0	1.29242e+06	345.161	318.146	0	0	1018.49	1323.65	1
180	9.3413e+06	461.295	1323	313	123	212	0	461.295	108	56.7724	0	16906	9814.84	0	1.16312e+06	363.154	346.464	0	180	1031.89	1321.27	0.998202
360	1.85317e+06	761.989	1143	309	123	212	0	761.989	109	19.674	0	16815.5	9822.85	0	677798	355.039	286.072	0	360	1050.65	1318.89	0.996406
540	1.34577e+07	361.359	1430	381	123	212	0	361.359	109	77.1528	0	16748	9717	0	1.39618e+06	273.851	328.268	0	540	1053.32	1316.52	0.994615
720	38593.9	144.749	650	48	123	212	0	144.749	108	-6.5142	0	16748.1	9724.53	0	906899	314.737	250.844	0	720	1053.52	1314.16	0.992826
900	1.61892e+06	1169.86	931	0	123	212	0	1169.86	109	14.8407	0	16862.9	9717	0	968612	322.212	302.306	0	900	1033.89	1311.79	0.99104
1080	2.98406e+06	1249.94	1366	421	123	212	0	1249.94	109	19.4926	0	16828.7	9827.12	0	1.10251e+06	330.621	318.155	0	1080	1044.14	1309.43	0.989258
1260	5.69478e+06	1833.99	1711	0	123	212	0	1833.99	108	22.2305	0	16906	9796.19	0	853274	344.356	339.763	0	1260	1051.53	1307.08	0.987479
1440	913406	1086.07	614	19	123	212	0	1086.07	108	11.5694	0	16905	9794.32	0	848408	322.777	307.773	0	1440	1042.38	1304.73	0.985703
1620	1.44686e+07	191.313	1954	50	123	212	0	191.313	109	114	0	16906	9789.38	0	1.16628e+06	370.847	304.568	0	1620	996.799	1302.38	0.98393
1800	9.26045e+06	122.448	1589	152	123	212	0	122.448	109	114	0	16748	9791.38	0	1.04226e+06	331.141	356.857	0	1800	1030.96	1300.04	0.982161
1980	9.75825e+06	178.904	1557	55	123	212	0	178.904	108	94.3001	0	16906	9738.48	0	993961	367.522	329.554	0	1980	1029.45	1297.7	0.980395
2160	8.15346e+06	124.63	1200	356	123	212	0	124.63	108	104.474	0	16749	9875	0	1.0868e+06	320.729	387.01	0	2160	1029.62	1295.37	0.978632
2340	7.32282e+06	1010.09	2021	0	123	212	0	1010.09	109	33.9679	0	16748	9870.93	0	1.30153e+06	310.05	331.06	0	2340	1035.53	1293.04	0.976872
2520	1.38305e+07	182.876	1270	56	123	212	0	182.876	109	114	0	16748	9875	0	1.53708e+06	281.634	342.172	0	2520	1044.68	1290.71	0.975115
2700	1.51607e+07	200.465	1358	545	123	212	0	200.465	109	114	0	16847	9717	0	1.18646e+06	304.769	302.986	0	2700	1054.78	1288.39	0.973361
2880	1.71706e+07	227.042	1486	0	123	212	0	227.042	109	114	0	16906	9853.27	0	2.28849e+06	363.746	319.522	0	2880	1055.48	1286.07	0.971611
3060	5.42829e+06	1772	1704	0	123	212	0	1772	109	22.0806	0	16906	9874.75	0	1.43112e+06	361.528	310.909	0	3060	1044.81	1283.76	0.969863
3240	3.25364e+06	1197.98	891	599	123	212	0	1197.98	109	20.7908	0	16827.1	9805.03	0	913311	327.858	334.197	0	3240	1058.63	1281.45	0.968119
