MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_34.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	47
LIMIT-FIT-SIGMA-XY-MAX	155
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	40
LIMIT-FIT-BGD-MAX	41
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	151	151	151	152	153	153	154	155	156	156	157	157	158	159	159	160	161	162	163	163	164	165	166	167	168	169	170	171	171	172	172	173	173	174	174	175	175	175	176	176	177	177	177	177	177	177	178	178	178	178	178	178	178	178	178	178	177	177	177	176	176	175	175	174	173	173	172	171	170	170	169	168	167	166	165	164	163	162	161	160	159	158	157	156	155	154	153	152	151	150	149	149	148	147	146	146	145	144	143	143	142	141	141	140	139	139	138	138	137	136	136	135	135	134	133	132	132	131	131	130	129	128	127	127	126	125	124	123	122	121	120	119	118	117	116	115	114	113	112	111	110	110	109	108	107	106	105	104	103	102	101	100	99	98	97	97	96	95	94	93	93	92	92	91	91	90	89	89	88	87	87	87	86	86	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	86	86	86	87	87	87	88	88	89	89	89	90	91	91	91	92	92	93	93	94	95	96	97	98	99	99	100	100	101	102	103	104	105	106	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	129	130	131	132	133	134	135	135	136	137	138	139	140	141	142	142	143	143	144	145	146	147	END
Y_POS	76	75	74	74	74	73	73	72	72	71	71	70	70	70	69	68	68	68	68	67	67	66	66	66	66	65	64	64	63	63	62	62	61	61	60	60	59	58	58	57	57	56	55	54	53	52	51	50	49	48	47	46	45	44	43	42	42	41	40	40	39	39	38	38	38	37	36	36	36	35	35	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	35	35	35	35	36	36	36	36	37	37	37	38	38	38	39	39	40	40	40	41	41	42	42	42	42	43	43	44	44	44	44	44	45	45	45	45	45	45	45	45	45	45	45	45	45	44	44	44	44	44	43	43	43	43	43	43	43	43	43	43	43	43	43	43	44	44	44	44	44	45	45	46	46	47	47	47	48	48	48	49	50	50	51	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	66	67	68	68	69	70	70	71	72	73	74	74	74	75	76	76	77	77	78	78	79	80	80	80	80	81	81	82	82	82	82	83	83	83	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	83	83	83	82	82	82	82	82	82	82	81	81	81	80	80	80	80	80	79	79	78	78	78	78	78	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	2.7937e+07	254.953	1129	242	70	130	0	254.953	40	148.441	0	10332.9	5688	0	1.26921e+06	313.154	469.948	0	0	560.066	720.007	1
180	6.25851e+07	784.908	5263	549	70	130	0	784.908	40	117.883	0	10347.9	5576.64	0	1.01682e+06	313.299	287.957	0	180	568.485	718.712	0.998202
360	9.95385e+07	1375.93	8936	1744	71	131	0	1375.93	41	110.921	0	10439	5701.51	0	1.42189e+06	327.849	333.506	0	360	553.83	717.42	0.996406
540	6.29329e+07	740.003	5657	445	75	130	0	740.003	41	122.976	0	10344.6	6024.5	0	1.13122e+06	315.62	330.874	0	540	556.839	716.13	0.994615
720	4.31808e+07	472.455	1569	0	75	130	0	472.455	40.0049	129.219	0	10270	6083	0	1.28212e+06	216.645	359.404	0	720	558.055	714.842	0.992826
900	5.15952e+07	762.888	4838	841	78	123	0	762.888	40.9999	106.529	0	9812.39	6238.86	0	568121	320.477	310.177	0	900	549.498	713.556	0.99104
1080	7.23371e+07	676.824	4639	978	76	126	0	676.824	40.0001	145.425	0	10023.6	6139.77	0	1.24392e+06	307.166	356.581	0	1080	554.622	712.273	0.989258
1260	2.20055e+07	350.422	1513	254	76	126	0	350.422	40	102.032	0	10059.4	6004	0	414939	338.721	232.531	0	1260	561.037	710.992	0.987479
1440	8.05452e+06	69.8921	733	0	76	126	0	69.8921	41	155	0	10094.5	6162	0	365359	319.366	308.913	0	1440	553.48	709.713	0.985703
1620	7.14365e+07	799.754	5692	1010	75	126	0	799.754	40.0001	127.16	0	10029.8	5984.11	0	999781	313.92	310.403	0	1620	543.917	708.437	0.983931
1800	6.82042e+07	613.874	4773	646	72	125	0	613.874	41	150.177	0	9922.62	5740.82	0	1.08222e+06	290.572	298.725	0	1800	534.116	707.163	0.982161
1980	8.09968e+07	744.644	5958	807	73	127	0	744.644	40	147.535	0	10101.5	5900.09	0	1.49314e+06	300.436	359.774	0	1980	540.283	705.891	0.980395
2160	5.86415e+07	932.811	5618	872	69	122	0	932.811	40	102.096	0	9756.43	5535.37	0	672332	356.916	344.031	0	2160	530.152	704.622	0.978632
2340	1.0219e+08	1101.87	8039	1080	72	122	0	1101.87	40.9999	130.566	0	9701.9	5748.31	0	2.02313e+06	291.859	310.221	0	2340	536.892	703.355	0.976872
2520	1.20222e+07	162.021	831	71	72	122	0	162.021	41	112.661	0	9638	5789.23	0	697285	290.57	356.856	0	2520	522.442	702.09	0.975115
2700	1.20076e+06	86.5128	356	135	72	122	0	86.5128	40	47	0	9796	5706.77	0	183055	301.499	335.869	0	2700	531.709	700.827	0.973361
2880	3.88384e+06	279.824	731	84	72	122	0	279.824	40	47	0	9643.84	5737.54	0	153479	273.404	305.48	0	2880	524.367	699.567	0.971611
3060	760987	42.6543	82	0	72	122	0	42.6543	40	53.287	0	9638	5772.03	0	181793	310.115	303.631	0	3060	525.475	698.309	0.969863
3240	301358	21.7054	176	0	72	122	0	21.7054	40	47.0076	0	9796	5753.18	0	178398	363.135	266.638	0	3240	519.747	697.053	0.968119
3420	1.14214e+06	82.2894	416	0	72	122	0	82.2894	41	47	0	9640.88	5688	0	406687	277.271	279.06	0	3420	524.409	695.799	0.966378
3600	4.64356e+06	334.561	1048	0	72	122	0	334.561	40	47	0	9792.21	5787.63	0	273042	363.867	279.257	0	3600	525.676	694.548	0.96464
3780	1.35421e+06	97.5691	357	0	72	122	0	97.5691	40.5374	47	0	9638	5698.17	0	267721	325.754	308.433	0	3780	521.478	693.299	0.962906
