MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_35.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-54
LIMIT-FIT-SIGMA-XY-MAX	112
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	64
LIMIT-FIT-BGD-MAX	65
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	153	153	153	153	152	152	151	151	151	150	149	149	148	148	147	147	146	145	144	144	143	142	141	140	140	139	138	137	136	135	134	133	132	131	130	129	128	127	126	125	125	124	123	122	121	120	119	118	117	116	115	114	113	113	112	111	111	110	109	109	108	107	106	105	105	104	103	103	102	102	101	101	101	100	99	99	99	98	98	97	97	97	97	97	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	96	96	96	96	97	97	97	98	99	99	100	101	101	102	102	103	103	104	104	105	106	107	108	108	109	109	110	111	112	112	113	114	114	115	116	117	118	119	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	139	140	141	142	143	144	145	146	147	147	148	149	149	150	150	151	151	152	152	153	153	154	154	154	155	155	155	155	155	155	155	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	154	154	154	154	154	154	154	153	153	END
Y_POS	85	84	83	82	81	80	80	79	78	77	76	75	75	74	74	73	73	72	72	71	71	71	71	71	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	69	69	69	69	69	69	69	69	69	69	69	69	69	70	70	70	71	71	71	72	72	73	73	74	75	75	76	77	77	78	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	129	130	131	132	133	134	135	135	136	137	138	139	140	140	141	141	142	142	143	143	144	145	145	146	146	147	147	147	147	148	148	148	149	149	149	149	149	149	150	150	150	150	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	150	150	150	149	149	149	149	149	149	148	148	148	147	147	146	146	145	145	144	144	143	143	142	141	141	140	139	138	137	136	135	135	134	133	132	131	130	129	128	127	126	125	124	123	122	121	121	120	119	118	117	116	115	114	113	112	111	110	109	108	107	106	105	104	103	102	101	100	99	98	97	96	95	94	93	93	92	91	90	89	88	87	87	86	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	449727	473.526	245	0	118	117	0	473.526	64	12.2946	0	9400.82	9401.16	0	229483	352.851	330.144	0	0	857.45	1055.76	1
180	1.27479e+06	520	294	0	118	117	0	520	64	-19.7528	0	9401	9480	0	223204	365.722	320.645	0	180	839.488	1053.86	0.998202
360	976224	829.706	470	0	118	117	0	829.706	64	-13.6843	0	9400.97	9401.12	0	377892	384.259	389.471	0	360	843.801	1051.96	0.996406
540	0.897393	76.0983	68	0	118	117	0	76.0983	64	0.0433225	0	9275.01	9473.53	0	378089	284.898	336.443	0	540	832.48	1050.07	0.994615
720	1.10817e+06	506	688	37	118	117	0	506	64	18.6698	0	9246.34	9480	0	240271	325.954	344.07	0	720	829.883	1048.18	0.992826
900	2.31141e+06	542	773	270	118	117	0	542	64	26.0525	0	9299.79	9421.21	0	253359	338.959	306.057	0	900	825.396	1046.3	0.99104
1080	1.44943e+06	583.93	399	292	118	117	0	583.93	64	19.8759	0	9322	9405.5	0	174609	352.835	352.433	0	1080	830.725	1044.41	0.989258
1260	1.04044e+06	450	328	0	118	117	0	450	64	19.1828	0	9243	9333.93	0	179928	327.937	314.678	0	1260	812.156	1042.54	0.987479
1440	1.07675e+06	777.097	373	0	118	117	0	777.097	64	14.8501	0	9400.93	9400.87	0	392316	405.367	402.014	0	1440	811.365	1040.66	0.985703
1620	1.38964e+06	551.999	421	0	118	117	0	551.999	64	-20.0167	0	9314.01	9480	0	188744	335.12	306.214	0	1620	790.024	1038.79	0.983931
1800	1.06704e+06	406.087	637	0	118	117	0	406.087	64	20.4499	0	9252.29	9322	0	265744	299.194	292.202	0	1800	814.46	1036.92	0.982161
1980	786330	561.152	474	58	118	117	0	561.152	64	14.9339	0	9319.65	9326.84	0	209217	273.289	311.77	0	1980	809.662	1035.06	0.980395
2160	8.07961e-10	53.0098	273	0	118	117	0	53.0098	64	-1.5575e-06	0	9244.91	9322	0	208009	250.824	246.482	0	2160	819.085	1033.2	0.978632
2340	627726	678.228	619	45	118	117	0	678.228	64	12.1369	0	9352.39	9479.24	0	287277	377.035	404.229	0	2340	821.847	1031.34	0.976872
2520	1.27572e+06	678.931	645	270	118	117	0	678.931	64	17.2932	0	9322.11	9399.1	0	261786	351.193	266.862	0	2520	813.313	1029.48	0.975115
2700	924074	786.464	222	0	118	117	0	786.464	64	13.6749	0	9243.42	9400.7	0	345256	232.21	403.592	0	2700	823.306	1027.63	0.973361
2880	0.377	157.805	50	50	118	117	0	157.805	64	0.0194993	0	9342.46	9399.53	0	412367	359.663	410.559	0	2880	838.827	1025.78	0.971611
3060	1.47944e+06	824.421	623	0	118	117	0	824.421	64	16.8999	0	9298.63	9322.96	0	317186	253.46	261.523	0	3060	833.287	1023.94	0.969863
3240	895284	443.378	265	31	118	117	0	443.378	64	17.9268	0	9321.93	9323.71	0	211020	293.162	321.471	0	3240	819.265	1022.1	0.968119
3420	7.49478e-10	0.0949872	200	62	118	117	0	0.0949872	64	3.5437e-05	0	9243	9354.85	0	252772	263.47	245.005	0	3420	842.573	1020.26	0.966378
3600	559956	613.977	213	2	118	117	0	613.977	64	-12.0479	0	9243	9322	0	296022	340.607	254.963	0	3600	853.165	1018.42	0.96464
