MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_35.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-50
LIMIT-FIT-SIGMA-XY-MAX	96
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	54
LIMIT-FIT-BGD-MAX	55
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	326	325	324	323	322	321	321	320	319	319	318	317	317	316	316	315	315	314	314	313	313	312	312	311	311	311	310	310	310	309	309	309	309	309	309	309	308	308	308	308	308	308	308	308	308	308	308	308	309	309	309	310	310	311	311	312	312	313	314	314	315	315	316	317	318	319	320	321	322	323	324	325	325	326	326	327	328	328	329	329	330	330	331	331	332	332	333	333	334	335	335	335	335	336	336	337	337	337	337	338	338	338	338	338	339	339	339	339	339	339	339	339	339	339	338	337	337	336	336	335	335	334	334	333	333	332	END
Y_POS	255	255	255	255	256	256	257	257	257	258	258	258	259	259	260	260	261	261	262	262	263	264	265	265	266	267	267	268	269	269	270	271	272	273	274	275	275	276	277	278	279	280	281	282	283	284	285	286	286	287	288	288	289	289	290	290	291	291	291	292	292	293	293	293	293	293	293	293	293	293	293	293	292	292	291	291	291	290	290	289	289	288	288	287	287	286	285	284	283	283	282	281	280	280	279	279	278	277	276	275	274	273	272	271	271	270	269	268	267	266	265	264	263	262	261	261	260	260	259	259	258	258	257	257	256	256	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.18597e+06	737.514	538	0	274	324	0	737.514	54	15.9979	0	25754	21725	0	266216	304.047	347.912	0	0	808.098	918.377	1
180	3.66444e+06	65.0343	455	0	274	324	0	65.0343	54	96	0	25596	21804	0	391533	301.615	354.42	0	180	792.847	916.725	0.998202
360	2.60397e+06	256.5	407	0	274	324	0	256.5	55	40.1961	0	25596	21684.1	0	308040	283.142	310.73	0	360	805.502	915.077	0.996406
540	978553	442	388	57	274	324	0	442	54	18.7712	0	25754	21804	0	162883	339.006	371.823	0	540	795.442	913.431	0.994615
720	671708	723.347	461	162	274	324	0	723.347	54	12.157	0	25677.4	21724.9	0	303681	316.838	273.117	0	720	787.899	911.788	0.992826
900	6.51579e+06	115.639	886	190	274	324	0	115.639	55	95.9998	0	25687.4	21804	0	490301	325.119	383.001	0	900	791.887	910.149	0.99104
1080	3.77467e+06	858	854	0	274	324	0	858	54.5956	26.461	0	25646	21646	0	350426	312.122	267.107	0	1080	794.967	908.512	0.989258
1260	4.50829e+06	80.0105	322	0	274	324	0	80.0105	54	96	0	25754	21646	0	338715	368.483	272.348	0	1260	777.397	906.878	0.987479
1440	3.79281e+06	67.3126	752	0	274	324	0	67.3126	55	96	0	25754	21698.8	0	424545	354.545	323.845	0	1440	776.867	905.247	0.985703
1620	1.8407e+06	140.366	363	0	274	324	0	140.366	54	45.6847	0	25612.9	21646	0	490835	264.047	305.576	0	1620	746.48	903.619	0.98393
1800	2.15875e+06	171.125	538	83	274	324	0	171.125	55	44.8079	0	25674.6	21804	0	447742	352.948	306.01	0	1800	770.98	901.994	0.982161
1980	1.31103e+06	858.978	649	0	274	324	0	858.978	55	15.5857	0	25672.8	21804	0	324540	293.481	303.11	0	1980	759.273	900.372	0.980395
2160	1.41332e+06	815.945	649	0	274	324	0	815.945	54	16.6035	0	25739.9	21666.6	0	292773	327.488	316.869	0	2160	756.881	898.753	0.978632
2340	4.9475e+06	87.8053	755	0	274	324	0	87.8053	55	96	0	25596	21646	0	479209	299.085	295.996	0	2340	757.226	897.136	0.976872
2520	4.06764e+06	72.19	591	3	274	324	0	72.19	55	96	0	25754	21804	0	559607	327.629	339.003	0	2520	742.946	895.523	0.975115
2700	3.87544e+06	89.9699	566	0	274	324	0	89.9699	54	83.1621	0	25754	21667	0	263899	377.57	283.846	0	2700	749.809	893.912	0.973361
2880	1.18527e+06	98.1599	558	20	274	324	0	98.1599	54	43.8381	0	25606.8	21646	0	261613	318.13	290.909	0	2880	752.902	892.305	0.971611
3060	159197	281.576	134	54	274	324	0	281.576	55	-9.48594	0	25732.4	21725.2	0	419061	336.769	255.946	0	3060	743.683	890.7	0.969863
3240	2.62811e+06	782	995	62	274	324	0	782	54.8346	23.1275	0	25744.2	21712.1	0	362825	294.75	265.418	0	3240	735.974	889.098	0.968119
3420	3.32045e+06	129.564	743	140	274	324	0	129.564	54	63.8788	0	25683.1	21646	0	313794	292.909	335.56	0	3420	742.788	887.499	0.966378
3600	3.18136e+06	56.461	447	15	274	324	0	56.461	55	96	0	25596	21646	0	345523	332.62	299.835	0	3600	748.496	885.903	0.96464
3780	1.15362	153.59	67	0	274	324	0	153.59	54.9294	0.0345748	0	25704.3	21735.8	0	485799	343.11	326.637	0	3780	747.254	884.31	0.962905
3960	1.98256e+06	686	488	0	274	324	0	686	54	21.4467	0	25754	21646	0	293537	291.453	257.934	0	3960	741.721	882.72	0.961174
4140	526894	538.293	466	102	274	324	0	538.293	55	12.4814	0	25637.2	21724.5	0	304765	303.716	307.433	0	4140	738.248	881.132	0.959445
4320	1.01131e+06	485.999	678	0	274	324	0	485.999	54	18.1984	0	25659.9	21804	0	253181	295.636	325.373	0	4320	728.949	879.548	0.95772
4500	1.2693e+06	562.939	605	199	274	324	0	562.939	55	18.9436	0	25675.3	21753.8	0	279363	346.578	327.489	0	4500	743.147	877.966	0.955997
4680	1.14977e+06	658	547	118	274	324	0	658	54.3423	16.6764	0	25630.8	21736.8	0	313740	367.862	300.683	0	4680	741.775	876.387	0.954278
4860	1.83345e+06	704	744	224	274	324	0	704	55	20.3591	0	25641.2	21709.9	0	457946	280.006	291.291	0	4860	739.569	874.811	0.952562
5040	1.09069e+06	561.63	662	0	274	324	0	561.63	55	-17.5807	0	25754	21724.9	0	246851	318.037	296.746	0	5040	738.253	873.238	0.950849
5220	1.82979e+06	505.989	440	253	274	324	0	505.989	54	23.9906	0	25704.5	21725	0	165985	276.086	293.256	0	5220	732.11	871.667	0.949139
5400	8.77596	67.7626	172	0	274	324	0	67.7626	54.0007	0.14357	0	25601.5	21647.2	0	351948	260.551	263.333	0	5400	734.307	870.1	0.947432
5580	969291	679.985	335	0	274	324	0	679.985	55	-15.0622	0	25596	21737.1	0	372565	331.816	364.886	0	5580	730.521	868.535	0.945728
5760	2.76239e+06	185.157	642	0	274	324	0	185.157	55	48.7285	0	25754	21658.4	0	505899	333.362	272.974	0	5760	726.801	866.973	0.944027
5940	0.152951	98.3173	213	0	274	324	0	98.3173	54	-0.0157352	0	25655.4	21746.1	0	457741	319.764	228.713	0	5940	723.388	865.414	0.94233
6120	485523	660.171	178	0	274	324	0	660.171	54	10.819	0	25674.3	21802.1	0	342915	324.818	302.822	0	6120	724.558	863.858	0.940635
6300	787210	770.063	465	0	274	324	0	770.063	54.0038	12.7553	0	25596.7	21724.5	0	349445	269.792	279.293	0	6300	739.054	862.304	0.938943
6480	2.21105e+06	96.2502	445	0	274	324	0	96.2502	54	60.471	0	25613.3	21804	0	298317	318.727	406.881	0	6480	713.948	860.753	0.937255
6660	485024	614.236	256	0	274	324	0	614.236	54	-11.2105	0	25596	21646.2	0	314341	306.597	343.378	0	6660	727.803	859.205	0.935569
6840	3.39897e+06	150.615	966	94	274	324	0	150.615	55	59.9353	0	25664.8	21646	0	290629	319.457	337.192	0	6840	735.796	857.66	0.933887
7020	1.98625e+06	175.713	587	55	274	324	0	175.713	54	42.4155	0	25602.7	21646	0	283765	309.959	300.971	0	7020	729.509	856.118	0.932207
7200	498111	637.075	360	8	274	324	0	637.075	54	11.1552	0	25649.1	21804	0	278221	293.255	310.586	0	7200	744.153	854.578	0.930531
7380	1.96604e+06	126.698	692	0	274	324	0	126.698	54	49.6961	0	25596	21804	0	287790	297.54	363.558	0	7380	744.475	853.041	0.928857
7560	3.53064e+06	931.75	1339	326	274	324	0	931.75	55	24.5577	0	25677.5	21688	0	589892	298.949	287.513	0	7560	746.239	851.507	0.927187
7740	1.3083e+06	515.999	650	258	274	324	0	515.999	54	20.0881	0	25679.4	21727	0	177918	312.914	306.355	0	7740	754.739	849.976	0.92552
7920	2.55714e+06	1054	1143	0	274	324	0	1054	54	19.6502	0	25623.6	21646	0	468891	258.98	320.447	0	7920	726.933	848.447	0.923855
8100	429449	555.111	497	0	274	324	0	555.111	55	11.0962	0	25599.7	21724	0	434695	299.056	343.202	0	8100	733.973	846.921	0.922194
8280	1.14247e+06	572	654	172	274	324	0	572	54	17.8293	0	25684.2	21693.8	0	181385	281.096	375.484	0	8280	729.351	845.398	0.920535
8460	1.07434e+06	782.55	280	228	274	324	0	782.55	54	14.7817	0	25674.9	21725	0	347726	315.145	361.36	0	8460	735.76	843.878	0.91888
8640	2.46653e+06	68.355	487	108	274	324	0	68.355	54	75.9189	0	25671.6	21646	0	452372	302.358	238.815	0	8640	721.121	842.36	0.917227
8820	486364	792.522	235	48	274	324	0	792.522	54	-9.88291	0	25596	21646	0	365700	293.74	288.32	0	8820	738.328	840.845	0.915578
9000	1.15703e+06	544.572	456	203	274	324	0	544.572	54	18.3889	0	25650.8	21726.6	0	279134	298.761	392.402	0	9000	754.314	839.333	0.913931
9180	2.2326e+06	781.957	485	0	274	324	0	781.957	54	21.3169	0	25754	21646.7	0	241053	350.481	313.087	0	9180	731.847	837.824	0.912288
9360	291618	374.266	215	102	274	324	0	374.266	55	11.136	0	25675.3	21725.3	0	453295	328.502	302.143	0	9360	730.054	836.317	0.910647
9540	2.56347	51.0052	142	0	274	324	0	51.0052	55	0.0894369	0	25652.2	21803.7	0	649113	288.47	342.866	0	9540	763.904	834.813	0.909009
9720	297.516	218.263	194	0	274	324	0	218.263	55	-0.465774	0	25598.5	21777.4	0	680687	255.095	359.824	0	9720	773.159	833.312	0.907374
9900	2.45609e+06	982	537	313	274	324	0	982	54	19.9515	0	25677.1	21755.7	0	451829	332.55	407.222	0	9900	748.788	831.813	0.905743
10080	0.504066	48.6815	0	0	274	324	0	48.6815	54.002	-0.0405949	0	25596.5	21661.5	0	550717	251.305	276.854	0	10080	756.549	830.317	0.904114
10260	981393	753.156	803	0	274	324	0	753.156	55	14.4009	0	25704.6	21647.8	0	441170	315.088	280.398	0	10260	756.438	828.824	0.902488
10440	2.59743e+06	103.693	414	0	274	324	0	103.693	54.0005	63.1514	0	25614.5	21804	0	431563	323.568	350.543	0	10440	759.359	827.333	0.900865
10620	519521	570.538	313	6	274	324	0	570.538	55	12.0384	0	25693.7	21647.1	0	364386	312.718	318.442	0	10620	772.561	825.846	0.899245
10800	4.06317e+06	710	1194	68	274	324	0	710	55	30.1796	0	25754	21689.4	0	443366	332.788	274.218	0	10800	786.039	824.36	0.897628
10980	3.17713e+06	1035.74	697	0	274	324	0	1035.74	55	22.0954	0	25718.6	21804	0	571210	321.14	267.45	0	10980	781.011	822.878	0.896013
11160	590515	429.007	329	65	274	324	0	429.007	54	14.8011	0	25616.1	21724.4	0	240345	323.877	336.377	0	11160	785.23	821.398	0.894402
11340	0.197626	179.926	15	0	274	324	0	179.926	54.9795	-0.0132216	0	25740.9	21736.1	0	480414	373.22	310.892	0	11340	800.844	819.921	0.892793
11520	892335	548.112	434	171	274	324	0	548.112	54	16.0968	0	25649.4	21725.8	0	299467	363.46	206.992	0	11520	781.614	818.446	0.891188
11700	523172	639.565	412	119	274	324	0	639.565	54	11.4101	0	25644.1	21726.1	0	440817	286.176	281.736	0	11700	816.27	816.974	0.889585
11880	1.83617e+06	506	753	0	274	324	0	506	54	24.0321	0	25754	21672.3	0	150926	345.293	302.841	0	11880	822.66	815.505	0.887985
12060	3.48633e+06	162.185	447	0	274	324	0	162.185	54	58.494	0	25705.6	21646	0	376556	319.17	279.328	0	12060	829.487	814.039	0.886388
12240	1.58258e+06	494	577	0	274	324	0	494	54	22.5803	0	25699	21646	0	148970	302.92	322.941	0	12240	823.668	812.575	0.884794
12420	765810	925.876	394	0	274	324	0	925.876	54.9985	11.4735	0	25753.1	21724.6	0	501949	320.398	284.596	0	12420	824.732	811.113	0.883203
12600	4.73698e+06	84.0692	778	0	274	324	0	84.0692	55	96	0	25596	21646	0	866265	245.677	268.866	0	12600	840.265	809.655	0.881615
