MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_36.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	8
LIMIT-FIT-SIGMA-XY-MAX	138
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	53
LIMIT-FIT-BGD-MAX	54
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	129	129	129	130	130	131	131	131	132	132	132	133	134	134	135	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	149	150	151	151	152	152	153	153	154	154	155	155	155	156	156	156	156	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	156	156	156	156	156	156	157	157	157	157	157	158	158	159	159	160	161	161	162	162	163	163	164	164	165	165	166	166	167	167	168	169	169	169	169	169	168	167	167	167	166	165	164	163	163	162	161	160	159	158	157	157	156	155	154	153	152	151	151	150	149	149	148	147	147	146	146	145	145	145	144	143	143	142	141	141	141	140	139	139	138	138	137	136	136	135	134	134	133	132	131	130	129	128	127	127	126	125	125	124	123	122	121	120	119	118	117	116	115	114	113	112	111	110	109	108	107	107	106	106	105	104	104	103	103	102	101	101	100	99	99	99	98	98	98	97	97	97	97	96	96	96	96	96	96	96	96	97	97	97	97	97	98	98	99	99	99	100	100	101	102	102	103	103	104	105	106	106	107	108	108	109	110	111	112	113	113	114	115	115	116	117	118	119	119	120	121	121	122	122	123	124	124	125	125	126	127	127	128	129	129	129	129	129	130	130	130	130	130	130	130	129	129	129	129	129	129	129	129	129	129	129	END
Y_POS	178	179	180	180	181	181	182	183	183	184	185	185	185	186	186	187	187	187	187	188	188	188	188	188	188	188	188	188	188	188	187	187	187	186	186	185	185	184	184	183	182	181	180	180	179	178	177	177	176	175	174	173	172	171	170	169	168	167	166	165	164	163	162	162	161	160	159	158	157	157	156	155	154	153	153	152	152	151	150	149	148	148	147	147	146	146	145	145	144	144	143	143	142	141	141	140	139	138	137	137	137	136	135	135	135	135	135	134	134	134	134	134	134	134	133	133	133	133	133	133	133	132	132	132	131	131	131	130	130	129	129	128	127	127	126	125	125	125	124	123	123	123	122	122	121	121	121	120	120	120	119	119	119	119	119	119	119	119	118	118	118	117	117	116	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	116	116	117	117	117	118	118	119	119	120	121	121	121	122	123	123	124	125	125	126	127	128	128	129	130	131	132	133	134	135	135	136	137	138	139	139	140	140	141	142	142	143	143	143	144	144	145	145	145	145	146	146	146	147	147	147	147	148	148	149	149	149	150	151	151	152	152	153	153	153	154	154	155	155	155	156	156	157	157	157	158	159	159	160	161	162	163	163	164	165	166	167	168	169	169	170	171	172	173	174	175	176	177	178	179	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	202902	274.556	192	0	148	143	0	274.556	53	10.8452	0	11377.2	11843	0	193477	267.579	299.329	0	0	750.588	931.132	1
180	989812	679.819	398	8	148	143	0	679.819	53	15.2226	0	11297	11734.5	0	207233	243.888	230.486	0	180	762.64	929.458	0.998202
360	1.26269e+06	521.915	516	0	148	143	0	521.915	53	19.6227	0	11455	11771	0	164145	308.847	272.722	0	360	736.714	927.786	0.996406
540	6.48302e+07	1217.9	7424	980	148	143	0	1217.9	53	93.0549	0	11378.4	11746.4	0	1.40115e+06	298.391	287.203	0	540	750.675	926.118	0.994615
720	70157.4	1.35903	231	0	148	143	0	1.35903	53	91.5223	0	11297	11850	0	275335	258.242	359.183	0	720	748.069	924.452	0.992826
900	1.22715e+06	696	308	0	148	143	0	696	53	16.7515	0	11455	11754.3	0	208093	355.257	293.796	0	900	751.083	922.79	0.99104
1080	1.04951e+06	382	439	13	148	143	0	382	53	20.9108	0	11455	11738.2	0	144642	298.607	321.193	0	1080	756.614	921.13	0.989258
1260	2.21718e+06	519.219	696	0	148	143	0	519.219	53	26.0697	0	11302	11850	0	224736	264.848	339.187	0	1260	763.822	919.474	0.987479
1440	5.07393e+07	1189.91	5679	1161	136	146	0	1189.91	53	82.7257	0	11651.4	10863.8	0	1.13879e+06	348.008	348.232	0	1440	737.911	917.82	0.985703
1620	6.35354e+07	796.667	5859	520	136	145	0	796.667	53	117.898	0	11552.6	10824.3	0	918939	341.926	300.607	0	1620	721.671	916.17	0.983931
1800	6.17096e+07	963.648	5813	990	149	136	0	963.648	53	103.187	0	10863.2	11887.6	0	1.44677e+06	354.038	348.805	0	1800	734.599	914.522	0.982161
1980	718933	582	207	0	149	136	0	582	53	14.0214	0	10744	11929	0	246932	296.511	390.292	0	1980	730.862	912.877	0.980395
2160	1.47135e+06	31.3857	0	0	149	136	0	31.3857	53	86.9349	0	10902	11929	0	309574	347.756	323.338	0	2160	730.727	911.236	0.978632
2340	1.93015e+06	669.99	335	0	149	136	0	669.99	53	21.4127	0	10823	11771	0	268051	351.783	289.481	0	2340	728.501	909.597	0.976872
2520	5.16514e+07	718.926	4959	665	145	125	0	718.926	53	110.456	0	9952.63	11550.4	0	912863	319.043	332.88	0	2520	728.74	907.961	0.975115
2700	9.27154e+07	1075.6	7402	871	144	138	0	1075.6	54	124.097	0	10998.8	11477.8	0	1.98417e+06	318.237	336.058	0	2700	739.154	906.328	0.973361
2880	1.11309e+07	119.223	609	0	144	138	0	119.223	53.9998	131.19	0	11049.4	11376	0	603862	345.015	244.28	0	2880	715.184	904.698	0.971611
3060	5.72869e+07	713.998	4649	785	135	133	0	713.998	54	118.357	0	10575.8	10727.8	0	1.51389e+06	326.699	311.15	0	3060	738.815	903.071	0.969863
3240	1.4346e+06	539.991	473	104	135	133	0	539.991	53	20.5628	0	10642.1	10740.6	0	234294	329.161	322.449	0	3240	723.369	901.447	0.968119
3420	1.50055e+06	42.3429	321	62	135	133	0	42.3429	53	75.2235	0	10664.9	10665	0	222542	313.191	239.43	0	3420	740.765	899.826	0.966378
3600	6.05934e+06	82.8037	764	129	135	133	0	82.8037	53	111.701	0	10507	10778.8	0	395553	229.47	350.665	0	3600	727.235	898.208	0.96464
3780	1.04684e+06	562.472	455	93	135	133	0	562.472	53	17.2108	0	10582.9	10692.4	0	257511	347.336	328.737	0	3780	744.438	896.592	0.962905
3960	2.70932e+06	309.055	501	0	135	133	0	309.055	53	37.3527	0	10617.1	10823	0	327045	320.824	367.491	0	3960	730.431	894.98	0.961174
4140	53868	26.5844	71	0	135	133	0	26.5844	53	17.9582	0	10665	10819.5	0	250312	343.437	357.487	0	4140	742.051	893.371	0.959445
4320	2.59957e+06	727.423	702	0	135	133	0	727.423	54	23.8488	0	10507	10755	0	551784	238.43	335.446	0	4320	733.557	891.764	0.95772
4500	6.18502e+07	715.029	4962	857	145	133	0	715.029	53.0001	124.391	0	10533.8	11520.7	0	1.18219e+06	278.615	307.369	0	4500	742.135	890.16	0.955997
4680	1.16042e+06	550	502	0	145	133	0	550	53	18.3247	0	10665	11549.5	0	227358	320.759	329.042	0	4680	733.069	888.559	0.954278
4860	770005	784	345	0	145	133	0	784	54	12.5026	0	10665	11613	0	399191	375.107	305.586	0	4860	726.748	886.961	0.952562
5040	235527	309.503	98	0	145	133	0	309.503	53	11.0052	0	10665	11455	0	116126	324.939	254.463	0	5040	737.749	885.366	0.950849
5220	267339	379.132	96	0	145	133	0	379.132	53	10.5937	0	10507.1	11532.9	0	297903	275.327	313.271	0	5220	760.411	883.774	0.949139
5400	5.79573e+07	710.214	4969	987	138	114	0	710.214	53.9999	119.666	0	9063.54	10988.3	0	1.58724e+06	322.787	320.019	0	5400	742.62	882.185	0.947432
5580	1.07431e+06	605.531	248	0	138	114	0	605.531	53	16.8038	0	9086.32	10902	0	271639	314.963	305.691	0	5580	721.689	880.598	0.945728
5760	1.44103e+07	232.795	1473	0	138	114	0	232.795	54	101.198	0	9164	10959.3	0	892825	385.86	301.029	0	5760	747.196	879.015	0.944027
