MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_38.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	17
LIMIT-FIT-SIGMA-XY-MAX	165
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	87
LIMIT-FIT-BGD-MAX	88
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	200	201	201	201	201	202	202	202	202	202	203	203	203	203	203	204	204	204	204	204	204	204	205	205	205	205	205	205	205	205	205	205	206	206	206	206	206	206	207	207	207	208	208	209	209	210	210	210	210	211	211	211	211	211	211	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	213	213	213	213	213	213	213	214	214	214	214	214	215	215	215	215	216	216	217	217	217	218	218	219	219	220	220	221	221	222	222	223	223	224	224	225	225	226	226	227	227	228	228	228	229	229	230	230	230	230	231	231	231	231	232	232	232	232	232	232	233	233	233	233	233	233	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	233	233	233	233	233	233	233	233	232	232	232	232	232	232	232	232	231	231	231	231	231	230	230	230	230	230	229	229	229	229	229	229	228	228	228	228	228	227	227	227	227	227	226	226	226	226	226	226	225	225	225	225	225	224	224	224	224	224	224	223	223	223	223	222	222	222	222	221	221	221	220	220	219	219	219	218	218	218	217	217	217	216	216	216	215	215	215	214	214	214	213	213	213	213	212	212	211	211	210	210	209	209	208	208	207	207	206	206	205	205	204	204	203	203	202	202	201	201	200	200	199	199	198	198	197	197	196	196	196	196	195	195	195	194	194	194	193	193	193	193	192	192	192	192	192	192	191	191	191	191	191	191	191	191	191	191	190	190	190	190	189	189	189	188	188	188	188	187	187	187	186	186	186	185	185	184	184	184	183	183	182	182	182	181	181	180	180	179	179	178	178	177	177	176	176	175	175	174	174	173	173	172	172	171	171	170	170	169	169	168	168	168	167	167	167	166	166	166	166	165	165	165	164	164	164	163	163	163	163	162	162	161	161	161	161	160	160	160	159	159	158	158	158	157	157	157	157	157	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	157	157	157	157	158	158	158	158	158	159	159	159	159	160	160	160	160	161	161	161	161	162	162	162	163	163	163	164	164	164	164	165	165	165	165	166	166	166	166	167	167	168	168	169	169	170	170	171	171	172	172	173	173	174	174	175	175	176	176	177	177	178	178	178	179	179	179	180	180	180	181	181	182	182	183	183	184	184	185	185	185	186	186	187	187	187	187	188	188	188	188	189	189	189	190	190	191	191	191	192	192	192	193	193	193	194	194	194	195	195	195	196	196	196	197	197	198	198	199	END
Y_POS	142	142	142	142	141	141	141	140	140	140	140	139	139	139	138	138	137	137	136	136	135	135	135	134	134	133	133	132	132	131	131	130	130	130	129	129	129	128	128	128	128	128	128	128	128	128	129	129	130	130	131	131	132	132	133	133	133	134	134	135	135	136	136	137	137	138	138	139	139	140	140	141	141	142	142	143	143	144	144	145	145	145	146	146	146	147	147	148	148	148	148	149	149	149	149	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	149	149	149	149	148	148	148	148	147	147	147	146	146	146	145	145	144	144	143	143	143	142	142	142	141	141	140	140	139	139	138	138	137	137	136	136	136	135	135	135	134	134	134	133	133	132	132	131	131	130	130	129	129	129	128	128	127	127	127	126	126	125	125	125	124	124	123	123	123	122	122	122	121	121	121	120	120	119	119	119	118	118	117	117	117	116	116	115	115	115	114	114	114	113	113	113	112	112	112	111	111	110	110	110	109	109	109	108	108	108	108	108	107	107	107	107	107	107	106	106	106	106	106	106	105	105	105	105	105	105	104	104	104	104	104	104	104	104	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	104	104	104	104	104	105	105	105	105	105	106	106	106	106	107	107	107	108	108	109	109	110	110	111	111	111	112	112	113	113	113	113	114	114	114	114	114	115	115	115	115	115	116	116	116	116	116	116	116	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	118	118	118	118	118	118	119	119	119	119	119	120	120	120	120	120	121	121	121	121	121	122	122	122	122	123	123	123	123	124	124	124	125	125	126	126	126	127	127	128	128	128	129	129	130	130	131	131	132	132	133	133	134	134	135	135	136	136	137	137	138	138	139	139	140	140	141	141	141	142	142	142	142	143	143	143	144	144	144	144	145	145	145	145	146	146	146	146	147	147	147	148	148	148	149	149	149	149	150	150	151	151	151	151	152	152	152	152	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	152	152	152	152	152	152	152	152	151	151	151	151	151	150	150	150	150	149	149	149	149	148	148	148	148	147	147	147	147	147	146	146	146	145	145	145	145	145	145	144	144	144	144	144	144	143	143	143	143	143	143	143	142	142	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	2.44553e+08	2631.85	18968	2586	125	179	0	2631.85	87	130.746	0	14181.4	9977.71	0	6.26658e+06	273.499	333.643	0	0	995.543	1373.32	1
180	1.53575e+08	1737.79	12931	1257	129	183	0	1737.79	88	126.225	0	14549.6	10262.6	0	4.77486e+06	316.901	297.781	0	180	1033.63	1370.85	0.998202
360	1.94622e+08	2080.86	15530	2115	134	182	0	2080.86	88	131.359	0	14473.1	10684.8	0	3.33196e+06	328.205	325.141	0	360	1023.45	1368.39	0.996406
540	1.8194e+08	1800.9	13492	1734	133	187	0	1800.9	88	139.103	0	14793.3	10616.1	0	4.70444e+06	271.131	334.604	0	540	1012.31	1365.92	0.994615
720	6.98903e+07	693.947	5742	896	134	184	0	693.947	88	138.772	0	14605.1	10664.2	0	2.5324e+06	322.318	313.527	0	720	1023.98	1363.47	0.992826
900	1.37854e+07	170.333	950	266	134	184	0	170.333	88	119.023	0	14694	10744	0	994313	322.588	356.852	0	900	1005.69	1361.02	0.99104
1080	1.61956e+08	1621.66	12339	1607	134	190	0	1621.66	87.0001	137.884	0	15092.5	10661.3	0	2.29559e+06	319.666	311.646	0	1080	1024.18	1358.57	0.989258
1260	8.92792e+07	855.529	6511	959	129	186	0	855.529	87	142.666	0	14749.1	10270.3	0	1.56807e+06	310.14	323.758	0	1260	1023.57	1356.13	0.987479
1440	6.09877e+07	1064.64	7045	1209	133	190	0	1064.64	88	96.8823	0	15095.5	10585.8	0	2.64435e+06	303.934	286.765	0	1440	1038.6	1353.69	0.985703
1620	1.08403e+08	1350.5	9667	1144	127	192	0	1350.5	87.0112	118.391	0	15227.3	10109.6	0	3.10938e+06	318.071	306.4	0	1620	1009	1351.25	0.983931
1800	1.16059e+08	1499.23	10021	1279	128	192	0	1499.23	88	115.682	0	15259	10187	0	2.83593e+06	323.052	301.459	0	1800	1023.69	1348.82	0.982161
1980	6.37415e+07	618.906	4990	912	127	195	0	618.906	88	141.195	0	15494.7	10173.1	0	1.36862e+06	319.224	343.77	0	1980	1047.44	1346.4	0.980395
2160	5.16204e+07	689.184	4967	667	125	193	0	689.184	87.9998	113.317	0	15339.8	9957.12	0	1.84122e+06	322.874	308.452	0	2160	1018.33	1343.97	0.978632
2340	1.05974e+07	99.0141	959	382	125	193	0	99.0141	87	145.593	0	15258.6	10033	0	1.04355e+06	304.699	374.666	0	2340	1026.98	1341.56	0.976872
2520	1.04524e+06	547.927	454	258	125	193	0	547.927	87	17.4244	0	15330.3	9953.97	0	491689	369.401	292.231	0	2520	1003.66	1339.15	0.975115
2700	1.21693e+07	139.953	1156	0	125	193	0	139.953	87	124.833	0	15247	10033	0	930863	284.042	378.372	0	2700	1051.46	1336.74	0.973361
2880	9.64208e+06	116.586	923	92	125	193	0	116.586	87	120.718	0	15405	9875	0	875387	346.341	235.671	0	2880	1026.91	1334.33	0.971611
3060	1.12906e+07	94.5903	1281	0	125	193	0	94.5903	87	159.994	0	15247	9958.37	0	1.05236e+06	247.003	331.606	0	3060	1018.2	1331.93	0.969863
3240	635673	350.07	464	0	125	193	0	350.07	87	17	0	15405	10033	0	333106	372.739	313.9	0	3240	1048.01	1329.54	0.968119
3420	6.18555e+06	182.142	1475	238	125	193	0	182.142	87	73.6126	0	15405	9931.26	0	533494	367.665	327.703	0	3420	1011.84	1327.15	0.966378
3600	843902	463.315	551	0	125	193	0	463.315	87	17.0262	0	15328.6	10032.4	0	342308	289.636	344.893	0	3600	1071.9	1324.76	0.96464
3780	1.48735e+06	645.287	488	240	125	193	0	645.287	87	19.1531	0	15360.3	9954	0	545607	327.098	357.413	0	3780	1062.11	1322.38	0.962905
3960	3.18767e+06	872	1239	436	125	193	0	872	87	24.1206	0	15325.6	9928.5	0	500790	301.79	313.674	0	3960	1066.01	1320	0.961174
4140	3.96297e+06	808	1182	313	125	193	0	808	87	27.9392	0	15307.4	10003.4	0	500790	333.673	279.697	0	4140	1039.77	1317.63	0.959445
4320	1.57675e+06	846	345	0	125	193	0	846	87	17.2229	0	15247	9875	0	687206	328.758	298.69	0	4320	1044.74	1315.26	0.95772
4500	7.1589e+06	123.149	412	253	125	193	0	123.149	88	97.6768	0	15247	9924.16	0	1.52211e+06	271.328	296.119	0	4500	1063.74	1312.89	0.955997
4680	4.87558e+07	664.643	4600	1354	136	177	0	664.643	88	111.869	0	14063.9	10856.7	0	1.83151e+06	307.321	337.426	0	4680	1071.75	1310.53	0.954278
4860	4.63996e+06	1246	960	0	136	177	0	1246	88	24.3449	0	13983.4	10767.1	0	766924	296.102	334.08	0	4860	1050.61	1308.17	0.952562
5040	1.23532e+07	146.489	1215	535	136	177	0	146.489	87	122.284	0	13983	10744	0	1.16489e+06	246.33	256.631	0	5040	1033.55	1305.82	0.950849
5220	1.74517e+06	749.939	606	375	136	177	0	749.939	87	19.2449	0	14061.3	10822.8	0	381621	297.9	327.269	0	5220	1054.65	1303.47	0.949139
5400	3.20427e+06	836	1115	10	136	177	0	836	87	24.6986	0	14100.6	10745.2	0	458227	304.117	258.897	0	5400	1038.53	1301.13	0.947432
5580	1.55403e+06	742	478	132	136	177	0	742	87	18.2573	0	13983	10902	0	462327	313.753	320.134	0	5580	1037.68	1298.79	0.945728
5760	846402	466.121	250	30	136	177	0	466.121	88	17	0	14140.9	10744	0	816603	310.174	329.17	0	5760	1070.34	1296.45	0.944027
