MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_3.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-58
LIMIT-FIT-SIGMA-XY-MAX	102
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	35
LIMIT-FIT-BGD-MAX	36
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	269	269	269	269	269	269	269	268	268	268	268	267	267	267	266	266	266	265	264	263	263	262	262	262	261	261	260	260	260	260	259	259	258	258	258	257	257	256	256	255	255	254	254	253	253	252	252	251	251	251	250	250	249	249	249	248	248	247	247	247	246	246	245	245	245	244	244	244	243	243	242	242	242	241	241	240	240	240	239	239	238	238	237	237	236	236	235	235	234	234	233	233	232	232	231	231	230	229	229	228	228	227	227	226	226	226	226	225	225	225	224	224	224	224	223	223	223	222	222	222	222	222	221	221	221	221	220	220	220	220	219	219	219	219	219	218	218	218	218	218	218	217	217	217	217	217	216	216	216	216	216	216	216	216	215	215	215	215	215	215	215	215	215	215	216	216	216	216	216	217	217	217	217	217	218	218	218	218	218	219	219	219	219	219	220	220	220	221	221	221	222	222	222	223	223	223	224	225	225	225	225	226	227	227	227	228	228	229	229	229	230	230	231	231	232	233	233	234	234	235	235	236	236	237	237	238	238	239	239	240	240	241	242	242	243	243	244	244	245	245	246	246	247	248	248	249	249	250	250	251	251	252	252	253	253	254	255	255	256	256	257	257	258	258	259	259	260	260	261	261	261	262	262	263	263	263	264	264	264	265	265	265	265	266	266	266	267	267	267	267	268	268	268	268	269	269	269	269	269	269	269	270	270	270	270	270	270	270	270	270	270	270	270	270	END
Y_POS	305	305	304	304	304	303	303	303	302	302	302	302	301	301	301	300	300	300	299	299	299	299	299	298	298	298	298	298	298	297	297	297	297	297	297	297	297	296	296	296	296	296	296	295	295	295	295	295	295	295	295	295	294	294	294	294	294	294	293	293	293	293	293	293	292	292	292	292	292	291	291	291	291	291	291	291	290	290	290	290	290	290	290	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	290	290	290	290	290	291	291	291	291	292	292	292	293	293	293	293	294	294	294	295	295	295	296	296	297	297	297	298	298	299	299	299	300	300	301	301	302	302	303	303	304	304	304	305	305	305	306	306	307	307	307	308	308	309	309	310	310	311	311	312	312	313	313	313	314	314	314	314	315	315	315	316	316	316	317	317	317	318	318	319	319	319	319	320	320	320	320	321	321	321	321	321	322	322	322	322	323	323	323	323	323	323	323	323	323	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	323	323	323	323	323	322	322	322	322	321	321	321	321	320	320	319	319	319	318	318	318	317	317	316	316	315	315	314	314	314	313	313	312	312	311	311	310	310	309	309	308	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.45656e+06	406	411	38	307	243	0	406	36	23.8952	0	19324.4	24276.6	0	147959	279.749	296.053	0	0	438.213	485.022	1
180	0.00355217	67.1354	96	0	307	243	0	67.1354	35	-0.00290189	0	19261	24311.5	0	102961	306.954	302.431	0	180	446.559	484.119	0.998137
360	1.65698e+06	432	712	99	307	243	0	432	36	24.7074	0	19271	24387.9	0	131171	322.59	321.311	0	360	438.262	483.217	0.996278
540	1.77838e+06	485.996	518	134	307	243	0	485.996	35.4908	24.1327	0	19292	24284.5	0	156990	262.41	296.601	0	540	448.06	482.317	0.994423
720	280543	408.399	475	0	307	243	0	408.399	35.9911	10.4561	0	19352.4	24334.1	0	189347	376.926	311.503	0	720	439.257	481.419	0.992571
900	2.45387e+06	87.9725	310	56	307	243	0	87.9725	36	66.6539	0	19197.6	24253	0	203543	252.147	298.526	0	900	439.874	480.523	0.990723
1080	4.47889e-05	36.868	24	0	307	243	0	36.868	35	0.000439714	0	19296	24339.2	0	114084	398.588	311.515	0	1080	442.14	479.628	0.988878
1260	953372	501.458	322	182	307	243	0	501.458	36	17.395	0	19278	24341.3	0	161878	345.939	334.195	0	1260	433.276	478.734	0.987036
1440	1.21594e+06	31.4566	77	36	307	243	0	31.4566	35	78.6381	0	19355	24411	0	150805	346.348	384.113	0	1440	428.028	477.843	0.985198
1620	503750	370.016	219	0	307	243	0	370.016	35	14.72	0	19197.1	24333.2	0	124762	319.864	284.111	0	1620	424.821	476.953	0.983363
1800	2.01477e+06	426.217	625	26	307	243	0	426.217	36	27.4288	0	19197	24253	0	293854	331.147	255.8	0	1800	418.577	476.065	0.981532
1980	982069	419.963	268	125	307	243	0	419.963	35	19.2919	0	19239.2	24332	0	133499	244.158	307.086	0	1980	424.339	475.178	0.979704
2160	199504	354.315	101	32	307	243	0	354.315	35	9.46653	0	19197	24411	0	136698	258.675	308.146	0	2160	420.309	474.293	0.977879
2340	414787	456.12	168	68	307	243	0	456.12	35.0273	12.0305	0	19236.3	24331.5	0	176044	339.277	327.616	0	2340	418.252	473.41	0.976058
2520	2.05194e+06	104.249	384	0	307	243	0	104.249	35	55.9714	0	19345	24411	0	99520.2	302.173	300.289	0	2520	413.197	472.528	0.97424
2700	1.70639e+06	27.1881	343	24	307	243	0	27.1881	35	102	0	19199.7	24253	0	208919	287.683	273.944	0	2700	423.88	471.648	0.972426
2880	2.22821e+06	104.432	394	1	307	243	0	104.432	35	58.2765	0	19355	24253	0	83293.4	380.939	255.216	0	2880	417.168	470.77	0.970615
3060	818937	374	286	0	307	243	0	374	35	18.6681	0	19197	24297.5	0	120195	298.626	300.088	0	3060	412.83	469.893	0.968807
3240	1.06597e+06	395.977	474	18	307	243	0	395.977	35	20.699	0	19355	24331.6	0	114646	348.419	314.007	0	3240	422.269	469.018	0.967003
3420	960069	290.375	464	8	307	243	0	290.375	35	22.9394	0	19323.5	24411	0	81309.5	333.675	324.658	0	3420	413.809	468.145	0.965202
3600	0.00204116	52.5237	152	0	307	243	0	52.5237	35.3208	0.00248697	0	19322.7	24380.9	0	136350	350.862	328.2	0	3600	420.46	467.273	0.963405
3780	1.1282e+06	413.999	308	0	307	243	0	413.999	35	20.8259	0	19197	24254.2	0	72742.5	247.032	314.258	0	3780	427.762	466.403	0.961611
3960	2.22722e+06	70.8762	531	50	307	243	0	70.8762	35	70.7773	0	19324.1	24253	0	150993	335.672	263.748	0	3960	426.195	465.534	0.95982
