MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_4.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	23
LIMIT-FIT-SIGMA-XY-MAX	161
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	42
LIMIT-FIT-BGD-MAX	43
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	43	43	43	43	44	44	44	45	45	45	45	46	46	47	47	47	48	48	49	49	50	50	51	51	52	52	53	53	54	54	55	55	55	55	56	56	57	57	57	58	59	59	60	60	61	61	61	61	62	63	63	63	64	64	65	65	65	66	66	67	67	68	69	70	70	72	72	73	73	74	75	76	76	77	78	79	80	80	81	82	83	84	84	85	85	86	87	88	89	90	91	92	92	93	93	94	94	95	96	97	98	99	100	101	102	102	103	103	104	105	105	106	107	107	108	108	109	109	109	109	110	110	111	111	111	112	112	113	113	114	114	114	115	115	115	115	116	116	117	117	117	118	118	118	119	119	120	121	122	122	122	123	123	124	125	126	127	127	128	128	129	129	130	130	131	132	132	133	134	134	135	135	135	136	136	136	136	137	137	137	138	138	138	139	140	140	140	141	141	142	142	143	143	143	144	144	145	145	146	146	147	147	147	147	148	148	149	150	150	151	151	152	153	154	155	156	156	157	157	158	158	159	159	160	160	161	161	162	163	163	164	165	165	166	167	167	168	168	169	169	170	170	171	171	172	172	173	173	174	174	174	175	175	175	176	176	176	176	176	177	177	177	177	178	178	178	178	178	178	178	178	178	178	178	178	178	177	177	177	177	177	176	176	176	175	175	175	174	174	174	173	173	173	172	172	171	171	170	170	170	170	169	169	168	168	168	167	167	167	167	166	166	166	166	165	165	164	164	163	163	162	162	162	161	160	160	159	159	159	158	158	157	157	157	156	156	156	155	155	154	154	153	152	152	151	151	151	150	150	149	148	148	147	147	147	146	146	145	144	144	144	143	143	143	142	142	142	141	140	140	139	139	139	138	138	138	137	137	136	136	134	134	133	133	132	131	131	129	129	128	128	127	126	126	126	126	125	125	125	124	124	123	123	122	122	122	121	121	121	121	121	120	120	120	119	119	119	119	118	118	118	117	117	116	116	115	115	114	114	114	114	113	113	113	112	112	112	112	111	111	111	111	110	110	110	110	109	109	109	108	108	108	107	107	107	107	106	106	106	105	105	104	104	103	103	103	103	102	102	102	101	101	101	100	100	100	99	98	98	97	97	96	96	95	95	94	91	90	89	88	87	87	86	86	86	85	85	84	84	83	82	81	81	80	79	79	78	78	77	76	76	75	74	73	72	71	71	70	70	69	68	67	65	64	63	63	62	62	61	59	59	58	57	56	55	55	54	53	52	51	50	49	49	48	48	47	47	46	46	45	44	44	43	42	42	41	40	39	38	37	37	36	36	35	35	35	34	34	34	33	33	33	33	33	33	33	33	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	34	34	34	34	34	34	34	34	34	34	34	34	34	35	35	35	35	35	35	35	36	36	36	36	36	36	36	37	37	37	37	37	37	38	38	38	38	39	39	END
Y_POS	344	345	345	346	346	346	346	346	347	347	347	347	347	347	347	348	348	348	348	348	348	348	348	347	347	347	347	346	346	346	346	345	345	345	344	344	343	343	343	343	343	343	343	342	342	342	342	341	341	340	340	340	340	339	339	339	339	339	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	339	339	339	339	339	339	340	340	340	340	341	342	342	342	343	343	343	344	344	345	345	345	345	346	346	346	347	347	347	348	348	348	349	349	349	349	350	350	350	351	351	352	352	352	353	353	354	354	355	356	356	356	356	357	357	358	358	359	360	360	360	361	361	361	361	362	362	363	363	363	363	364	364	364	364	364	365	365	365	365	366	366	366	367	367	368	369	369	370	370	370	371	371	372	372	372	373	373	373	374	374	375	375	375	375	376	376	376	376	377	377	377	378	378	378	378	378	379	379	379	379	379	379	379	379	379	379	379	379	379	380	380	380	380	380	380	380	380	380	380	380	380	380	380	380	380	380	380	380	380	380	379	379	379	378	378	378	377	377	376	376	375	375	374	374	374	373	373	372	372	371	371	370	370	369	369	368	368	368	367	367	366	366	365	365	365	364	364	363	363	363	362	362	361	361	360	360	360	359	359	359	359	358	358	358	357	357	356	356	356	355	355	355	354	354	354	353	353	352	352	351	351	351	350	350	350	349	349	348	348	348	348	347	347	347	346	346	346	346	346	345	345	344	344	343	343	343	343	342	342	341	341	340	340	340	339	339	339	338	338	337	337	337	336	336	336	336	336	335	335	334	334	334	334	334	334	333	333	333	332	332	332	331	331	331	331	330	329	329	329	328	328	328	328	327	327	327	326	326	326	326	325	325	324	324	324	323	323	323	322	322	322	321	321	320	320	320	319	319	318	318	318	317	317	316	316	315	314	314	314	313	313	313	313	312	312	312	311	311	311	311	310	310	310	310	309	309	308	308	308	308	308	307	307	307	306	306	306	306	305	305	304	304	303	303	302	302	302	301	301	301	301	300	300	300	299	299	299	299	298	298	298	297	297	297	297	297	297	296	296	296	296	296	296	296	296	295	295	295	295	295	295	295	295	295	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	293	294	294	294	294	294	294	294	295	295	296	296	296	297	297	298	298	299	299	299	300	300	301	301	302	302	303	303	304	304	305	305	306	306	307	307	308	308	309	309	310	310	311	311	312	313	313	313	314	314	315	315	315	316	316	317	317	318	318	319	319	320	320	321	321	322	322	323	323	324	325	325	326	326	327	327	328	328	329	329	330	331	331	332	332	333	333	333	334	334	335	335	335	336	336	337	337	337	337	338	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.19701e+06	360.131	436	114	353	143	0	360.131	43	23.0001	0	11421.8	27964.7	0	307941	378.193	290.023	0	0	642.191	658.636	1
180	46640.9	13.4436	84	0	353	143	0	13.4436	42	23.4983	0	11448.5	27887.2	0	320512	355.586	280.726	0	180	646.586	657.452	0.998202
360	14.0747	0.000751574	222	0	353	143	0	0.000751574	42	54.5947	0	11297	27961.6	0	247747	255.826	349.66	0	360	638.815	656.269	0.996406
540	8.9934e+07	1073.79	7273	812	353	143	0	1073.79	43	121.729	0	11348	27977.1	0	1.50801e+06	299.737	320.001	0	540	639.23	655.089	0.994615
720	300400	90.3476	361	69	353	143	0	90.3476	42.0126	23.0039	0	11373.2	27927.7	0	177019	324.97	293.461	0	720	619.721	653.911	0.992826
900	1.17997e+06	16.0012	326	88	353	143	0	16.0012	42	112.231	0	11297	28045	0	142805	242.673	357.846	0	900	624.181	652.735	0.99104
1080	2.11675e+06	535.999	490	0	353	143	0	535.999	42	25.0705	0	11442.1	27906.2	0	89166	411.402	316.86	0	1080	610.797	651.561	0.989258
1260	1.02865e+08	855.967	6767	1051	364	161	0	855.967	43	161	0	12812.4	28761.6	0	2.90195e+06	322.44	267.995	0	1260	613.939	650.389	0.987479
1440	1.07536e+08	1095.36	8430	1204	365	158	0	1095.36	43	136.112	0	12509.3	28909.3	0	1.98397e+06	261.318	298.439	0	1440	616.569	649.22	0.985703
1620	1.42921e+08	1530.43	10813	1672	355	147	0	1530.43	42	131.215	0	11678.1	28110.4	0	2.27762e+06	305.45	306.292	0	1620	617.954	648.052	0.98393
1800	1.46528e+08	1434.42	10287	1237	346	145	0	1434.42	42.0001	140.297	0	11541.5	27436.8	0	3.29218e+06	325.506	340.546	0	1800	617.647	646.887	0.982161
1980	1.73074e+08	1440.2	11218	1582	343	130	0	1440.2	43	161	0	10381	27176.7	0	3.58546e+06	334.761	314.349	0	1980	610.812	645.723	0.980395
2160	9.83696e+07	818.56	6328	337	334	119	0	818.56	43	161	0	9428.86	26471.2	0	2.38816e+06	285.664	319.343	0	2160	612.202	644.562	0.978632
2340	3.24948e+06	232.64	850	85	334	119	0	232.64	42	47.1493	0	9489.58	26386	0	182787	335.395	313.792	0	2340	618.12	643.403	0.976872
2520	926301	278.687	513	0	334	119	0	278.687	42	23	0	9401	26544	0	98942.8	265.001	336.073	0	2520	587.501	642.246	0.975115
2700	7.81177e+07	698.432	5476	515	322	98	0	698.432	42	151.03	0	7881.05	25481.1	0	1.46067e+06	354.996	295.782	0	2700	602.341	641.091	0.973361
2880	1.13943e+08	948.153	7626	1127	315	98	0	948.153	43	161	0	7852.88	24990.2	0	3.21653e+06	330.577	336.256	0	2880	617.125	639.938	0.971611
3060	1.37317e+08	1236.06	9397	809	314	91	0	1236.06	42	150.163	0	7330.93	24909.7	0	2.71909e+06	369.968	327.222	0	3060	606.901	638.787	0.969863
3240	9.50611e+07	803.155	5993	841	312	93	0	803.155	42	158.759	0	7422.79	24742.4	0	2.18395e+06	319.308	340.486	0	3240	602.662	637.638	0.968119
3420	9.40019e+07	782.215	5555	828	313	96	0	782.215	43	161	0	7591.01	24859.6	0	2.36455e+06	274.407	353.683	0	3420	605.175	636.491	0.966378
3600	7.61002e+07	633.25	5237	893	311	92	0	633.25	43	161	0	7377.2	24611.5	0	1.69865e+06	340.991	301.7	0	3600	601.902	635.347	0.96464
3780	1.51088e+08	1257.24	9177	873	309	85	0	1257.24	43	161	0	6817.56	24491.7	0	2.98362e+06	331.614	314.959	0	3780	599.176	634.204	0.962905
3960	1.41815e+08	1446.89	10799	1473	308	80	0	1446.89	43	135.947	0	6436.62	24411.9	0	1.97619e+06	347.363	315.539	0	3960	596.768	633.064	0.961174
4140	602845	181.372	206	0	308	80	0	181.372	42	23	0	6474.12	24490	0	191359	325.418	224.009	0	4140	590.311	631.925	0.959445
4320	1.04449e+06	314.244	293	196	308	80	0	314.244	42	23	0	6398.53	24411.5	0	106493	351.042	272.589	0	4320	596.409	630.789	0.95772
4500	7.73691e+07	852.274	5773	1223	308	81	0	852.274	42.0001	128.604	0	6418.29	24436.5	0	1.39533e+06	266.547	335.949	0	4500	593.18	629.654	0.955997
4680	9.54044e+07	793.886	6307	791	305	83	0	793.886	43	161	0	6684.33	24183.4	0	1.31208e+06	340.976	314.13	0	4680	587.408	628.522	0.954278
4860	9.51819e+07	816.498	6664	1088	306	82	0	816.498	43	156.591	0	6530.81	24299.1	0	1.97284e+06	293.231	343.506	0	4860	594.787	627.392	0.952562
5040	1.6763e+08	1589	12724	1279	306	78	0	1589	42.9999	143.906	0	6255.72	24249.3	0	3.51746e+06	334.71	311.079	0	5040	586.351	626.263	0.950849
5220	1.96882e+08	1650.58	13152	1767	303	73	0	1650.58	43	159.891	0	5853.05	24029.2	0	3.12964e+06	316.748	326.463	0	5220	579.467	625.137	0.949139
5400	1.01143e+08	841.642	6480	901	305	76	0	841.642	42	161	0	6062.33	24247.2	0	1.89945e+06	305.65	365.164	0	5400	590.951	624.013	0.947432
5580	1.27714e+08	1231.7	8825	1608	301	67	0	1231.7	43	141.946	0	5373.89	23832.8	0	3.09159e+06	323.777	297.981	0	5580	578.497	622.891	0.945728
5760	1.58046e+08	1315.14	9733	896	301	71	0	1315.14	43	161	0	5665.8	23858.6	0	3.17913e+06	305.327	314.151	0	5760	576.336	621.77	0.944027
5940	1.17478e+08	985.422	7285	1235	298	74	0	985.422	43	159.811	0	5909.61	23645.6	0	2.26972e+06	307.524	325.126	0	5940	576.126	620.652	0.94233
6120	1.78129e+08	1632.98	12070	1809	303	69	0	1632.98	42.9999	147.883	0	5569.54	24017.1	0	3.02897e+06	345.119	317.278	0	6120	578.471	619.536	0.940635
6300	8.46639e+07	724.776	5285	832	301	69	0	724.776	42	156.881	0	5508.09	23915.4	0	1.0343e+06	303.025	348.298	0	6300	576.274	618.422	0.938943
6480	4.78692e+07	416.351	2871	348	301	69	0	416.351	42	154.681	0	5451	23890.5	0	995673	236.247	332.807	0	6480	570.909	617.31	0.937255
6660	2.26334e+07	211.54	1064	0	301	69	0	211.54	42	145.554	0	5451	23937	0	868408	233.631	412.899	0	6660	570.924	616.2	0.935569
