MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_4.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	11
LIMIT-FIT-SIGMA-XY-MAX	157
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	46
LIMIT-FIT-BGD-MAX	47
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	138	137	137	136	135	134	133	132	131	130	129	128	128	127	127	127	126	126	126	125	125	124	123	123	122	121	120	120	119	118	117	117	116	116	116	115	115	115	114	114	113	113	112	112	112	111	111	110	110	109	109	108	108	107	107	107	106	106	105	105	105	105	104	104	104	104	103	103	103	103	102	102	102	101	101	101	101	101	100	100	100	99	99	99	99	98	98	98	97	97	97	97	97	97	97	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	97	97	97	97	97	97	98	98	98	99	99	99	99	99	99	99	100	100	100	100	101	101	101	101	101	102	102	102	103	103	103	103	103	103	104	104	104	104	105	105	105	105	105	106	106	107	107	108	108	108	109	109	110	110	110	111	111	112	112	113	113	114	114	115	115	116	116	117	117	118	118	119	119	120	120	121	122	123	124	124	125	125	126	126	127	128	129	130	131	131	132	132	133	133	133	134	134	134	135	135	136	136	136	137	137	137	138	138	139	140	141	141	141	142	142	142	143	143	143	144	144	144	145	145	145	146	146	147	147	147	148	148	148	149	149	149	149	150	150	151	151	151	152	152	152	153	153	154	154	154	154	155	155	155	155	156	156	157	157	158	158	158	159	159	160	160	161	161	162	162	163	163	163	164	164	164	165	165	165	166	166	167	167	168	168	168	169	169	170	171	171	172	172	173	173	173	174	174	175	175	175	175	175	176	176	176	177	177	177	177	178	178	178	178	179	179	179	179	179	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	181	181	181	181	181	181	181	181	181	181	180	180	180	180	180	180	179	179	179	178	178	178	178	178	177	177	177	176	176	175	174	174	173	173	172	172	171	171	170	170	169	169	168	168	168	167	167	166	166	166	165	165	164	163	163	162	161	160	159	159	158	157	157	156	155	155	154	154	153	152	152	151	150	150	149	149	149	148	148	147	147	147	146	146	145	145	144	144	144	143	143	142	142	141	141	140	139	138	138	137	137	END
Y_POS	159	159	159	159	159	159	159	160	160	160	160	160	160	160	161	161	161	161	161	161	161	162	162	162	162	162	162	162	163	163	163	164	164	164	164	164	164	165	165	165	165	165	166	166	166	167	167	167	168	168	169	169	169	169	170	170	170	171	171	171	171	172	172	172	172	173	173	173	173	174	174	174	175	175	175	176	176	177	177	177	177	178	178	178	179	179	179	180	180	181	181	181	182	182	183	183	184	184	185	185	186	186	187	188	188	189	189	190	190	191	192	192	193	193	194	194	195	195	196	196	197	197	198	198	199	199	199	200	200	201	201	201	202	202	202	203	203	203	204	204	205	205	205	206	206	207	207	208	208	208	209	209	209	210	210	210	211	211	211	211	212	212	212	213	213	213	214	214	214	214	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	215	214	214	214	213	213	213	213	212	212	212	212	212	211	211	211	211	211	210	210	210	210	209	209	209	209	209	209	208	208	208	208	208	208	207	207	207	207	206	206	206	205	205	205	205	204	204	203	203	203	203	202	202	202	201	201	201	200	200	200	200	199	199	199	198	198	198	197	197	197	197	196	196	196	195	195	195	195	195	195	194	194	194	194	194	193	193	193	193	192	192	192	192	192	192	191	191	191	191	190	190	190	190	190	190	189	189	189	188	188	188	188	188	187	187	187	187	186	186	186	186	186	185	185	185	184	184	184	183	183	183	183	182	182	182	181	181	180	180	179	179	178	178	177	177	176	176	175	175	174	174	174	173	173	172	172	171	171	170	170	169	169	168	168	167	167	166	166	165	164	164	163	163	162	162	162	161	161	160	160	160	159	159	159	159	159	158	158	158	158	158	158	158	158	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	156	156	156	156	156	156	156	156	156	156	156	157	157	157	157	157	157	157	157	158	158	158	158	158	158	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	6.99079e+07	711.502	4984	730	177	168	0	711.502	47	136.196	0	13380.3	14091.2	0	1.36729e+06	314.705	332.499	0	0	634.607	852.43	1
180	2.45077e+07	209.624	1545	353	177	168	0	209.624	47	157	0	13272	14136.3	0	522532	261.544	351.22	0	180	640.987	850.897	0.998202
360	3.47292e+07	315.273	1825	186	177	168	0	315.273	46.0001	149.096	0	13272	14141	0	942939	246.162	358.272	0	360	636.422	849.367	0.996406
540	2.12102e+07	181.419	794	165	177	168	0	181.419	47	157	0	13430	13983	0	667485	352.57	210.405	0	540	631.532	847.839	0.994615
720	2.52493e+06	219.98	586	53	177	168	0	219.98	47	42.7409	0	13292.2	13983	0	345075	305.372	259.979	0	720	617.115	846.314	0.992826
900	3.30766e+06	1034	850	388	177	168	0	1034	47	22.5637	0	13373.8	14041.6	0	495875	361.223	341.925	0	900	626.318	844.792	0.99104
1080	4.16097e+06	815.864	861	0	177	168	0	815.864	47	28.4904	0	13384.6	14141	0	1.30211e+06	411.735	401.521	0	1080	609.743	843.273	0.989258
1260	1.99691e+07	170.804	742	6	177	168	0	170.804	47	157	0	13430	14065.5	0	930125	396.299	326.055	0	1260	613.83	841.757	0.987479
1440	1.07599e+08	984.163	7726	899	176	175	0	984.163	46	148.163	0	13881.3	13949.4	0	1.62423e+06	299.349	285.688	0	1440	605.368	840.243	0.985703
1620	1.31993e+08	1128.99	7581	972	171	170	0	1128.99	47	157	0	13458.6	13574.6	0	2.77752e+06	289.559	308.586	0	1620	602.118	838.732	0.98393
1800	1.18446e+08	1013.12	6591	695	168	172	0	1013.12	47	157	0	13719.4	13314.8	0	2.84899e+06	349.524	296.913	0	1800	600.707	837.223	0.982161
1980	5.72443e+07	489.633	3482	567	168	172	0	489.633	47	157	0	13588	13321	0	874077	265.633	300.758	0	1980	589.482	835.718	0.980395
2160	5.91812e+06	50.62	640	0	168	172	0	50.62	47	157	0	13606.3	13272	0	557687	318.357	267.247	0	2160	589.097	834.215	0.978632
2340	148278	193.242	78	70	168	172	0	193.242	46	11.0509	0	13666.3	13351.6	0	219191	311.817	337.44	0	2340	598.823	832.715	0.976872
2520	1.29435e-05	1.70133e-08	104	30	168	172	0	1.70133e-08	46	11.0038	0	13746	13430	0	162331	268.837	236.112	0	2520	574.608	831.217	0.975115
2700	2.44757	0.00321796	59	38	168	172	0	0.00321796	46	11.0024	0	13670.3	13347.7	0	89370	347.567	357.649	0	2700	593.355	829.722	0.973361
2880	2.27924e+06	632	572	119	168	172	0	632	46	23.9578	0	13661.1	13292.3	0	126344	288.648	282.533	0	2880	606.742	828.23	0.971611
3060	487017	332.417	125	0	168	172	0	332.417	46	15.27	0	13666.7	13272.5	0	178495	307.256	449.043	0	3060	593.466	826.741	0.969863
3240	1.11155e+06	407.997	428	150	168	172	0	407.997	46	20.8231	0	13701.2	13356.8	0	140650	352.974	332.517	0	3240	595.588	825.254	0.968119
3420	22.9744	0.030156	91	0	168	172	0	0.030156	46	11.0115	0	13687.9	13272.1	0	157219	272.905	294.063	0	3420	599.845	823.77	0.966378
3600	1.20959e+06	503.52	365	155	168	172	0	503.52	46	19.5533	0	13667	13388.4	0	148248	322.773	313.871	0	3600	605.304	822.288	0.96464
3780	1.66052e+06	591.936	616	49	168	172	0	591.936	46	21.1298	0	13665.7	13424.4	0	186408	326.508	331.465	0	3780	604.161	820.809	0.962905
3960	356020	184.745	227	0	168	172	0	184.745	46	17.513	0	13588.8	13353.3	0	102677	317.393	322.037	0	3960	609.734	819.333	0.961174
4140	1.44085e+06	202.304	594	0	168	172	0	202.304	46	33.6679	0	13746	13430	0	228413	279.066	322.286	0	4140	607.414	817.86	0.959445
4320	211419	278.064	451	13	168	172	0	278.064	46	11.0004	0	13746	13430	0	126477	318.065	354.364	0	4320	609.924	816.389	0.95772
4500	459251	504.432	170	121	168	172	0	504.432	47	12.0374	0	13667.5	13352.1	0	311231	330.382	342.559	0	4500	610.212	814.921	0.955997
4680	0.0867955	4.63637e-05	117	0	168	172	0	4.63637e-05	46.6734	17.2612	0	13745.9	13341.1	0	300641	345.431	289.022	0	4680	609.666	813.455	0.954278
4860	3.52653e+06	1072	812	0	168	172	0	1072	47	22.8816	0	13588	13272	0	251084	301.817	306.196	0	4860	614.649	811.992	0.952562
5040	903335	559.488	245	9	168	172	0	559.488	46	16.0302	0	13745.9	13350.9	0	213960	322.45	235.851	0	5040	616.213	810.532	0.950849
5220	758000	312.098	334	88	168	172	0	312.098	46	19.6607	0	13667.2	13272	0	159987	300.453	365.697	0	5220	607.034	809.074	0.949139
5400	641849	388.559	241	0	168	172	0	388.559	46	16.2143	0	13746	13351.2	0	138305	383.088	287.445	0	5400	615.28	807.619	0.947432
5580	1.20748e+06	350	331	38	168	172	0	350	46	23.4324	0	13588.9	13307.1	0	79943.8	289.957	321.577	0	5580	608.94	806.167	0.945728
5760	4.58614e+06	188.172	661	293	168	172	0	188.172	47	62.29	0	13719	13272	0	281922	329.863	321.478	0	5760	610.608	804.717	0.944027
5940	747518	51.7125	189	6	168	172	0	51.7125	46	47.9649	0	13588	13272	0	201017	260.042	272.292	0	5940	611.074	803.27	0.94233
6120	6.79254e+06	68.1591	570	148	168	172	0	68.1591	46	137.66	0	13588	13313.1	0	296342	238.446	300.022	0	6120	617.391	801.825	0.940635
6300	63338.3	69.1451	473	11	168	172	0	69.1451	47	12.0743	0	13596.4	13349.9	0	251049	254.345	294.742	0	6300	621.843	800.383	0.938943
6480	2.35451e+06	805.984	479	0	168	172	0	805.984	46	21.5624	0	13588	13272.2	0	185672	260.059	327.037	0	6480	620.696	798.944	0.937255
6660	748646	11.7566	360	36	168	172	0	11.7566	46	102.853	0	13588	13430	0	151036	247.236	340.621	0	6660	624.25	797.507	0.935569
6840	6.71472e+07	652.14	5202	420	175	131	0	652.14	46	141.166	0	10381.5	13877.4	0	1.20177e+06	284.718	300.24	0	6840	633.113	796.073	0.933887
7020	2.69346e+07	317.974	1748	214	175	131	0	317.974	46	122.649	0	10507	13944.4	0	481681	405.658	327.566	0	7020	632.305	794.641	0.932207
7200	8.26262e+06	70.6735	865	80	175	131	0	70.6735	46	157	0	10507	13885.9	0	315215	332.065	301.216	0	7200	639.784	793.212	0.930531
7380	9.03773e+06	82.1315	867	201	175	131	0	82.1315	46	148.965	0	10507	13825	0	512013	333.894	244.955	0	7380	641.048	791.786	0.928857
7560	7.3408e+07	639.325	5209	878	171	141	0	639.325	47	154.501	0	11229.1	13607.2	0	2.28505e+06	308.193	320.727	0	7560	643.047	790.362	0.927187
7740	1.16528e+08	996.714	7134	1018	172	146	0	996.714	47	157	0	11587.9	13655.9	0	2.56084e+06	301.524	306.665	0	7740	654.495	788.941	0.92552
7920	1.17283e+08	1003.16	7098	776	169	149	0	1003.16	47	157	0	11828.6	13461.3	0	3.08773e+06	294.561	340.85	0	7920	657.27	787.522	0.923855
8100	1.12373e+08	961.171	7503	850	169	146	0	961.171	47	157	0	11602.7	13442.4	0	1.91958e+06	300.516	324.091	0	8100	659.052	786.105	0.922194
8280	7.13926e+07	685.057	5706	693	171	139	0	685.057	47	142.513	0	11015.3	13539.3	0	1.52602e+06	280.679	282.791	0	8280	656.28	784.692	0.920535
8460	3.87938e+07	331.818	1968	238	171	139	0	331.818	47	157	0	10981	13509	0	1.57556e+06	253.974	307.544	0	8460	672.988	783.281	0.91888
8640	3.36254e+07	479.385	2369	240	171	139	0	479.385	47	108.868	0	11008.2	13667	0	1.26158e+06	289.064	332.921	0	8640	672.901	781.872	0.917227
