MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_4.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-24
LIMIT-FIT-SIGMA-XY-MAX	104
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	47
LIMIT-FIT-BGD-MAX	48
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	334	334	333	333	332	332	331	331	330	330	330	329	329	329	329	329	328	328	328	328	327	327	327	327	326	326	325	325	325	325	324	324	323	323	323	323	322	322	322	321	321	320	320	319	319	318	318	317	317	316	315	314	314	313	313	312	312	311	310	310	310	309	309	308	308	308	308	307	307	306	306	306	305	305	305	305	304	304	304	304	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	303	302	302	302	302	302	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	302	302	302	302	302	302	302	302	303	303	303	303	304	304	304	305	305	305	305	306	306	306	307	307	307	307	308	308	308	309	309	309	309	310	310	310	311	311	312	312	313	313	314	314	315	315	315	316	316	317	317	318	319	319	320	320	320	321	322	323	323	324	325	325	325	326	326	327	327	328	328	328	329	329	330	330	331	331	332	332	333	334	334	335	335	336	336	337	337	338	338	339	339	340	341	341	342	342	343	343	344	344	345	345	346	346	347	347	347	348	348	349	350	350	351	351	352	353	353	354	354	355	356	357	357	358	358	359	359	360	360	360	361	361	361	362	362	363	364	364	365	365	366	366	367	367	367	367	368	368	369	369	369	369	370	370	371	371	371	371	372	372	372	372	372	373	373	373	373	374	374	374	374	374	375	375	375	376	376	377	377	377	378	378	378	378	379	379	380	380	380	380	381	381	382	382	382	383	383	383	384	384	384	384	385	385	385	386	386	386	387	387	387	387	387	387	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	387	387	387	386	386	385	385	384	384	383	383	382	382	381	381	380	380	379	379	378	378	377	377	377	376	376	375	375	374	374	374	373	373	372	372	371	371	370	370	369	368	368	367	366	366	365	365	365	364	364	363	363	362	362	362	361	361	360	360	359	358	357	357	356	356	356	355	355	355	355	354	353	353	353	352	352	351	351	351	350	350	349	349	349	349	348	348	347	347	347	347	346	346	346	345	345	345	345	345	344	344	344	343	343	END
Y_POS	195	195	194	194	193	193	192	192	191	191	190	190	190	190	189	189	189	188	188	188	188	187	187	186	186	186	185	185	185	184	184	184	184	183	183	183	183	183	182	182	182	182	182	182	182	182	182	182	182	182	181	181	181	181	181	181	181	182	182	182	182	182	182	182	183	183	183	183	184	184	184	184	185	185	186	186	187	187	188	188	188	189	189	190	190	191	191	192	193	193	194	194	195	195	196	197	197	198	198	199	199	200	200	201	201	202	202	203	203	204	204	205	205	206	206	207	207	208	208	209	209	210	210	211	211	211	212	212	213	213	213	214	214	215	215	216	216	217	217	218	218	219	219	220	220	221	221	222	222	223	223	224	225	225	226	226	226	227	227	228	228	228	229	229	229	230	230	231	231	231	232	232	232	233	233	234	234	234	235	235	235	235	236	236	237	237	237	237	237	238	238	238	239	239	239	239	240	240	240	241	241	241	241	242	242	243	243	243	244	244	245	245	245	246	246	246	246	246	247	247	247	247	247	248	248	248	248	248	249	249	249	249	249	250	250	250	250	251	251	251	251	251	251	251	252	252	252	252	252	252	252	252	253	253	253	253	253	253	253	253	253	253	253	253	253	254	254	254	254	254	254	254	254	254	254	254	254	254	254	254	254	254	254	253	253	253	253	253	253	253	252	252	252	252	252	252	252	252	252	251	251	251	251	251	251	250	250	250	250	249	249	249	248	248	247	247	247	247	246	246	246	246	245	245	245	244	244	244	244	243	243	243	242	242	242	241	241	241	241	240	240	239	239	239	239	238	238	237	237	236	236	236	236	235	235	235	234	234	234	233	233	232	232	232	232	231	231	230	230	230	229	229	228	228	228	227	227	226	226	225	225	224	224	224	223	223	223	222	222	222	221	221	221	220	220	220	220	220	220	220	219	219	219	219	219	219	219	219	219	219	219	219	219	219	218	218	218	218	218	218	218	218	218	218	217	217	217	217	217	217	217	217	217	217	217	217	216	216	216	216	216	216	215	215	215	214	214	214	214	214	214	213	213	212	212	212	212	211	211	210	210	210	210	209	209	209	209	208	208	208	208	208	207	207	207	206	206	206	206	205	205	205	204	204	204	204	203	203	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.00983e+06	189.395	330	94	232	337	0	189.395	47	29.1306	0	26781	18329.2	0	187361	361.75	353.352	0	0	551.836	617.043	1
180	398843	642.391	425	0	232	337	0	642.391	48	9.94057	0	26623	18447.3	0	312150	286.9	278.192	0	180	557.098	615.933	0.998202
360	155913	332.488	95	0	232	337	0	332.488	48	8.63899	0	26779.1	18484.8	0	402465	293.488	316.128	0	360	558.962	614.825	0.996406
540	1.65075e+06	471.945	462	158	232	337	0	471.945	47	23.5942	0	26694.3	18362.6	0	185833	352.26	301.111	0	540	560.696	613.72	0.994615
720	557611	294.823	516	36	232	337	0	294.823	47	17.3498	0	26701.9	18328	0	99908.9	343.072	298.11	0	720	544.931	612.616	0.992826
900	2.03545e+06	233.898	649	53	232	337	0	233.898	47	37.2157	0	26623	18328	0	242452	260.697	314.874	0	900	554.282	611.514	0.99104
1080	1.82323e+06	783.908	503	0	232	337	0	783.908	47	19.2397	0	26780.8	18407.2	0	333839	297.314	298.937	0	1080	546.635	610.415	0.989258
1260	805096	418	230	0	232	337	0	418	47	17.5084	0	26719.5	18486	0	159680	274.129	327.43	0	1260	554.797	609.317	0.987479
1440	0.000343066	32.5513	71	0	232	337	0	32.5513	47	0.00129513	0	26696	18418.8	0	157186	305.168	311.196	0	1440	555.926	608.221	0.985703
1620	887944	521.324	400	0	232	337	0	521.324	47	16.4645	0	26623	18409	0	180069	312.037	283.986	0	1620	541.08	607.127	0.98393
1800	353718	408.075	306	0	232	337	0	408.075	47.0001	11.7454	0	26623	18405.7	0	224206	267.897	316.828	0	1800	549.472	606.035	0.982161
1980	4.0498e+06	146.441	689	81	232	337	0	146.441	47	66.3667	0	26699.1	18486	0	395303	327.032	322.981	0	1980	540.891	604.946	0.980395
2160	3.31018e-07	40.6605	62	0	232	337	0	40.6605	47	-3.59956e-05	0	26687.4	18435.3	0	167847	318.701	309.73	0	2160	536.967	603.858	0.978632
2340	1.63502e+06	470	436	119	232	337	0	470	47	23.53	0	26736.1	18345.7	0	160245	347.974	265.427	0	2340	544.877	602.772	0.976872
2520	1.21953e+06	582	257	0	232	337	0	582	47	18.2619	0	26781	18486	0	199376	392.064	358.177	0	2520	519.188	601.688	0.975115
2700	833760	663.112	367	0	232	337	0	663.112	48	14.1461	0	26702.5	18328.3	0	317616	297.709	318.73	0	2700	540.91	600.606	0.973361
2880	367827	359.879	422	100	232	337	0	359.879	47	12.7542	0	26725.8	18407	0	234983	327.045	300.059	0	2880	554.434	599.525	0.971611
3060	1.62535e+06	594	848	0	232	337	0	594	48	20.8685	0	26781	18328	0	316414	346.534	264.481	0	3060	547.277	598.447	0.969863
3240	3.42059e+07	526.959	1360	135	232	337	0	526.959	48	104	0	26781	18328	0	1.46179e+06	392.075	199.4	0	3240	547.005	597.371	0.968119
3420	3.3138e+07	1228.16	4680	1367	232	337	0	1228.16	48	65.5504	0	26725	18419	0	941727	349.315	326.644	0	3420	554.576	596.297	0.966378
3600	3.63226e+07	559.569	2952	427	232	337	0	559.569	48	104	0	26623	18367.2	0	853595	268.441	278.236	0	3600	555.709	595.224	0.96464
3780	5.06168e+07	779.778	4815	844	221	338	0	779.778	48	104	0	26772.5	17558.7	0	1.04635e+06	325.836	338.667	0	3780	550.763	594.154	0.962905
3960	0.0716859	41.0134	92	6	221	338	0	41.0134	47.972	0.0166788	0	26702.6	17605.6	0	230648	266.604	339.897	0	3960	551.285	593.085	0.961174
4140	5.30879e+06	121.76	711	264	221	338	0	121.76	47.8766	83.6891	0	26778.1	17617	0	420634	345.316	329.298	0	4140	546.589	592.019	0.959445
4320	1.16844e+06	235.353	286	0	221	338	0	235.353	48	28.1096	0	26702	17459	0	313277	305.823	260.57	0	4320	548.494	590.954	0.95772
4500	394957	116.799	496	0	221	338	0	116.799	47.7697	23.1988	0	26702	17459	0	301923	326.187	280.739	0	4500	552.392	589.891	0.955997
4680	204537	252.582	113	0	221	338	0	252.582	47	11.3526	0	26859.9	17538.6	0	128368	364.652	301.127	0	4680	547.419	588.831	0.954278
4860	831106	727.773	221	0	221	338	0	727.773	47	13.4816	0	26780.3	17459	0	253518	405.212	252.338	0	4860	555.397	587.772	0.952562
5040	8.53859e+06	327.981	1001	175	221	338	0	327.981	48	64.3842	0	26860	17459	0	432569	350.234	324.607	0	5040	557.548	586.715	0.950849
5220	8.15923e+06	125.697	898	203	221	338	0	125.697	48	104	0	26702	17538.9	0	497884	310.179	290.061	0	5220	551.929	585.659	0.949139
5400	1.51483e+06	790.578	560	248	221	338	0	790.578	48	17.463	0	26780.4	17514.7	0	404529	275.496	310.84	0	5400	560.662	584.606	0.947432
5580	3.00827e+06	1184	932	23	221	338	0	1184	48	20.1091	0	26702	17491.8	0	779024	340.473	352.719	0	5580	552.682	583.555	0.945728
5760	2.72176e+06	783.952	629	392	221	338	0	783.952	48	23.5066	0	26762.3	17537.8	0	421180	315.129	344.126	0	5760	549.84	582.505	0.944027
