MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_5.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	17
LIMIT-FIT-SIGMA-XY-MAX	159
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	42
LIMIT-FIT-BGD-MAX	43
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	208	209	209	210	210	211	211	212	212	213	214	214	215	215	216	216	217	217	218	218	219	219	220	220	221	221	222	222	223	223	224	224	225	225	225	226	226	227	227	228	228	228	229	229	230	230	230	231	231	232	232	232	233	234	234	235	235	235	236	236	237	237	237	238	238	239	239	239	240	240	241	241	242	242	242	243	243	244	244	245	245	245	246	246	246	247	247	248	248	249	249	249	250	250	251	251	252	252	252	253	253	254	254	254	255	255	256	256	257	257	258	258	258	259	259	260	260	261	261	262	262	262	263	263	263	264	264	264	265	265	266	266	266	267	267	267	268	268	268	268	268	268	268	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	270	270	270	270	270	270	270	270	270	269	269	269	268	268	268	267	267	267	266	266	265	265	265	265	264	264	263	263	263	262	262	262	261	261	260	260	259	259	258	258	257	257	256	256	255	254	254	254	253	253	252	252	251	251	250	250	249	249	248	248	247	247	246	246	245	245	245	244	244	243	243	242	242	241	241	240	240	239	239	238	238	237	237	236	236	235	235	235	234	234	233	233	232	232	232	232	231	231	230	230	229	229	228	228	227	227	226	226	225	225	224	224	223	223	222	222	221	221	220	220	219	219	218	218	217	217	216	216	215	215	214	214	213	213	212	212	212	211	211	210	210	210	209	209	209	209	208	208	208	208	207	207	207	207	207	206	206	206	206	206	205	205	205	205	204	204	204	204	203	203	202	202	201	201	200	200	200	199	199	198	198	197	197	196	196	195	195	194	194	193	193	192	192	191	191	190	190	189	189	188	188	187	187	186	185	185	184	184	184	183	183	183	183	183	182	182	182	182	181	181	181	181	180	180	180	180	179	179	179	179	179	178	178	178	178	178	177	177	177	177	177	177	177	177	176	176	176	176	176	176	176	176	176	176	176	176	176	176	176	176	176	176	177	177	177	177	177	177	177	177	177	178	178	178	178	178	178	178	178	178	179	179	179	180	180	180	180	181	181	181	181	181	182	182	183	183	183	184	184	184	185	185	186	186	186	187	187	188	188	188	188	189	189	189	190	190	190	191	191	192	193	193	194	194	195	195	196	196	196	197	197	197	198	198	198	199	200	200	201	201	202	202	202	203	203	204	204	205	206	206	END
Y_POS	147	147	147	147	147	147	147	147	147	147	147	147	147	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	147	147	147	147	147	147	147	147	147	146	146	146	146	146	146	146	146	146	146	146	146	145	145	145	145	145	145	145	145	145	145	145	145	144	144	144	144	144	144	144	144	144	144	143	143	143	143	143	143	143	143	143	142	142	142	142	142	141	141	141	141	141	140	140	140	140	140	140	140	140	139	139	139	139	139	139	138	138	138	138	138	137	137	137	137	137	136	136	135	135	135	134	134	134	133	133	133	133	132	132	131	131	131	130	130	129	129	128	128	128	127	127	126	126	125	125	124	124	123	123	122	122	121	121	120	120	119	119	118	118	118	117	117	117	117	117	116	116	116	116	116	115	115	115	115	115	115	114	114	114	114	114	114	114	114	113	113	113	113	113	113	113	113	112	112	112	112	112	112	112	112	112	112	111	111	111	111	111	111	111	111	111	111	111	111	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	111	111	111	111	111	111	112	112	112	112	112	112	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	112	112	112	111	111	111	110	110	109	109	108	108	108	107	107	107	106	106	106	105	105	105	105	104	104	104	104	103	103	103	103	102	102	102	102	102	102	102	101	101	101	101	101	101	101	101	101	101	101	101	101	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	101	101	101	101	101	101	102	102	102	103	103	103	103	104	104	105	105	106	106	106	107	107	107	108	108	108	109	109	109	110	110	110	110	111	111	112	112	112	113	113	113	114	114	115	115	116	117	117	118	118	119	119	120	120	121	121	122	122	123	123	124	124	125	125	125	126	126	127	127	128	128	129	129	129	130	130	131	131	132	132	132	133	133	133	134	134	134	135	135	136	136	136	136	137	137	138	138	139	139	139	139	139	140	140	141	141	141	141	141	142	142	142	142	143	143	143	144	144	144	144	145	145	145	145	145	145	146	146	146	146	146	146	146	146	147	147	147	147	147	147	147	147	148	148	148	148	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	569680	313.728	218	18	138	201	0	313.728	42	17	0	16037	11060	0	145136	233.829	320.29	0	0	738.673	762.965	1
180	474771	260.25	289	52	138	201	0	260.25	43	17.0395	0	15897.7	10987.8	0	185299	303.835	330.407	0	180	715.022	761.593	0.998201
360	1.11016e+06	103.366	338	0	138	201	0	103.366	43	41.3442	0	15879	11060	0	212902	264.69	350.042	0	360	746.143	760.223	0.996406
540	461257	229.339	252	0	138	201	0	229.339	43	17.8913	0	16037	10981.1	0	182798	354.255	307.845	0	540	738.657	758.856	0.994614
720	5780.62	2.89352	177	0	138	201	0	2.89352	42	17.8313	0	16036.8	11059.1	0	182343	336.652	345.396	0	720	735.237	757.492	0.992826
900	2.28674e+06	130.932	816	0	138	201	0	130.932	43	52.7229	0	16037	11032.7	0	247764	326.061	333.887	0	900	746.101	756.129	0.99104
1080	342772	6.08617	107	0	138	201	0	6.08617	42	95.9752	0	16037	10902	0	248529	348.461	255.663	0	1080	727.098	754.769	0.989258
1260	3.44574e+06	80.4167	405	50	138	201	0	80.4167	42.1916	82.9346	0	16037	10902	0	450187	369.644	317.753	0	1260	731.931	753.412	0.987479
1440	1.01869e+06	219.42	412	0	138	201	0	219.42	42	27.1827	0	16007.4	10902	0	153760	365.081	282.779	0	1440	723.424	752.057	0.985703
1620	148711	81.3424	224	0	138	201	0	81.3424	42	17.0578	0	16037	11058.1	0	166742	351.562	311.854	0	1620	719.83	750.705	0.98393
1800	3.0012e+06	89.6568	221	14	138	201	0	89.6568	42	73.0768	0	16037	10902	0	319792	339.817	257.06	0	1800	710.576	749.355	0.982161
1980	5.45745e+06	212.216	626	200	138	201	0	212.216	42	63.9895	0	15879	11060	0	348233	265.188	305.798	0	1980	718.05	748.007	0.980395
2160	339044	186.658	234	0	138	201	0	186.658	42	17.0026	0	15879.5	10980.7	0	233652	283.691	368.127	0	2160	711.347	746.662	0.978631
2340	687393	378.552	283	0	138	201	0	378.552	43	17	0	15993.9	11060	0	314553	341.348	315.507	0	2340	687.234	745.319	0.976872
2520	1.01386e+06	558.341	424	99	138	201	0	558.341	42	17	0	16036.8	11060	0	346809	322.592	283.657	0	2520	702.232	743.979	0.975115
2700	311071	171.277	145	40	138	201	0	171.277	43	17.0016	0	15888.5	10981.4	0	318529	303.606	272.339	0	2700	684.415	742.641	0.973361
2880	4.03198e-11	2.22045e-14	4	0	138	201	0	2.22045e-14	43	17	0	16037	11059.7	0	405505	231.322	311.263	0	2880	695.219	741.305	0.971611
3060	74940.5	40.7164	144	0	138	201	0	40.7164	42	17.1153	0	16036	10983.8	0	313243	306.086	282.954	0	3060	663.757	739.972	0.969863
3240	1.36529e+06	681.972	416	93	138	201	0	681.972	42	17.8501	0	16010.9	10981.6	0	242739	282.427	310.446	0	3240	676.499	738.641	0.968119
3420	805112	11.62	119	0	138	201	0	11.62	42	108.07	0	16037	11060	0	248707	376.059	336.739	0	3420	700.218	737.313	0.966378
3600	941767	518.633	261	8	138	201	0	518.633	43	17.0001	0	16037	11027.8	0	235465	315.865	337.426	0	3600	689.444	735.987	0.96464
3780	1.75221e+07	147.796	669	0	138	201	0	147.796	42	158.999	0	16037	11003.1	0	622321	410.904	330.164	0	3780	683.032	734.663	0.962905
3960	6.63582e+07	1086.29	6179	1147	138	201	0	1086.29	43	100.439	0	15924.9	11022.3	0	1.41119e+06	294.162	347.592	0	3960	669.017	733.342	0.961174
4140	1.62472e+06	44.8222	124	0	138	201	0	44.8222	42	76.0945	0	15879	10902	0	229936	326.612	249.802	0	4140	658.266	732.023	0.959445
4320	1.78677e+06	861.718	611	275	138	201	0	861.718	42	18.1661	0	15980.7	10980	0	302111	291.87	296.054	0	4320	668.346	730.707	0.95772
4500	547610	280	336	0	138	201	0	280	42	17.6428	0	15879	11060	0	95940.5	283.664	295.063	0	4500	665.285	729.393	0.955997
4680	9.20369e+07	1249.15	8275	1294	119	191	0	1249.15	42	112.172	0	15182.9	9510.85	0	956738	342.539	343.903	0	4680	671.814	728.081	0.954278
4860	5.23255e+07	816.817	5032	793	119	191	0	816.817	42	103.208	0	15153.2	9508.28	0	1.07706e+06	295.889	347.573	0	4860	657.012	726.772	0.952562
5040	7.49528e+07	858.967	6364	525	118	185	0	858.967	42	125.132	0	14727.8	9362.27	0	1.50068e+06	338.239	284.411	0	5040	664.665	725.465	0.950849
5220	4.60917e+06	177.513	642	0	118	185	0	177.513	43	64.2992	0	14773	9480	0	401354	351.841	328.591	0	5220	658.739	724.16	0.949139
5400	5.36737e+07	756.043	5177	997	118	186	0	756.043	42	109.66	0	14771.3	9372.18	0	953526	292.015	272.64	0	5400	643.936	722.858	0.947432
5580	953135	524.9	345	25	118	186	0	524.9	42.9999	17	0	14829.2	9322	0	320940	329.694	325.523	0	5580	648.116	721.558	0.945728
5760	8.17272e+06	68.9351	634	46	118	186	0	68.9351	43	159	0	14694	9322	0	453449	310.107	248.073	0	5760	657.709	720.26	0.944027
5940	1.63753e+07	168.564	939	99	118	186	0	168.564	43	135.049	0	14852	9322	0	696553	392.549	286.75	0	5940	648.176	718.965	0.94233
