MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_6.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	62
LIMIT-FIT-SIGMA-XY-MAX	180
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	34
LIMIT-FIT-BGD-MAX	35
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	261	262	262	263	264	264	264	265	265	266	266	267	267	267	268	268	268	269	269	269	270	270	270	270	270	270	270	271	271	271	271	271	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	271	271	271	271	271	270	270	270	270	270	269	269	268	268	268	267	267	267	266	266	266	265	265	265	264	264	264	264	263	263	263	263	262	262	261	261	261	260	260	259	259	259	258	258	257	257	256	256	256	255	255	255	254	254	253	253	252	251	251	250	250	249	249	248	247	246	246	245	245	244	244	243	243	242	242	241	241	240	239	239	238	238	237	237	236	236	234	234	233	232	232	231	230	230	229	228	228	227	226	226	225	225	224	224	223	222	222	221	220	220	219	219	219	218	218	217	217	216	216	216	215	215	214	213	213	212	212	212	211	210	210	209	208	208	207	207	206	206	205	205	204	204	203	203	202	201	201	201	200	200	199	199	198	198	197	197	196	196	196	196	195	195	195	194	194	194	193	193	193	192	192	192	192	191	191	191	190	190	190	190	190	190	190	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	190	190	190	190	190	190	190	190	191	191	191	191	192	192	192	192	192	193	193	193	194	194	194	195	195	195	196	196	196	197	197	198	198	198	199	199	199	200	200	200	201	201	201	202	202	202	203	203	203	204	204	204	205	205	205	206	206	207	207	207	208	208	208	209	209	210	210	212	212	213	213	214	214	214	215	215	216	216	216	217	217	218	218	218	218	219	220	220	221	221	221	221	222	222	223	223	224	225	225	226	226	226	227	227	228	228	229	229	229	230	230	231	231	232	232	233	234	234	235	235	236	236	237	238	238	239	239	240	240	241	242	243	244	245	246	246	247	247	248	248	249	249	250	250	251	251	252	253	253	254	254	255	255	256	256	257	257	257	258	258	258	258	259	259	259	259	259	259	259	END
Y_POS	284	284	284	284	284	284	283	283	282	282	282	281	281	280	280	280	279	279	279	278	278	277	277	277	276	276	275	275	275	274	274	273	273	273	272	272	271	271	270	270	269	269	269	268	268	267	267	266	266	265	265	264	264	263	263	262	262	261	260	260	259	259	258	258	257	257	256	256	256	255	255	254	254	254	253	253	252	251	251	250	250	250	249	249	249	249	248	248	248	248	247	247	247	247	246	246	246	245	245	245	245	244	244	244	244	243	243	243	242	242	242	242	242	241	241	241	241	241	241	241	240	240	240	240	240	239	239	239	239	239	239	239	239	239	238	238	238	238	238	238	238	238	238	237	237	237	237	237	237	237	237	237	237	236	236	236	236	236	236	236	235	235	235	235	235	235	235	235	235	235	234	234	234	234	234	234	233	233	233	233	233	233	233	232	232	232	232	232	232	232	232	232	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	232	232	232	232	232	232	233	233	233	234	234	234	234	235	235	235	236	236	236	237	237	237	238	238	238	238	239	239	240	240	241	241	242	242	242	243	243	244	244	245	245	246	246	247	247	248	248	249	249	250	250	251	251	252	252	253	253	254	254	255	255	255	256	256	256	257	257	258	258	259	259	260	260	260	261	261	262	262	262	263	263	263	264	264	264	265	265	265	266	266	266	267	267	267	268	268	268	268	269	269	269	270	270	270	271	271	271	271	272	272	272	272	272	273	273	273	273	273	274	274	274	274	274	274	274	275	275	276	276	276	276	276	276	277	277	277	277	278	278	278	278	278	278	278	279	279	279	279	279	280	280	280	280	280	280	281	281	282	282	282	282	282	282	283	283	283	283	283	284	284	284	284	284	285	285	285	286	286	286	286	286	286	286	287	287	287	287	287	287	287	288	288	288	288	288	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	289	288	288	288	288	288	287	287	287	286	286	286	285	285	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	7.55351e+06	132.635	593	0	264	216	0	132.635	34	96.5676	0	17064	20856	0	342034	208.665	235.677	0	0	647.26	807.897	1
180	3.14512e+06	106.556	503	0	264	216	0	106.556	34	68.577	0	17143.3	21014	0	169305	283.887	384.116	0	180	654.006	806.444	0.998202
360	515194	21.3364	267	0	264	216	0	21.3364	34	62	0	17119.9	20856	0	121850	317.989	326.942	0	360	665.401	804.994	0.996406
540	2.7331e+06	113.19	387	0	264	216	0	113.19	34	62	0	17222	20924.1	0	161819	277.166	323.201	0	540	651.24	803.546	0.994615
720	3.59393e+06	59.8653	484	0	264	216	0	59.8653	34	99.4559	0	17064	21014	0	227501	300.596	410.288	0	720	660.639	802.101	0.992826
900	820157	33.9663	248	117	264	216	0	33.9663	34	62	0	17156.3	20899	0	120384	280.372	342.121	0	900	650.434	800.658	0.99104
1080	2.47579e+06	102.533	499	221	264	216	0	102.533	34	62	0	17161.6	20892	0	178239	314.34	246.668	0	1080	658.755	799.218	0.989258
1260	1.7678e+07	732.126	1923	155	264	216	0	732.126	35	62	0	17193	20856	0	554338	362.7	285.629	0	1260	646.874	797.781	0.987479
1440	7.19841e+06	59.0688	776	18	264	216	0	59.0688	34	163.127	0	17064	20856	0	361850	254.673	270.824	0	1440	648.55	796.346	0.985703
1620	3.95123e+06	102.145	850	124	264	216	0	102.145	34	78.667	0	17130.4	20896.5	0	147292	298.021	273.372	0	1620	651.846	794.914	0.983931
1800	3.73349e+06	154.62	611	25	264	216	0	154.62	35	62	0	17064	21014	0	187949	277.276	308.304	0	1800	636.515	793.485	0.982161
1980	3.50357e+06	145.098	537	0	264	216	0	145.098	34	62	0	17222	20979.1	0	151941	295.882	326.893	0	1980	651.802	792.058	0.980395
2160	7.90084e+06	327.209	867	0	264	216	0	327.209	34	62	0	17217.9	21013.1	0	206054	352.757	353.866	0	2160	643.349	790.633	0.978632
2340	2.3312e+06	96.545	576	0	264	216	0	96.545	35	62	0	17116	20999.7	0	138942	361.717	286.353	0	2340	657.044	789.211	0.976872
2520	2.37875e+06	98.5147	608	0	264	216	0	98.5147	34	62	0	17192.5	20856	0	141813	306.822	293.236	0	2520	639.15	787.792	0.975115
2700	2.77118e+06	79.2901	397	22	264	216	0	79.2901	34	74.6945	0	17185.1	21014	0	202062	353.762	329.746	0	2700	653.283	786.375	0.973361
2880	2.56684e+06	19.121	145	0	264	216	0	19.121	35	180	0	17064	21014	0	303910	251.703	370.203	0	2880	665.297	784.961	0.971611
3060	0.0592971	4.41716e-07	61	26	264	216	0	4.41716e-07	34	180	0	17222	21014	0	151051	383.095	361.143	0	3060	652.382	783.55	0.969863
3240	905728	37.44	339	0	264	216	0	37.44	34	62.0582	0	17064	20869.8	0	142705	317.704	306.585	0	3240	633.527	782.14	0.968119
3420	3.32781e+06	137.819	575	244	264	216	0	137.819	34	62	0	17139.6	20921.2	0	171130	300.43	282.563	0	3420	658.034	780.734	0.966378
3600	686571	28.4337	349	122	264	216	0	28.4337	34.4807	62.0003	0	17164.1	20937.6	0	162701	369.939	342.816	0	3600	647.884	779.33	0.96464
3780	3.46717e+06	143.591	500	77	264	216	0	143.591	35	62	0	17064	20956.9	0	302392	342.126	360.615	0	3780	645.682	777.928	0.962906
3960	6.30089e+07	679.269	5078	590	264	216	0	679.269	34	130.584	0	17095.1	20967	0	1.16609e+06	283.728	346.912	0	3960	659.15	776.529	0.961174
4140	1.69478e+08	1613.69	11952	1765	266	219	0	1613.69	34	143.393	0	17350	21044.9	0	2.7501e+06	294.378	271.502	0	4140	654.504	775.133	0.959445
4320	1.36444e+08	1333.11	9649	1240	265	216	0	1333.11	34.0009	140.509	0	17121.6	20968.4	0	2.4476e+06	312.213	280.023	0	4320	645.791	773.739	0.95772
4500	6.77409e+07	621.47	4650	629	265	214	0	621.47	34.0001	147.792	0	16974.6	21012.5	0	848218	311.532	321.851	0	4500	653.195	772.347	0.955997
4680	7.6706e+07	903.567	6096	762	265	216	0	903.567	35	122.829	0	17175.4	21002	0	1.36535e+06	335.854	325.798	0	4680	643.813	770.958	0.954278
4860	6.96225e+07	769.31	5341	1421	263	212	0	769.31	35	128.326	0	16853.3	20806.3	0	1.90782e+06	340.003	273.126	0	4860	648.656	769.572	0.952562
5040	6.92472e+07	648.252	4890	778	264	210	0	648.252	35	145.364	0	16679.3	20934.1	0	1.34206e+06	337.145	324.93	0	5040	645.348	768.188	0.950849
5220	8.64251e+07	682.555	5235	737	262	213	0	682.555	34.0001	169.321	0	16849.3	20709.3	0	1.74885e+06	286.445	274.808	0	5220	644.784	766.806	0.949139
