MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_7.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	-10
LIMIT-FIT-SIGMA-XY-MAX	138
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	49
LIMIT-FIT-BGD-MAX	50
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	159	158	158	158	158	157	157	156	156	156	155	155	155	155	154	154	153	153	153	152	152	151	151	150	150	149	149	148	147	147	146	146	146	145	145	144	144	143	143	142	142	141	141	140	140	139	139	138	138	137	137	136	135	135	134	134	133	133	132	132	131	131	130	129	129	128	128	127	127	126	126	125	125	124	124	123	123	122	122	121	121	120	120	120	119	119	119	118	118	118	117	117	117	116	116	116	115	115	115	114	114	114	114	114	113	113	113	112	112	112	112	111	111	111	111	110	110	110	110	110	109	109	109	108	108	108	108	108	107	107	107	107	106	106	106	106	106	106	105	105	105	105	104	104	104	103	103	103	103	102	102	102	101	101	100	100	100	99	99	98	98	98	97	96	96	95	95	94	93	93	92	92	91	90	90	89	89	88	88	88	87	87	86	86	85	85	84	84	84	83	83	82	82	82	81	81	80	80	79	79	79	78	78	77	77	77	76	76	75	75	75	74	74	74	73	73	72	72	71	71	71	71	71	70	70	70	70	69	69	69	69	69	69	68	68	68	68	68	68	68	68	67	67	67	67	67	67	67	67	67	67	66	66	66	66	66	66	66	66	67	67	67	67	67	68	68	68	69	69	69	69	69	70	70	70	71	71	72	72	72	73	73	74	74	75	75	76	76	77	77	78	78	78	79	79	80	80	81	81	82	82	83	83	84	84	84	85	85	86	86	86	86	87	87	88	88	88	88	89	89	89	89	90	90	90	90	91	91	92	92	92	92	93	93	94	94	94	95	95	95	96	96	96	97	97	97	98	98	98	99	100	100	101	101	102	102	103	103	104	104	105	105	106	106	107	107	108	108	109	110	110	111	111	112	113	113	114	114	115	115	116	116	117	117	118	118	119	119	120	120	121	121	122	122	122	123	123	123	124	125	125	126	126	127	127	128	128	128	129	129	130	131	131	132	132	133	133	134	134	135	135	136	136	137	138	138	139	140	140	141	141	142	142	143	144	144	145	145	146	146	147	147	148	148	149	149	150	150	151	151	152	152	153	154	154	155	156	156	156	156	157	157	157	157	157	158	158	158	158	158	159	159	159	160	160	160	160	160	160	161	161	161	161	161	161	161	161	161	161	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	END
Y_POS	196	195	195	195	194	194	194	194	194	194	194	193	193	193	193	193	193	192	192	192	192	192	192	192	192	191	191	191	191	191	191	190	190	190	190	190	190	190	190	190	190	190	190	190	190	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	190	190	190	190	190	190	190	190	191	191	191	191	191	191	191	192	192	192	192	192	193	193	193	193	194	194	194	194	194	195	195	195	195	196	196	196	196	196	197	197	197	198	198	198	198	198	199	199	200	200	200	200	201	201	201	202	202	203	203	203	204	204	205	205	205	206	206	206	207	207	207	208	208	209	209	210	210	210	210	211	211	211	212	212	212	212	213	213	213	213	214	214	214	214	214	214	215	215	215	215	215	215	215	215	215	215	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	217	217	217	217	217	217	217	217	217	217	217	217	218	218	218	218	218	218	218	218	218	218	219	219	219	219	219	220	220	220	220	221	221	221	222	222	222	222	223	223	224	224	224	225	225	226	226	226	227	227	228	228	229	229	230	230	231	231	232	232	233	233	234	234	235	235	236	236	237	237	238	238	238	239	239	239	240	240	240	240	241	241	241	242	242	242	242	242	243	243	243	243	243	243	243	243	243	243	243	243	243	243	243	243	243	243	242	242	242	241	241	241	241	241	240	240	240	239	239	239	239	238	238	238	238	237	237	237	237	236	236	236	236	235	235	235	235	234	234	234	234	233	233	233	233	233	232	232	232	232	232	231	231	231	231	231	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	229	229	229	229	229	229	229	229	229	229	229	229	229	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	229	228	228	228	227	227	227	226	226	226	225	225	224	224	224	223	223	222	222	222	221	221	221	220	220	219	219	219	218	218	217	217	217	216	216	215	215	214	214	213	213	212	212	211	211	210	210	209	209	208	208	207	207	206	206	205	205	204	204	203	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.94829e+06	790	489	0	236	74	0	790	49	19.8117	0	5846	18676.4	0	228134	339.119	258.956	0	0	746.163	931.618	1
180	3.74105	28.313	176	0	236	74	0	28.313	49	0.145015	0	5857.1	18655.9	0	244800	296.099	344.146	0	180	755.037	929.942	0.998202
360	9.9137e+07	1537.6	9867	1308	236	74	0	1537.6	50	103.594	0	5946.57	18739.4	0	1.40822e+06	345.634	335.876	0	360	750.283	928.27	0.996406
540	1.7815e+08	2041.05	14061	1783	233	77	0	2041.05	49.9999	125.156	0	6172.44	18515.5	0	2.23238e+06	327.964	339.185	0	540	772.215	926.6	0.994615
720	1.313e+06	1075.68	362	136	233	77	0	1075.68	50	13.938	0	6162.11	18528.9	0	828736	258.543	208.752	0	720	760.214	924.934	0.992826
900	1.09992e+06	457.999	480	0	233	77	0	457.999	49	19.5505	0	6161.86	18565	0	158109	334.432	323.795	0	900	786.95	923.271	0.99104
1080	472653	360.75	336	77	233	77	0	360.75	49	14.4404	0	6206.57	18485.4	0	167584	294.567	298.847	0	1080	777.279	921.61	0.989258
1260	592334	560.976	243	0	233	77	0	560.976	49	12.9635	0	6128.76	18565	0	171967	330.259	396.009	0	1260	781.344	919.953	0.987479
1440	1.90002e+06	191.608	567	73	233	77	0	191.608	49	39.7266	0	6165.09	18565	0	199250	301.915	350.397	0	1440	782.812	918.298	0.985703
1620	727179	566.762	449	78	233	77	0	566.762	50	14.2899	0	6112.21	18483	0	415740	314.076	372.968	0	1620	785.94	916.647	0.983931
1800	1.76775e+06	100.47	306	0	233	77	0	100.47	49	52.9181	0	6083	18413	0	171554	317.1	295.33	0	1800	776.767	914.998	0.982161
1980	649203	458.57	398	0	233	77	0	458.57	49	15.0106	0	6083	18482.4	0	157505	286.107	316.901	0	1980	780.17	913.353	0.980395
2160	48473	57.6912	99	59	233	77	0	57.6912	50	11.5639	0	6169.77	18498.9	0	318529	277.098	336.22	0	2160	771.466	911.71	0.978632
2340	3.71696e-06	6.10715	415	35	233	77	0	6.10715	50	-0.000311232	0	6103.03	18407.1	0	273063	290.874	267.339	0	2340	780.082	910.071	0.976872
2520	1.28992e+06	529.727	394	104	233	77	0	529.727	49	19.6864	0	6162.05	18432.1	0	166141	316.421	302.517	0	2520	780.073	908.434	0.975115
2700	2.34856e+06	48.869	273	0	233	77	0	48.869	49	88.0853	0	6083.01	18565	0	310828	280.604	347.478	0	2700	803.656	906.8	0.973361
2880	856088	393.312	288	0	233	77	0	393.312	49	18.6123	0	6241	18407	0	216581	344.026	318.674	0	2880	805.486	905.17	0.971611
3060	8.78451e+06	87.8616	490	0	233	77	0	87.8616	50	138	0	6241	18565	0	709098	365.571	369.383	0	3060	808.677	903.542	0.969863
3240	2.05341e+06	492.885	690	50	233	77	0	492.885	49	25.7499	0	6083	18407	0	200689	283.799	321.17	0	3240	782.229	901.917	0.968119
3420	235502	20.6384	357	0	233	77	0	20.6384	49	42.6157	0	6083	18449.6	0	150755	284.583	333.523	0	3420	788.81	900.295	0.966378
3600	316505	394.702	208	0	233	77	0	394.702	50	11.2971	0	6083.12	18408.3	0	245667	302.637	299.655	0	3600	785.05	898.676	0.96464
3780	796047	63.4201	435	0	233	77	0	63.4201	49	44.6957	0	6137.9	18407	0	228127	301.804	322.432	0	3780	798.188	897.06	0.962906
3960	0.000985653	53.7214	86	0	233	77	0	53.7214	50	0.00170883	0	6108.19	18407	0	236076	305.605	259.459	0	3960	788.524	895.446	0.961174
4140	2.13755e+06	28.8701	390	115	233	77	0	28.8701	49	112.51	0	6126.3	18407	0	247628	340.907	248.634	0	4140	797.086	893.836	0.959445
4320	1.11871e+06	502	438	140	233	77	0	502	49	18.8329	0	6181.6	18524.5	0	212229	342.856	299.56	0	4320	782.568	892.229	0.95772
4500	2.5088e+06	456.482	686	38	233	77	0	456.482	50	29.5754	0	6083	18502	0	312715	292.536	299.186	0	4500	784.519	890.624	0.955997
4680	904968	642.318	345	0	233	77	0	642.318	50	14.9745	0	6240.64	18485.7	0	398389	418.576	308.969	0	4680	807.838	889.022	0.954278
4860	839313	585.96	398	66	233	77	0	585.96	49.6428	15.0987	0	6185.79	18423.7	0	287616	343.821	250.326	0	4860	809.531	887.424	0.952562
5040	1.14503e+08	1814.9	10824	1971	220	114	0	1814.9	50	102.306	0	9121.84	17469.1	0	1.48498e+06	356.989	326.179	0	5040	802.416	885.828	0.950849
5220	6.69736e+07	1138.28	6843	869	212	114	0	1138.28	49.9998	98.3378	0	9044.34	16853.4	0	1.55789e+06	285.413	341.523	0	5220	797.813	884.235	0.949139
5400	999173	610.84	475	134	212	114	0	610.84	49	16.1349	0	9059.21	16792.3	0	345058	350.087	250.822	0	5400	803.37	882.644	0.947432
5580	3.9271e+06	39.2784	180	0	212	114	0	39.2784	50	138	0	9006	16748	0	574054	288.821	248.989	0	5580	801.498	881.057	0.945728
5760	5.57634e+07	981.169	4956	1367	208	113	0	981.169	49	96.4584	0	8962.65	16545.1	0	1.41821e+06	284.825	348.848	0	5760	796.377	879.473	0.944027
5940	4.20659e+06	44.6772	459	79	208	113	0	44.6772	49	131.992	0	8927	16590	0	430241	291.193	342.875	0	5940	813.573	877.891	0.94233
6120	311730	511.407	280	0	208	113	0	511.407	49	9.84955	0	8927.37	16590	0	193075	353.627	375.67	0	6120	817.073	876.312	0.940635
6300	7.81944e+07	942.126	6242	1466	216	128	0	942.126	49	121.001	0	10208.3	17069.8	0	2.7187e+06	327.024	253.221	0	6300	805.176	874.736	0.938943
6480	6.04678e+07	678.486	4913	639	209	126	0	678.486	49	126.962	0	10035.1	16562.1	0	1.06828e+06	308.137	302.071	0	6480	808.826	873.163	0.937255
6660	8.84605e+07	1472.24	8588	1472	208	119	0	1472.24	50	99.5043	0	9492.45	16483.4	0	1.78266e+06	324.136	317.059	0	6660	811.656	871.593	0.935569
6840	1.2352e+06	815.751	499	36	208	119	0	815.751	50	15.5239	0	9557.32	16481.6	0	614279	349.889	296.592	0	6840	815.226	870.025	0.933887
7020	8.90246e+07	1415.31	8660	1314	210	130	0	1415.31	50	102.129	0	10320.4	16667.3	0	1.62661e+06	281.386	327.535	0	7020	814.087	868.461	0.932207
7200	1.35208e+08	1761.32	11617	1794	208	132	0	1761.32	49.0001	115.071	0	10501.7	16541.5	0	1.84225e+06	312.505	342.614	0	7200	822.666	866.899	0.930531
7380	2.55451e+08	2554.99	17267	2563	204	129	0	2554.99	50	138	0	10274.8	16236.9	0	6.50953e+06	325.94	359.19	0	7380	820.703	865.34	0.928857
7560	1.95611e+08	1956.48	12213	1411	206	135	0	1956.48	50	138	0	10756.8	16393.2	0	7.43434e+06	322.142	347.576	0	7560	814.668	863.784	0.927187
7740	1.1558e+08	1319.84	9261	1574	208	138	0	1319.84	49.9998	125.438	0	11018.6	16477	0	2.74685e+06	354.553	297.804	0	7740	843.964	862.23	0.92552
7920	527788	840	362	0	208	138	0	840	49	-10	0	11060	16590	0	292444	336.902	296.311	0	7920	815.86	860.68	0.923855
8100	3.35383e+06	810	702	0	208	138	0	810	49	25.6707	0	11006	16432	0	275427	361.155	290.397	0	8100	833.402	859.132	0.922194
8280	4.28041e+06	42.8122	97	0	208	138	0	42.8122	50	138	0	11060	16432	0	573216	381.049	269.923	0	8280	825.13	857.587	0.920535
8460	1.20069e+08	1461.9	10465	1288	201	146	0	1461.9	50	120.17	0	11620.3	15964.3	0	3.00239e+06	319.155	329.528	0	8460	816.872	856.045	0.91888
8640	9.19451e+07	1143.82	7838	1367	206	143	0	1143.82	49	118.501	0	11370.2	16309.6	0	2.42203e+06	311.272	276.689	0	8640	837.143	854.505	0.917227
8820	7.6514e+06	76.5285	569	0	206	143	0	76.5285	50	138	0	11297	16432	0	661361	245.379	323.584	0	8820	825.746	852.968	0.915578
9000	771506	596.247	224	83	206	143	0	596.247	49	14.3505	0	11375.9	16304.5	0	304069	310.722	276.479	0	9000	833.015	851.434	0.913931
9180	1.75494e+08	1755.27	13217	1471	206	129	0	1755.27	49.9999	138	0	10239.5	16309.3	0	5.85507e+06	287.739	288.349	0	9180	828.916	849.903	0.912288
9360	2.30354e+08	2967.23	20108	2373	206	135	0	2967.23	49.0001	115.89	0	10757.4	16370.5	0	5.62828e+06	324.517	323.569	0	9360	817.66	848.375	0.910647
9540	1.86836e+08	1969.47	14183	1963	207	136	0	1969.47	49.9995	132.714	0	10814.5	16407.8	0	3.4126e+06	302.027	299.875	0	9540	832.183	846.849	0.909009
9720	1.11136e+08	1336.37	9891	1204	207	134	0	1336.37	49.0001	121.16	0	10652.6	16425.6	0	3.77818e+06	302.068	315.027	0	9720	834.299	845.326	0.907375
9900	9.78577e+07	1254.48	8544	843	209	138	0	1254.48	49	116.243	0	10983.2	16576.2	0	3.38508e+06	334.312	308.5	0	9900	859.672	843.806	0.905743
10080	2.26023e+07	240.038	1237	213	209	138	0	240.038	49	131.999	0	10902	16602.9	0	827664	221.585	319.666	0	10080	843.031	842.288	0.904114
10260	7.22714e+07	1358.82	7368	1257	210	142	0	1358.82	50	93.0128	0	11264.5	16632.3	0	1.60308e+06	286.763	284.809	0	10260	853.967	840.774	0.902488
10440	1.2348e+08	1561.17	10750	1512	205	139	0	1561.17	50	117.275	0	11077.2	16301.6	0	3.035e+06	315.529	332.77	0	10440	852.338	839.262	0.900865
10620	1.03169e+08	1227.86	8113	1695	204	138	0	1227.86	50	121.989	0	10975.6	16233	0	2.60312e+06	299.37	341.236	0	10620	831.942	837.752	0.899245
10800	1.11493e+08	1115.14	7338	655	205	137	0	1115.14	50	138	0	10959.3	16304.4	0	3.45034e+06	363.14	346.085	0	10800	834.564	836.246	0.897628
10980	4.65957e+07	498.83	3089	398	205	137	0	498.83	49.9996	131.239	0	10931.8	16195	0	1.14691e+06	337.466	273.859	0	10980	849.036	834.742	0.896013
11160	7.9747e+06	373.777	866	0	205	137	0	373.777	50	58.2749	0	10981	16214.1	0	989260	376.703	308.169	0	11160	828.938	833.241	0.894402
11340	1.75356e+06	928.378	445	299	205	137	0	928.378	50	17.3384	0	10920.5	16274	0	516044	317.971	335.311	0	11340	816.968	831.742	0.892793
11520	5.27074e+07	918.725	5771	685	209	139	0	918.725	50	96.9624	0	11067.3	16569.5	0	1.41526e+06	336.971	294.385	0	11520	844.112	830.246	0.891188
11700	7.38094e+07	834.623	6237	478	208	140	0	834.623	49	126.285	0	11097	16521	0	1.66938e+06	285.682	324.347	0	11700	848.695	828.753	0.889585
11880	4.7229e+07	1341.92	5622	1514	210	137	0	1341.92	50	74.9605	0	10937.5	16665.8	0	1.88394e+06	338.366	326.559	0	11880	833.759	827.263	0.887985
12060	5.62789e+07	998.388	5768	1351	207	141	0	998.388	49	96.0222	0	11239.1	16424.3	0	1.80971e+06	346.027	316.231	0	12060	836.072	825.775	0.886388
12240	7.11155e+07	781.548	5596	1143	213	143	0	781.548	49	128.817	0	11362.6	16979.1	0	2.06595e+06	300.335	377.872	0	12240	844.329	824.29	0.884794
12420	9.33611e+07	2254.04	11022	2155	210	139	0	2254.04	50	81.4879	0	11061	16642.5	0	1.72528e+06	334.725	304.492	0	12420	861.449	822.808	0.883203
12600	6.16208e+07	1972.37	7801	1378	211	143	0	1972.37	50	70.5701	0	11345.5	16779.6	0	2.41229e+06	318.756	340.608	0	12600	844.862	821.328	0.881615
12780	317623	408.75	177	37	211	143	0	408.75	49	11.1208	0	11452.6	16746.7	0	231291	361.204	340.958	0	12780	840.608	819.851	0.880029
12960	2.68131e-06	14.5793	17	9	211	143	0	14.5793	49	-0.000171086	0	11396.7	16699.7	0	279141	323.089	238.061	0	12960	859.517	818.376	0.878447
13140	3.43042e+06	124.082	910	0	211	143	0	124.082	49	66.3566	0	11336.2	16763.2	0	230012	292.127	328.125	0	13140	844.765	816.905	0.876867
13320	1.45908e+06	671.956	639	69	211	143	0	671.956	50	18.59	0	11436	16768.8	0	316335	232.372	297.627	0	13320	847.934	815.436	0.87529
13500	2.18531e+06	770	602	0	211	143	0	770	49	21.2531	0	11455	16669	0	197564	294.654	277.175	0	13500	865.278	813.969	0.873716
13680	1.78534e+06	546	429	0	211	143	0	546	49	22.8126	0	11455	16801.2	0	201297	363.111	373.077	0	13680	837.243	812.505	0.872145
13860	3.81244e+06	91.6692	916	0	211	143	0	91.6692	49	81.6605	0	11380.6	16669	0	408145	290.928	297.377	0	13860	856.635	811.044	0.870576
14040	1.83583e+06	1113.87	407	325	211	143	0	1113.87	50	16.196	0	11376.8	16762.7	0	778030	354.397	395	0	14040	859.217	809.585	0.869011
14220	2.31947e+06	1242	804	75	211	143	0	1242	50	17.2402	0	11424.2	16669	0	710419	376.342	384.262	0	14220	855.216	808.13	0.867448
14400	1.39085e+06	673.841	460	272	211	143	0	673.841	49	18.1247	0	11376.7	16748.2	0	295292	355.039	331.273	0	14400	854.443	806.676	0.865888
14580	4.30931e+06	1276	989	638	211	143	0	1276	49	23.184	0	11375.8	16758	0	216076	309.249	292.746	0	14580	841.943	805.226	0.864331
14760	967755	37.5937	91	38	211	143	0	37.5937	50	64.0219	0	11297	16827	0	642578	268.562	332.867	0	14760	838.834	803.777	0.862776
14940	886668	492.609	333	0	211	143	0	492.609	49	16.9254	0	11455	16723.5	0	185112	348.593	320.144	0	14940	848.718	802.332	0.861225
15120	2.53411e+06	25.3459	439	0	211	143	0	25.3459	49	138	0	11455	16784.5	0	360294	351.772	315.13	0	15120	840.566	800.889	0.859676
15300	691922	102.588	223	113	211	143	0	102.588	49	32.7634	0	11376	16669	0	223577	338.55	252.9	0	15300	854.94	799.449	0.85813
15480	2.79562e+06	340.653	555	0	211	143	0	340.653	49	36.1404	0	11450.1	16827	0	266653	315.917	310.5	0	15480	832.081	798.011	0.856586
15660	2.97141e+06	51.7276	101	0	211	143	0	51.7276	49	97.0311	0	11297	16827	0	610852	223.211	320.834	0	15660	842.45	796.576	0.855046
15840	0.121674	4.9669	67	19	211	143	0	4.9669	49	0.0624405	0	11381.8	16742.2	0	186703	322.563	326.331	0	15840	854.931	795.143	0.853508
16020	0.000586153	57.0128	125	24	211	143	0	57.0128	50	0.00127917	0	11349.9	16819.7	0	468316	347.923	350.75	0	16020	843.327	793.713	0.851973
16200	2.82598e+06	745.983	678	0	211	143	0	745.983	49	24.5545	0	11300.4	16770.9	0	219328	276.63	279.742	0	16200	825.309	792.286	0.850441
16380	6.90844e+07	1079.53	6405	1398	211	131	0	1079.53	50	103.147	0	10441.4	16771.7	0	2.49143e+06	318.007	329.906	0	16380	810.237	790.861	0.848912
16560	4.16656e+07	572.864	1939	239	211	131	0	572.864	49	111.285	0	10349	16827	0	2.05962e+06	229.471	432.454	0	16560	839.77	789.439	0.847385
16740	1.55466e+08	2337.53	14137	2210	218	129	0	2337.53	49.9999	105.485	0	10237.2	17271.8	0	1.95942e+06	293.3	295.186	0	16740	849.737	788.019	0.845861
16920	1.35428e+08	1585.45	11295	1234	214	128	0	1585.45	50	123.34	0	10186.4	16999.2	0	5.4206e+06	313.376	317.629	0	16920	850.319	786.602	0.84434
17100	6.79927e+07	702.948	5352	557	212	130	0	702.948	49	134.616	0	10330.8	16865.9	0	1.50063e+06	309.834	350.892	0	17100	844.864	785.187	0.842822
17280	1.26066e+08	1955.27	12016	1386	214	126	0	1955.27	50	103.594	0	10052.1	16957	0	2.65927e+06	326.469	302.599	0	17280	847.34	783.775	0.841306
