MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_9.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	55
LIMIT-FIT-SIGMA-XY-MAX	159
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	63
LIMIT-FIT-BGD-MAX	64
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	200	200	200	199	199	199	199	199	198	198	198	197	197	197	196	195	195	194	193	193	192	192	191	191	190	190	189	189	188	188	187	187	186	186	185	184	184	183	183	182	182	181	181	180	180	180	179	179	179	179	178	178	178	177	177	177	177	177	176	176	176	176	176	175	175	175	175	175	175	174	174	174	174	174	174	174	174	173	173	173	173	173	173	173	173	173	173	173	173	173	173	174	174	174	174	174	174	174	175	175	175	175	175	175	175	176	176	176	177	177	177	177	177	177	177	177	178	178	178	178	178	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	180	180	180	180	180	180	180	180	180	180	180	180	180	180	181	181	181	181	181	181	181	181	182	182	182	182	182	182	182	182	182	182	182	183	183	183	183	183	183	183	183	184	184	184	184	184	184	184	184	184	184	184	184	184	184	185	185	185	185	185	185	186	186	187	187	188	188	189	189	190	190	190	191	191	192	192	193	194	195	196	196	197	197	198	198	199	199	200	200	201	202	203	203	204	204	205	205	206	206	207	207	208	208	209	209	210	210	211	211	212	212	213	213	214	215	216	216	217	217	218	218	219	219	220	220	221	221	222	222	223	223	223	224	224	225	225	225	226	226	226	227	227	228	228	229	229	229	229	229	230	230	230	230	230	230	230	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	231	231	231	231	232	232	232	232	232	233	233	233	233	233	234	234	234	234	234	235	235	235	235	235	235	236	236	236	236	236	237	237	237	237	237	237	238	238	238	238	238	238	238	238	239	239	239	239	239	239	239	239	239	239	239	239	238	238	238	238	238	238	237	237	237	237	236	236	236	236	235	235	234	234	234	233	233	232	232	231	231	231	230	230	229	229	228	227	227	226	226	225	225	224	223	223	222	222	221	221	220	219	219	218	217	216	216	215	215	214	213	213	212	211	210	210	210	210	209	209	208	208	208	207	207	206	206	206	206	205	205	204	END
Y_POS	87	87	87	87	86	86	86	85	85	85	85	85	85	84	84	84	84	84	84	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	84	84	84	85	85	85	85	86	86	87	87	87	88	88	88	89	89	89	89	90	90	90	91	91	91	92	93	93	93	93	94	94	95	95	96	96	96	97	97	98	98	99	99	100	100	101	101	102	102	102	103	103	103	104	104	105	105	105	106	106	106	107	107	108	108	109	109	110	110	111	111	111	112	112	112	113	113	114	114	115	115	116	116	117	118	118	119	119	120	120	121	121	122	122	123	123	124	124	125	126	126	126	127	128	128	129	129	130	130	131	131	132	133	133	134	135	135	136	136	137	137	137	138	138	138	139	139	140	140	141	141	142	142	143	143	144	144	145	145	146	146	147	147	147	148	148	149	149	150	150	151	151	152	152	153	153	153	154	154	154	155	155	156	156	156	157	157	158	158	158	158	159	159	159	159	160	160	160	160	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	162	161	161	161	161	161	160	160	160	160	160	160	159	159	159	159	158	158	157	157	156	156	155	155	154	154	153	153	153	152	152	151	151	150	150	149	149	148	148	147	147	146	146	145	145	144	144	143	143	142	142	141	141	140	140	139	139	138	138	137	137	137	136	136	135	135	134	134	133	133	132	132	131	131	130	130	129	129	128	128	128	127	127	126	126	125	125	125	124	124	124	124	123	123	122	122	122	121	121	121	120	120	120	120	119	119	118	118	118	117	117	116	116	116	115	115	115	114	114	113	113	112	112	112	111	111	111	110	110	109	109	108	108	107	107	106	106	105	105	104	104	103	103	102	102	102	102	101	101	101	100	100	100	99	99	99	98	98	98	98	97	97	97	97	97	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	95	95	95	95	95	94	94	94	94	94	93	93	93	93	93	92	92	92	91	91	91	91	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	5.8142e+06	85.0491	404	299	109	227	0	85.0491	63	107.21	0	17989.8	8769	0	576222	310.063	404.349	0	0	631.797	772.663	1
180	1.45003e+07	380.049	2427	203	109	227	0	380.049	64	78.1137	0	17982.6	8718.23	0	912525	367.024	359.971	0	180	649.764	771.274	0.998202
360	4.10471e+06	43.2727	395	0	109	227	0	43.2727	63	132.705	0	18091	8769	0	668529	370.94	399.681	0	360	628.061	769.887	0.996406
540	683945	35.9856	460	18	109	227	0	35.9856	63	55.0001	0	17933.2	8763.89	0	237262	363.882	329.356	0	540	624.395	768.502	0.994615
720	7.07989e+06	372.508	984	189	109	227	0	372.508	63	55	0	18091	8769	0	291054	394.266	367.483	0	720	628.85	767.12	0.992826
900	2.63248e-09	2.22045e-14	136	49	109	227	0	2.22045e-14	63	159	0	18091	8769	0	273116	371.945	393.689	0	900	643.736	765.741	0.99104
1080	2.68611e+07	233.618	1108	22	109	227	0	233.618	63	154.688	0	18091	8611	0	2.25767e+06	422.289	208.119	0	1080	635.378	764.364	0.989258
1260	2.49273e+07	361.473	1938	293	109	227	0	361.473	63	107.766	0	18056.1	8769	0	586157	341.373	368.175	0	1260	633.867	762.989	0.987479
1440	7.52912e+06	80.4613	262	0	109	227	0	80.4613	63	131.405	0	18091	8769	0	765460	369.541	441.573	0	1440	625.816	761.617	0.985703
1620	8.00226e+07	1377.42	8337	980	109	227	0	1377.42	64	97.643	0	18039.5	8674.02	0	1.72601e+06	343.636	322.295	0	1620	621.263	760.247	0.983931
1800	4.10758e+07	1289.61	5571	1188	105	227	0	1289.61	64	71.2619	0	18018.8	8346.51	0	693672	309.746	303.705	0	1800	612.641	758.88	0.982161
1980	1.653e+08	2257.35	15063	2236	112	222	0	2257.35	63.0012	111.748	0	17615.1	8940.26	0	2.42332e+06	306.084	327.211	0	1980	611.599	757.515	0.980395
2160	5.56609e+07	703.092	5418	320	108	222	0	703.092	64	117.342	0	17613.8	8615.77	0	1.66885e+06	305.392	325.869	0	2160	607.046	756.153	0.978632
2340	4.14593e+06	218.137	762	404	108	222	0	218.137	64	55.0001	0	17617.1	8580.23	0	1.46149e+06	209.169	212.445	0	2340	604.286	754.793	0.976872
2520	3.88354e+06	204.332	1035	25	108	222	0	204.332	64	55	0	17607.8	8558.3	0	484992	344.388	314.415	0	2520	601.859	753.436	0.975115
2700	6.54441e+07	980.196	6480	760	110	218	0	980.196	63	105.725	0	17278.8	8734.67	0	1.66721e+06	310.983	293.628	0	2700	600.764	752.081	0.973361
2880	4.09668e+06	215.547	1121	200	110	218	0	215.547	64	55	0	17275.1	8706.53	0	1.34737e+06	394.128	398.665	0	2880	598.035	750.728	0.971611
3060	370358	19.4828	315	10	110	218	0	19.4828	64	55.005	0	17222	8848	0	505218	269.968	314.477	0	3060	604.08	749.378	0.969863
3240	5.5367e+06	291.313	1175	131	110	218	0	291.313	63	55	0	17367.9	8783.87	0	404287	332.811	321.489	0	3240	602.897	748.03	0.968119
3420	8.50148e-09	4.47305e-13	123	0	110	218	0	4.47305e-13	63	55	0	17380	8690	0	412819	392.044	274.884	0	3420	607.538	746.685	0.966378
3600	1.05455e+06	55.485	342	280	110	218	0	55.485	63	55	0	17302.6	8769.61	0	415943	294.447	353.981	0	3600	613.384	745.342	0.96464
3780	1.12868e+06	59.3852	561	192	110	218	0	59.3852	63	55	0	17331.8	8771.05	0	458697	294.227	248.197	0	3780	598.016	744.002	0.962906
3960	1.85781e+06	97.7486	385	0	110	218	0	97.7486	63	55	0	17380	8698.36	0	278685	281.925	304.283	0	3960	616.571	742.664	0.961174
4140	2.62831e+06	138.288	530	122	110	218	0	138.288	64	55	0	17222	8794.44	0	417073	257.443	283.189	0	4140	598.97	741.328	0.959445
4320	830269	43.6845	296	0	110	218	0	43.6845	63.0004	55	0	17293	8848	0	293447	320.511	330.548	0	4320	608.695	739.995	0.95772
4500	3.90303e+06	205.358	852	49	110	218	0	205.358	63	55	0	17380	8848	0	475897	402.367	341.136	0	4500	610.554	738.664	0.955997
4680	8.05972e+06	424.062	1529	112	110	218	0	424.062	63	55	0	17226.1	8764.64	0	330342	304.867	276.93	0	4680	614.763	737.336	0.954278
4860	866594	45.5958	556	0	110	218	0	45.5958	64	55	0	17227.9	8690	0	383988	268.013	300.565	0	4860	603.356	736.01	0.952562
5040	4.70337e+06	52.5523	635	175	110	218	0	52.5523	63	127.334	0	17233.6	8690	0	392996	281.178	249.521	0	5040	606.308	734.686	0.950849
5220	1.76279e+06	80.0919	116	0	110	218	0	80.0919	63	59.1893	0	17222	8754.53	0	454328	274.061	335.372	0	5220	596.519	733.365	0.949139
5400	3.25988e+06	27.4964	539	33	110	218	0	27.4964	64	159	0	17222	8690	0	412726	282.541	307.107	0	5400	603.406	732.046	0.947432
5580	872599	45.9118	290	0	110	218	0	45.9118	63	55	0	17222	8767.4	0	285272	346.492	303.641	0	5580	606.065	730.73	0.945728
