MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_9.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	15
LIMIT-FIT-SIGMA-XY-MAX	141
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	50
LIMIT-FIT-BGD-MAX	51
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	210	210	210	209	209	208	208	208	208	208	207	207	206	206	206	206	206	205	205	205	204	204	203	203	203	202	202	202	201	201	200	200	200	199	199	199	198	198	198	197	197	197	196	196	195	195	194	194	193	193	193	193	192	192	191	191	191	191	190	190	190	189	189	189	189	188	188	188	188	188	187	187	187	187	187	187	186	186	186	186	186	186	185	185	185	185	185	185	185	185	184	184	184	184	184	184	183	183	183	183	183	183	183	182	182	182	182	181	181	181	181	181	181	180	180	180	180	180	179	179	178	177	176	176	176	175	175	175	175	174	173	173	172	172	171	171	170	170	169	169	168	168	167	167	167	166	165	165	164	164	164	163	163	162	162	161	161	161	160	160	159	159	158	158	157	157	156	155	155	155	154	154	153	153	152	152	152	151	151	151	151	150	150	150	150	149	149	149	149	149	149	149	149	149	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	149	149	149	149	149	149	149	150	150	150	151	151	151	151	151	152	152	152	152	152	152	153	153	153	153	153	153	154	154	154	154	154	155	155	155	155	155	155	156	156	156	156	156	157	157	157	157	157	157	158	158	158	158	158	158	159	159	159	159	159	159	159	159	159	159	159	159	159	159	160	160	160	160	160	160	160	160	160	160	160	161	161	161	161	161	161	161	161	162	162	162	162	163	163	163	163	163	163	164	164	164	165	165	165	165	166	166	166	167	167	167	167	167	168	168	168	169	169	169	169	170	170	170	170	171	171	171	171	172	172	173	173	174	174	175	175	175	175	176	177	177	178	178	178	179	179	180	180	181	182	182	183	183	184	185	185	186	186	187	188	188	189	189	190	190	191	191	192	192	193	194	194	195	196	196	197	197	197	198	198	199	199	199	200	200	201	201	202	202	202	202	203	203	203	204	204	205	205	205	205	206	206	206	207	207	207	207	208	208	208	208	209	209	209	209	209	209	209	209	210	210	210	210	210	210	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	211	END
Y_POS	331	331	331	331	330	330	330	329	329	329	329	328	328	328	327	327	327	327	326	326	326	325	325	325	325	325	324	324	324	323	323	323	323	323	322	322	322	322	321	321	321	320	320	320	320	320	319	319	319	319	319	318	318	318	318	317	317	317	317	317	316	316	316	316	315	315	315	314	314	313	313	313	313	312	312	311	311	311	310	310	309	309	309	308	308	307	307	306	306	305	305	304	304	303	303	303	303	302	302	301	301	301	300	300	300	299	299	299	298	298	297	297	297	297	296	296	296	295	295	295	295	294	294	293	293	293	293	293	292	292	292	292	292	292	292	292	291	291	291	291	291	291	291	290	290	290	290	290	290	290	290	290	290	290	290	290	289	289	289	289	289	289	289	289	289	289	289	289	289	290	290	290	290	290	290	291	291	292	292	292	293	293	293	294	294	294	295	295	296	296	296	297	297	298	298	298	299	299	300	300	301	301	302	302	303	303	304	304	305	305	306	306	307	307	307	308	308	309	309	310	310	310	311	311	311	312	312	313	313	313	314	314	314	315	315	315	316	316	316	317	317	317	317	318	318	318	319	319	319	320	320	321	321	322	322	322	323	323	324	324	325	325	325	326	326	327	327	328	328	329	329	330	330	331	331	332	332	333	333	334	334	335	335	335	336	336	337	337	338	338	339	339	339	340	340	341	341	341	342	342	343	343	343	344	344	344	345	345	346	346	347	347	347	348	348	348	349	349	350	350	351	351	351	352	352	353	353	354	354	354	355	355	355	356	356	356	357	357	357	357	358	358	358	359	359	360	360	360	360	360	361	361	361	361	361	362	362	362	362	362	362	363	363	363	363	363	363	363	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	364	363	363	363	363	363	363	362	362	361	361	360	360	360	359	359	359	359	358	358	358	357	357	357	357	356	356	356	355	355	354	354	354	353	353	352	352	351	351	351	350	350	349	349	348	348	347	347	346	346	346	345	345	344	344	343	343	342	342	341	341	340	340	339	339	338	338	337	337	336	336	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	109040	77.1217	377	12	300	168	0	77.1217	50	15.0008	0	13351	23854	0	174657	309.246	344.379	0	0	680.515	850.164	1
180	459459	13.2207	276	0	300	168	0	13.2207	50.0005	74.4805	0	13272	23841.6	0	218375	316.348	312.487	0	180	700.137	848.635	0.998202
360	0.000406347	2.87432e-07	13	0	300	168	0	2.87432e-07	51	15	0	13272	23857.9	0	378594	301.321	337.537	0	360	682.132	847.109	0.996406
540	944691	445.156	522	204	300	168	0	445.156	50	18.378	0	13351.1	23781.6	0	157408	319.596	281.123	0	540	677.976	845.586	0.994615
720	4.13622e-06	2.92578e-09	90	0	300	168	0	2.92578e-09	50	15	0	13325.7	23738.2	0	158450	288.598	301.708	0	720	682.526	844.065	0.992826
900	1.11562e+06	95.8065	327	0	300	168	0	95.8065	50	43.0498	0	13430	23704.7	0	305888	336.988	402.381	0	900	695.057	842.547	0.99104
1080	1.9662e+06	594	578	114	300	168	0	594	51	22.9525	0	13371.4	23827.8	0	332550	411.613	328.709	0	1080	683.716	841.032	0.989258
1260	6.57314e+06	449.316	1415	0	300	168	0	449.316	51	48.2526	0	13363.1	23858	0	454864	360.776	332.364	0	1260	694.766	839.519	0.987479
1440	292794	206.525	196	0	300	168	0	206.525	50	15.0212	0	13327.1	23700.3	0	191449	349.43	332.428	0	1440	683.687	838.009	0.985703
1620	504366	353.442	360	74	300	168	0	353.442	50	15.0704	0	13429.3	23700	0	185418	306.898	324.988	0	1620	678.135	836.502	0.983931
1800	221955	152.59	236	86	300	168	0	152.59	50	15.2153	0	13348.7	23771.5	0	212420	291.308	333.327	0	1800	675.575	834.998	0.982161
1980	3.13908e-11	2.22045e-14	245	31	300	168	0	2.22045e-14	50	15	0	13368.3	23815.6	0	242764	335.546	299.836	0	1980	672.465	833.496	0.980395
2160	1.68711e+06	27.5804	67	0	300	168	0	27.5804	50	100.517	0	13430	23858	0	372340	387.897	304.71	0	2160	671.964	831.997	0.978632
2340	400460	282.084	290	0	300	168	0	282.084	50	15.0314	0	13351	23700.4	0	352334	417.822	330.674	0	2340	667.132	830.501	0.976872
2520	921184	611.881	512	0	300	168	0	611.881	51	15.4792	0	13300.1	23853.1	0	322281	264.85	245.632	0	2520	665.175	829.008	0.975115
2700	1.02907e+06	509.959	644	33	300	168	0	509.959	50	17.9211	0	13399.7	23708.7	0	196935	354.784	302.197	0	2700	668.921	827.517	0.973361
2880	587105	406.006	365	121	300	168	0	406.006	51	15.1706	0	13352.8	23809	0	1.08077e+06	400.517	216.973	0	2880	663.576	826.029	0.971611
3060	20723.6	14.6581	228	0	300	168	0	14.6581	50	15.0004	0	13430	23806.9	0	207357	361.242	330.17	0	3060	673.279	824.543	0.969863
3240	1.21706e+06	726	556	109	300	168	0	726	51	16.3342	0	13272	23858	0	300827	327.168	375.091	0	3240	669.526	823.06	0.968119
3420	770533	228.273	330	0	300	168	0	228.273	50	23.1781	0	13430	23759.3	0	228564	359.779	279.785	0	3420	671.465	821.58	0.966378
3600	901741	473.138	557	0	300	168	0	473.138	50	17.4163	0	13350.9	23858	0	135821	341.33	361.358	0	3600	681.223	820.102	0.96464
3780	2.08556e+06	729.977	605	0	300	168	0	729.977	50	21.3239	0	13430	23779.2	0	115456	376.998	294.021	0	3780	660.791	818.628	0.962905
3960	1.73104e+06	136.196	407	0	300	168	0	136.196	50	44.9762	0	13427.2	23858	0	279845	293.95	368.051	0	3960	678.794	817.155	0.961174
4140	58.5854	0.0414001	208	0	300	168	0	0.0414001	50	15.0073	0	13350.3	23700	0	244954	234.775	308.072	0	4140	667.103	815.686	0.959445
4320	6.78372e+07	925.963	6300	648	300	168	0	925.963	51	111.78	0	13309.2	23776.5	0	1.57562e+06	285.036	299.828	0	4320	681.765	814.219	0.95772
4500	1.01933e+08	1108.96	8173	1154	301	164	0	1108.96	50	129.74	0	13023.8	23886.2	0	1.56343e+06	312.121	341.611	0	4500	683.934	812.755	0.955997
4680	1.01491e+08	1419.99	9081	1166	302	163	0	1419.99	51	110.109	0	12925.1	23919.9	0	1.37436e+06	295.866	301.639	0	4680	684.721	811.293	0.954278
4860	5.59727e+07	1111.92	6397	1089	302	168	0	1111.92	50.0001	90.2907	0	13365.6	23968.2	0	1.13271e+06	315.094	329.152	0	4860	676.801	809.834	0.952562
5040	366639	248.78	209	22	302	168	0	248.78	51	15.3152	0	13349.3	24007.4	0	865637	284.501	329.114	0	5040	681.723	808.378	0.950849
5220	1.17615e+07	114.401	631	10	302	168	0	114.401	51	141	0	13430	24016	0	731815	315.56	359.936	0	5220	669.202	806.924	0.949139
5400	1.59886e+07	155.517	1199	193	302	168	0	155.517	50.5715	141	0	13272	24016	0	1.02352e+06	240.378	370.171	0	5400	681.973	805.473	0.947432
