Time(s);IntInt
0.00;18.47
3.00;11.80
6.00;18.32
9.00;9.81
12.00;17.73
15.00;13.05
18.00;18.36
21.00;15.84
24.00;15.24
27.00;14.04
30.00;11.67
33.00;16.06
36.00;15.41
39.00;14.82
42.00;14.22
45.00;13.57
48.00;16.72
51.00;16.74
54.00;14.27
57.00;13.32
60.00;12.49
63.00;15.64
66.00;16.27
69.00;15.37
72.00;15.79
75.00;16.61
78.00;14.10
81.00;19.53
84.00;14.94
87.00;16.93
90.00;13.79
93.00;14.23
96.00;16.08
99.00;16.14
102.00;15.89
105.00;17.93
108.00;15.83
111.00;15.96
114.00;17.99
117.00;17.70
120.00;17.28
123.00;19.00
126.00;19.12
129.00;20.56
132.00;18.13
135.00;18.53
138.00;20.75
141.00;20.35
144.00;22.07
147.00;20.31
150.00;20.26
153.00;19.59
156.00;22.55
159.00;23.27
162.00;23.84
165.00;20.48
168.00;23.09
171.00;25.90
174.00;18.53
177.00;23.03
180.00;20.50
183.00;18.76
186.00;22.95
189.00;21.91
192.00;23.76
195.00;20.94
198.00;23.04
201.00;22.95
204.00;23.55
207.00;25.88
210.00;26.50
213.00;21.66
216.00;24.34
219.00;26.04
222.00;22.69
225.00;26.88
228.00;26.13
231.00;23.06
234.00;19.66
237.00;23.47
240.00;18.77
243.00;21.47
246.00;19.84
249.00;20.92
252.00;22.73
255.00;18.25
258.00;20.67
261.00;20.04
264.00;19.54
267.00;15.14
270.00;18.84
273.00;19.11
276.00;15.33
279.00;18.72
282.00;21.26
285.00;20.59
288.00;21.03
291.00;21.15
294.00;21.02
297.00;18.56
300.00;20.97
303.00;18.42
306.00;19.48
309.00;18.69
312.00;20.44
315.00;18.02
318.00;19.30
321.00;19.98
324.00;23.34
327.00;23.52
330.00;21.25
333.00;19.31
336.00;20.35
339.00;18.28
342.00;20.93
345.00;20.43
348.00;20.81
351.00;20.99
354.00;22.96
357.00;21.36
360.00;20.88
363.00;23.07
366.00;22.52
369.00;17.73
372.00;21.17
375.00;17.79
378.00;18.58
381.00;22.41
384.00;20.39
387.00;20.21
390.00;20.91
393.00;22.36
396.00;24.28
399.00;21.56
402.00;25.40
405.00;20.83
408.00;22.97
411.00;23.12
414.00;23.22
417.00;23.96
420.00;23.39
423.00;24.29
426.00;23.19
429.00;21.93
432.00;21.96
435.00;21.33
438.00;20.55
441.00;19.46
444.00;20.87
447.00;24.00
450.00;23.92
453.00;22.81
456.00;22.59
459.00;23.81
462.00;23.12
465.00;21.66
468.00;22.74
471.00;19.02
474.00;19.25
477.00;17.87
480.00;18.33
483.00;20.41
486.00;23.07
489.00;19.84
492.00;20.61
495.00;22.74
498.00;20.32
501.00;19.80
504.00;22.81
507.00;19.81
510.00;22.22
513.00;17.60
516.00;22.88
519.00;22.93
522.00;22.31
525.00;26.50
528.00;25.53
531.00;25.77
534.00;26.34
537.00;24.48
540.00;25.98
543.00;23.59
546.00;24.20
549.00;25.08
552.00;29.37
555.00;26.92
558.00;23.95
561.00;23.83
564.00;25.07
567.00;24.40
570.00;22.05
573.00;19.27
576.00;21.10
579.00;22.51
582.00;22.13
585.00;24.85
588.00;23.09
591.00;22.96
594.00;24.76
597.00;22.43
600.00;23.60
603.00;27.91
606.00;28.80
609.00;33.26
612.00;29.33
615.00;30.43
618.00;28.90
621.00;30.16
624.00;31.52
627.00;29.67
630.00;31.40
633.00;31.51
636.00;29.33
639.00;28.38
642.00;28.95
645.00;26.49
648.00;26.80
651.00;23.63
654.00;27.89
657.00;29.31
660.00;31.95
663.00;27.44
666.00;29.28
669.00;31.35
672.00;29.47
675.00;30.45
678.00;31.85
681.00;29.23
684.00;25.55
687.00;26.30
690.00;26.74
693.00;25.35
696.00;26.02
699.00;22.02
702.00;24.17
705.00;27.41
708.00;26.70
711.00;22.62
714.00;24.50
717.00;23.80
720.00;26.03
723.00;21.47
726.00;27.83
729.00;23.52
732.00;23.59
735.00;23.38
738.00;25.25
741.00;28.04
744.00;31.51
747.00;31.17
750.00;32.04
753.00;32.57
756.00;30.18
759.00;30.55
762.00;29.68
765.00;28.15
768.00;31.46
771.00;29.16
774.00;27.58
777.00;29.20
780.00;28.73
783.00;28.45
786.00;24.00
789.00;25.12
792.00;26.05
795.00;24.77
798.00;21.61
801.00;21.42
804.00;24.57
807.00;22.11
810.00;21.76
813.00;24.33
816.00;22.13
819.00;24.13
822.00;20.20
825.00;27.22
828.00;23.56
831.00;20.85
834.00;18.89
837.00;22.99
840.00;23.27
843.00;20.84
846.00;20.55
849.00;21.13
852.00;20.00
855.00;20.09
858.00;17.60
861.00;18.22
864.00;16.59
867.00;16.07
870.00;19.23
873.00;17.18
876.00;16.33
879.00;13.28
882.00;16.24
885.00;13.11
888.00;18.39
891.00;16.94
894.00;15.87
897.00;13.66
900.00;16.41
903.00;14.86
906.00;14.01
909.00;16.82
912.00;14.67
915.00;18.48
918.00;13.41
921.00;16.52
924.00;18.92
927.00;18.20
930.00;18.34
933.00;18.40
936.00;17.20
939.00;20.95
942.00;18.55
945.00;17.30
948.00;15.93
951.00;17.81
954.00;21.26
957.00;21.62
960.00;21.50
963.00;20.74
966.00;23.49
969.00;21.35
972.00;22.90
975.00;24.38
978.00;24.19
